Gene	Position	Rule	Correct	N_Regulators	MSE	Score
HB7	1	~ABF3 & ~MYB44	3	2	N/A	1.9375
HB7	2	~ABF3 | ~CYP707A3	3	2	N/A	1.9375
HB7	3	~MYB44 | (ABF4 & ~ZAT6)	3	3	N/A	1.9375
HB7	4	~ABF3 | ~HB6 | ~HB7	3	3	N/A	1.9375
HB7	5	~ABF3 & ~ABF4	3	2	N/A	1.9375
HB7	6	FBH3 | HB7	2	2	N/A	1.6042
HB7	7	ABF3 | HB5	2	2	N/A	1.6042
HB7	8	~ABF3 & ~PP2C5	2	2	N/A	1.6042
HB7	9	PP2C5 | ZAT6	2	2	N/A	1.6042
HB7	10	HB5 | ~ZAT6	2	2	N/A	1.6042
HB7	11	HB5 | ~ABF4	2	2	N/A	1.6042
HB7	12	CYP707A3 & ~HB6	2	2	N/A	1.6042
HB7	13	~CYP707A3 | ~ZAT6	2	2	N/A	1.6042
HB7	14	ABF4 | PP2C5	2	2	N/A	1.6042
HB7	15	CYP707A3 & ~ABF3	2	2	N/A	1.6042
HB7	16	ABA4 | HB5	2	2	N/A	1.6042
HB7	17	~ABA4 | (~HB5 & ~MYB44)	2	3	N/A	1.6042
HB7	18	ABF4 | HB7	2	2	N/A	1.6042
HB7	19	~ABF3	3	1	N/A	1.4375
HB7	20	~FBH3	2	1	N/A	1.1042
HB7	21	~HB6	2	1	N/A	1.1042
HB7	22	PP2C5	2	1	N/A	1.1042
HB7	23	True	2	1	N/A	1.1042
HB7	24	~ZAT6	2	1	N/A	1.1042
HB7	25	CYP707A3 | ~ABF3 | (~HB7 & ~ZAT6)	2	4	N/A	1.1042
HB7	26	~CYP707A3	2	1	N/A	1.1042
HB7	27	~DREB2A	2	1	N/A	1.1042
HB7	28	~ABA4	2	1	N/A	1.1042
ZAT6	1	ABF3 | MYB44	3	2	N/A	1.9375
ZAT6	2	CYP707A3 & MYB44	3	2	N/A	1.9375
ZAT6	3	DREB2A | MYB44	3	2	N/A	1.9375
ZAT6	4	ABA4 & ABF3	3	2	N/A	1.9375
ZAT6	5	MYB44 | (ABCG31 & HB6)	3	3	N/A	1.9375
ZAT6	6	HB5 & MYB44	3	2	N/A	1.9375
ZAT6	7	HB7 & MYB44	3	2	N/A	1.9375
ZAT6	8	ABA4 & (FBH3 | MYB44)	3	3	N/A	1.9375
ZAT6	9	ABF3 & MYB44	3	2	N/A	1.9375
ZAT6	10	ABF3 & HB7	3	2	N/A	1.9375
ZAT6	11	ABA4 & MYB44	3	2	N/A	1.9375
ZAT6	12	ABF3 & HB6	3	2	N/A	1.9375
ZAT6	13	ABA4 & ABF3 & MYB44	3	3	N/A	1.9375
ZAT6	14	ABF3 | MYB44	3	2	N/A	1.9375
ZAT6	15	CYP707A3 & HB5 & HB6	3	3	N/A	1.9375
ZAT6	16	CYP707A3 & HB6	3	2	N/A	1.9375
