generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.52	1.17	0	3	0.288	0.0	0.9
1	1.98	1.16	0	3	0.228	0.0	0.6
2	2.30	1.10	0	3	0.120	0.0	0.9
3	2.38	1.06	0	3	0.192	0.0	0.9
4	2.48	0.98	0	3	0.150	0.0	0.9
5	2.38	1.06	0	3	0.162	0.0	0.9
6	2.36	1.02	0	3	0.168	0.0	1.2
7	2.28	1.02	0	3	0.126	0.0	0.9
8	2.60	0.94	0	3	0.072	0.0	0.3
9	2.30	1.15	0	3	0.108	0.0	0.3
10	2.48	0.98	0	3	0.162	0.0	0.9
11	2.58	0.85	0	3	0.156	0.0	0.9
12	2.40	1.06	0	3	0.132	0.0	0.6
13	2.38	1.07	0	3	0.138	0.0	0.9
14	2.76	0.62	0	3	0.144	0.0	1.2
15	2.50	0.92	0	3	0.132	0.0	0.6
16	2.28	1.02	0	3	0.180	0.0	0.6
17	2.36	1.00	0	3	0.120	0.0	0.9
18	2.42	1.00	0	3	0.114	0.0	0.6
19	2.40	1.06	0	3	0.096	0.0	0.6
20	2.58	0.85	0	3	0.144	0.0	0.9
21	2.44	0.96	0	3	0.072	0.0	0.3
22	2.58	0.90	0	3	0.108	0.0	0.3
23	2.32	1.07	0	3	0.144	0.0	0.6
24	2.26	1.05	0	3	0.120	0.0	0.9
25	2.48	0.88	0	3	0.132	0.0	0.6
26	2.38	1.07	0	3	0.108	0.0	0.3
27	2.52	0.85	0	3	0.108	0.0	0.3
28	2.82	0.62	0	3	0.114	0.0	0.9
29	2.54	0.98	0	3	0.120	0.0	0.6
30	2.48	0.98	0	3	0.132	0.0	0.6
31	2.46	0.98	0	3	0.132	0.0	0.6
32	2.28	1.08	0	3	0.120	0.0	0.3
33	2.32	1.14	0	3	0.126	0.0	0.3
34	2.42	1.06	0	3	0.114	0.0	0.6
35	2.36	1.02	0	3	0.096	0.0	0.3
36	2.32	1.01	0	3	0.096	0.0	0.3
37	2.24	0.99	0	3	0.144	0.0	0.9
38	2.50	0.85	0	3	0.120	0.0	0.3
39	2.20	1.11	0	3	0.126	0.0	0.3
40	2.42	1.04	0	3	0.138	0.0	0.6
41	2.56	0.90	0	3	0.108	0.0	1.2
42	2.40	1.06	0	3	0.138	0.0	0.9
43	2.46	0.88	0	3	0.096	0.0	0.3
44	2.50	0.96	0	3	0.090	0.0	0.6
45	2.44	0.94	0	3	0.108	0.0	0.6
46	2.56	0.94	0	3	0.126	0.0	0.9
47	2.62	0.91	0	3	0.102	0.0	0.3
48	2.32	1.05	0	3	0.096	0.0	0.3
49	2.32	1.09	0	3	0.156	0.0	0.9
50	2.28	1.08	0	3	0.192	0.0	1.2
