generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.52	0.92	0	3	0.288	0.0	1.2
1	2.08	0.87	0	3	0.240	0.0	1.2
2	2.04	0.92	0	3	0.216	0.0	0.9
3	2.02	1.07	0	3	0.198	0.0	0.3
4	2.16	0.95	0	3	0.138	0.0	0.3
5	2.16	0.88	0	3	0.132	0.0	0.3
6	2.22	0.94	0	3	0.114	0.0	0.6
7	2.20	1.04	0	3	0.096	0.0	0.3
8	2.32	0.95	0	3	0.126	0.0	0.9
9	2.36	0.84	0	3	0.072	0.0	0.6
10	2.06	0.99	0	3	0.090	0.0	0.6
11	2.28	0.92	0	3	0.114	0.0	0.9
12	2.26	1.11	0	3	0.126	0.0	0.9
13	2.46	0.81	0	3	0.084	0.0	0.3
14	2.38	0.82	1	3	0.090	0.0	0.6
15	2.36	0.84	1	3	0.162	0.0	0.9
16	2.32	0.93	0	3	0.120	0.0	0.6
17	2.30	0.92	0	3	0.102	0.0	0.6
18	2.34	0.89	0	3	0.114	0.0	0.6
19	2.42	0.83	0	3	0.072	0.0	0.3
20	2.20	0.82	0	3	0.156	0.0	0.9
21	2.28	0.90	0	3	0.078	0.0	0.6
22	2.00	1.04	0	3	0.072	0.0	0.3
23	2.26	0.96	0	3	0.126	0.0	0.6
24	2.38	0.80	0	3	0.120	0.0	0.6
25	2.24	1.03	0	3	0.114	0.0	0.3
26	2.28	0.90	0	3	0.102	0.0	0.3
27	2.46	0.73	0	3	0.090	0.0	0.9
28	2.24	0.99	0	3	0.096	0.0	0.6
29	2.20	0.96	0	3	0.150	0.0	0.6
30	2.44	0.73	1	3	0.096	0.0	0.3
31	2.34	0.91	0	3	0.114	0.0	0.6
32	2.40	0.85	0	3	0.084	0.0	0.3
33	2.08	1.00	0	3	0.138	0.0	0.6
34	2.08	0.93	0	3	0.114	0.0	0.3
35	2.30	0.83	0	3	0.144	0.0	0.6
36	2.38	0.82	0	3	0.126	0.0	0.6
37	2.46	0.81	0	3	0.114	0.0	0.3
38	2.16	0.95	0	3	0.114	0.0	0.6
39	2.32	0.84	0	3	0.066	0.0	0.3
40	2.42	0.83	0	3	0.114	0.0	0.3
41	2.28	0.92	0	3	0.114	0.0	0.3
42	2.36	0.82	0	3	0.132	0.0	0.9
43	2.44	0.73	1	3	0.090	0.0	0.3
44	2.22	0.88	0	3	0.138	0.0	0.9
45	2.00	1.02	0	3	0.126	0.0	0.6
46	2.34	0.76	0	3	0.066	0.0	0.6
47	2.24	0.86	0	3	0.108	0.0	0.6
48	2.08	1.02	0	3	0.150	0.0	0.6
49	2.22	0.86	0	3	0.084	0.0	0.3
50	2.16	0.92	0	3	0.102	0.0	0.6
