generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.54	0.70	0	3	0.306	0.0	0.9
1	1.82	0.71	0	3	0.222	0.0	0.6
2	1.92	0.77	0	3	0.222	0.0	0.9
3	2.08	0.84	0	3	0.264	0.0	0.6
4	2.08	0.93	0	3	0.246	0.0	0.9
5	2.18	0.95	0	3	0.228	0.0	0.6
6	2.34	0.89	0	3	0.168	0.0	0.6
7	2.32	0.86	0	3	0.144	0.0	0.6
8	2.30	0.90	0	3	0.132	0.0	0.6
9	2.34	0.86	0	3	0.156	0.0	0.9
10	2.32	0.88	0	3	0.138	0.0	0.6
11	2.54	0.73	1	3	0.168	0.0	0.9
12	2.48	0.75	0	3	0.132	0.0	0.9
13	2.44	0.64	1	3	0.156	0.0	0.9
14	2.72	0.45	2	3	0.132	0.0	0.9
15	2.32	0.95	0	3	0.108	0.0	0.6
16	2.44	0.78	0	3	0.114	0.0	0.6
17	2.40	0.82	0	3	0.150	0.0	0.9
18	2.42	0.75	0	3	0.108	0.0	0.6
19	2.40	0.72	1	3	0.138	0.0	0.6
20	2.38	0.82	0	3	0.144	0.0	0.9
21	2.52	0.70	0	3	0.132	0.0	0.6
22	2.60	0.60	0	3	0.096	0.0	0.3
23	2.40	0.87	0	3	0.144	0.0	0.6
24	2.58	0.57	1	3	0.126	0.0	0.6
25	2.50	0.73	0	3	0.162	0.0	0.9
26	2.26	0.82	0	3	0.114	0.0	0.6
27	2.46	0.70	1	3	0.180	0.0	1.2
28	2.28	0.78	0	3	0.150	0.0	0.9
29	2.40	0.69	1	3	0.108	0.0	0.9
30	2.40	0.80	0	3	0.156	0.0	1.2
31	2.44	0.73	0	3	0.138	0.0	0.9
32	2.60	0.72	0	3	0.138	0.0	0.6
33	2.50	0.70	0	3	0.132	0.0	0.3
34	2.60	0.60	1	3	0.138	0.0	0.9
35	2.40	0.82	0	3	0.132	0.0	0.6
36	2.42	0.78	0	3	0.102	0.0	0.6
37	2.34	0.93	0	3	0.132	0.0	0.9
38	2.46	0.73	0	3	0.114	0.0	0.6
39	2.14	0.96	0	3	0.114	0.0	0.9
40	2.06	0.93	0	3	0.120	0.0	0.3
41	2.18	0.82	0	3	0.174	0.0	0.6
42	2.32	0.76	0	3	0.126	0.0	0.6
43	2.36	0.77	1	3	0.114	0.0	0.9
44	2.40	0.87	0	3	0.108	0.0	0.6
45	2.46	0.70	1	3	0.156	0.0	0.9
46	2.42	0.67	1	3	0.102	0.0	0.6
47	2.30	0.78	0	3	0.084	0.0	0.6
48	2.28	0.78	0	3	0.138	0.0	0.6
49	2.48	0.70	0	3	0.108	0.0	0.9
50	2.58	0.53	1	3	0.144	0.0	0.9
