generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.42	0.64	0	3	0.288	0.0	0.6
1	1.72	0.69	0	3	0.210	0.0	0.6
2	1.76	0.81	0	3	0.204	0.0	0.6
3	1.82	0.84	0	3	0.234	0.0	0.6
4	2.14	0.94	0	3	0.258	0.0	0.3
5	2.08	1.06	0	3	0.234	0.0	0.3
6	2.12	1.14	0	3	0.264	0.0	0.3
7	2.28	0.98	0	3	0.288	0.0	0.9
8	2.14	1.04	0	3	0.282	0.0	0.3
9	2.14	1.04	0	3	0.252	0.0	0.3
10	2.12	1.09	0	3	0.234	0.0	0.3
11	2.32	0.93	0	3	0.216	0.0	0.3
12	2.16	1.07	0	3	0.210	0.0	0.3
13	1.90	1.08	0	3	0.168	0.0	0.3
14	2.14	0.92	0	3	0.180	0.0	0.3
15	2.06	1.05	0	3	0.162	0.0	0.3
16	2.18	1.01	0	3	0.132	0.0	0.6
17	2.04	0.87	0	3	0.156	0.0	0.3
18	1.94	0.93	0	3	0.144	0.0	0.3
19	1.98	0.95	0	3	0.150	0.0	0.6
20	1.98	0.93	0	3	0.144	0.0	0.3
21	1.94	0.99	0	3	0.114	0.0	0.3
22	2.02	1.03	0	3	0.132	0.0	0.3
23	1.84	0.99	0	3	0.180	0.0	0.3
24	1.98	0.84	0	3	0.168	0.0	0.3
25	2.00	0.94	0	3	0.156	0.0	0.3
26	1.90	1.02	0	3	0.168	0.0	0.6
27	1.80	1.10	0	3	0.162	0.0	0.6
28	1.96	1.00	0	3	0.156	0.0	0.3
29	1.80	0.98	0	3	0.138	0.0	0.3
30	1.98	0.76	1	3	0.180	0.0	0.9
31	2.02	0.99	0	3	0.162	0.0	0.3
32	1.96	1.02	0	3	0.150	0.0	0.6
33	1.70	1.04	0	3	0.114	0.0	0.6
34	2.00	1.02	0	3	0.096	0.0	0.6
35	1.86	0.98	0	3	0.144	0.0	0.3
36	1.98	1.01	0	3	0.132	0.0	0.3
37	1.80	1.11	0	3	0.108	0.0	0.3
38	1.76	1.09	0	3	0.144	0.0	0.3
39	2.18	0.86	0	3	0.168	0.0	0.3
40	1.98	0.95	0	3	0.150	0.0	0.3
41	1.96	0.94	0	3	0.114	0.0	0.3
42	1.78	1.06	0	3	0.156	0.0	0.3
43	1.88	0.95	0	3	0.144	0.0	0.3
44	1.86	1.06	0	3	0.174	0.0	0.6
45	1.90	0.96	0	3	0.174	0.0	0.6
46	1.88	0.95	0	3	0.138	0.0	0.3
47	2.08	0.84	0	3	0.168	0.0	0.6
48	1.96	0.96	0	3	0.192	0.0	0.3
49	1.86	1.00	0	3	0.150	0.0	0.3
50	1.98	0.88	0	3	0.168	0.0	0.3
