generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.54	0.90	0	3	0.282	0.0	0.6
1	1.82	1.03	0	3	0.222	0.0	0.6
2	2.24	0.88	0	3	0.222	0.0	0.6
3	2.36	0.91	0	3	0.216	0.0	0.9
4	2.30	1.04	0	3	0.228	0.0	0.9
5	2.40	1.00	0	3	0.168	0.0	0.3
6	2.20	1.10	0	3	0.156	0.0	0.9
7	2.12	1.01	0	3	0.102	0.0	0.3
8	2.48	0.83	0	3	0.060	0.0	0.6
9	2.44	0.90	0	3	0.090	0.0	0.6
10	2.36	0.95	0	3	0.126	0.0	0.6
11	2.16	1.01	0	3	0.108	0.0	0.3
12	2.58	0.80	0	3	0.096	0.0	0.6
13	2.38	0.94	0	3	0.114	0.0	0.6
14	2.40	0.92	0	3	0.156	0.0	0.9
15	2.64	0.74	0	3	0.150	0.0	0.9
16	2.48	0.83	0	3	0.102	0.0	0.3
17	2.44	0.90	0	3	0.114	0.0	0.3
18	2.54	0.78	0	3	0.096	0.0	0.3
19	2.22	0.99	0	3	0.102	0.0	0.6
20	2.40	0.94	0	3	0.120	0.0	0.6
21	2.46	0.90	0	3	0.150	0.0	1.2
22	2.42	0.96	0	3	0.108	0.0	0.6
23	2.24	0.99	0	3	0.102	0.0	0.3
24	2.48	0.81	0	3	0.108	0.0	0.6
25	2.34	0.97	0	3	0.126	0.0	0.6
26	2.34	0.97	0	3	0.102	0.0	0.6
27	2.48	0.92	0	3	0.096	0.0	0.6
28	2.50	0.92	0	3	0.090	0.0	0.6
29	2.34	1.01	0	3	0.120	0.0	0.6
30	2.34	1.01	0	3	0.126	0.0	0.9
31	2.36	1.07	0	3	0.126	0.0	0.6
32	2.52	0.92	0	3	0.096	0.0	0.3
33	2.56	0.85	0	3	0.114	0.0	0.6
34	2.50	0.85	0	3	0.096	0.0	0.9
35	2.46	0.90	0	3	0.084	0.0	0.6
36	2.36	0.77	1	3	0.102	0.0	0.6
37	2.60	0.75	0	3	0.144	0.0	0.6
38	2.46	0.92	0	3	0.096	0.0	0.3
39	2.44	0.85	0	3	0.096	0.0	0.6
40	2.16	1.08	0	3	0.084	0.0	0.3
41	2.44	0.90	0	3	0.090	0.0	0.9
42	2.34	0.99	0	3	0.102	0.0	0.3
43	2.46	0.94	0	3	0.090	0.0	0.3
44	2.40	1.06	0	3	0.102	0.0	0.3
45	2.60	0.77	0	3	0.090	0.0	0.3
46	2.62	0.77	0	3	0.096	0.0	0.3
47	2.24	1.07	0	3	0.138	0.0	0.6
48	2.50	0.81	0	3	0.096	0.0	0.6
49	2.40	1.00	0	3	0.078	0.0	0.6
50	2.20	0.98	0	3	0.096	0.0	0.6
