generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.70	1.06	0	3	0.252	0.0	0.6
1	2.20	1.13	0	3	0.234	0.0	0.9
2	2.44	0.92	0	3	0.174	0.0	0.6
3	2.20	1.06	0	3	0.132	0.0	0.6
4	2.46	1.00	0	3	0.126	0.0	0.6
5	2.20	1.15	0	3	0.120	0.0	0.6
6	2.20	1.04	0	3	0.126	0.0	0.3
7	2.04	1.18	0	3	0.132	0.0	0.6
8	2.08	1.09	0	3	0.138	0.0	0.6
9	2.20	0.96	0	3	0.120	0.0	0.6
10	2.12	1.03	0	3	0.138	0.0	0.3
11	2.20	1.02	0	3	0.162	0.0	0.6
12	2.18	1.05	0	3	0.174	0.0	0.9
13	2.10	1.20	0	3	0.156	0.0	0.9
14	2.02	1.12	0	3	0.198	0.0	0.9
15	1.90	1.22	0	3	0.180	0.0	0.9
16	2.14	1.20	0	3	0.156	0.0	0.6
17	2.20	1.06	0	3	0.132	0.0	0.6
18	2.20	1.13	0	3	0.108	0.0	0.3
19	2.28	0.96	0	3	0.120	0.0	0.6
20	2.50	0.90	0	3	0.090	0.0	0.6
21	2.40	0.94	0	3	0.144	0.0	0.9
22	2.26	1.13	0	3	0.138	0.0	0.6
23	2.22	1.10	0	3	0.102	0.0	0.3
24	2.26	1.09	0	3	0.138	0.0	0.3
25	2.28	1.06	0	3	0.144	0.0	0.6
26	2.12	1.23	0	3	0.210	0.0	0.9
27	2.26	1.00	0	3	0.144	0.0	0.9
28	2.48	0.85	0	3	0.120	0.0	0.6
29	2.54	0.85	0	3	0.114	0.0	0.6
30	2.46	0.92	0	3	0.144	0.0	0.9
31	2.12	1.14	0	3	0.186	0.0	0.9
32	2.38	0.91	0	3	0.138	0.0	0.9
33	2.44	0.98	0	3	0.138	0.0	0.6
34	2.48	0.92	0	3	0.114	0.0	0.3
35	2.04	1.15	0	3	0.138	0.0	0.3
36	2.26	1.04	0	3	0.138	0.0	0.9
37	2.18	1.16	0	3	0.150	0.0	0.9
38	2.12	1.09	0	3	0.138	0.0	0.3
39	2.16	1.12	0	3	0.144	0.0	0.6
40	2.14	1.11	0	3	0.138	0.0	0.3
41	2.50	0.92	0	3	0.126	0.0	0.9
42	2.54	0.90	0	3	0.114	0.0	0.6
43	2.30	1.02	0	3	0.126	0.0	0.3
44	2.24	1.12	0	3	0.144	0.0	0.6
45	2.12	1.19	0	3	0.150	0.0	0.6
46	2.10	1.20	0	3	0.180	0.0	0.9
47	2.22	1.20	0	3	0.126	0.0	0.6
48	2.28	1.13	0	3	0.156	0.0	0.9
49	2.14	1.13	0	3	0.102	0.0	0.9
50	2.50	0.94	0	3	0.144	0.0	0.9
