generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.88	0.68	0	3	0.258	0.0	0.9
1	2.10	0.70	1	3	0.210	0.0	0.6
2	2.50	0.61	1	3	0.234	0.0	0.6
3	2.24	0.91	0	3	0.222	0.0	0.9
4	2.46	0.70	1	3	0.192	0.0	0.6
5	2.46	0.75	0	3	0.162	0.0	0.6
6	2.48	0.85	0	3	0.162	0.0	0.3
7	2.52	0.70	1	3	0.138	0.0	0.9
8	2.32	0.88	0	3	0.144	0.0	0.6
9	2.06	0.90	0	3	0.090	0.0	0.3
10	2.36	0.77	0	3	0.090	0.0	0.3
11	2.46	0.75	0	3	0.108	0.0	0.6
12	2.40	0.72	0	3	0.090	0.0	0.6
13	2.34	0.76	0	3	0.102	0.0	0.6
14	2.26	0.84	0	3	0.126	0.0	0.6
15	2.28	0.72	1	3	0.114	0.0	0.9
16	2.42	0.70	0	3	0.096	0.0	0.9
17	2.24	0.79	0	3	0.114	0.0	0.6
18	2.28	0.75	0	3	0.126	0.0	1.2
19	2.26	0.59	1	3	0.102	0.0	0.6
20	2.14	0.77	0	3	0.090	0.0	0.6
21	2.22	0.67	1	3	0.114	0.0	0.9
22	2.24	0.62	1	3	0.150	0.0	0.6
23	2.24	0.71	0	3	0.102	0.0	1.2
24	2.38	0.72	0	3	0.102	0.0	0.3
25	2.34	0.76	0	3	0.090	0.0	0.6
26	2.44	0.80	0	3	0.090	0.0	0.6
27	2.38	0.80	0	3	0.102	0.0	0.3
28	2.26	0.77	1	3	0.084	0.0	0.6
29	2.28	0.78	1	3	0.096	0.0	0.3
30	2.52	0.61	1	3	0.156	0.0	0.9
31	2.42	0.75	0	3	0.120	0.0	0.6
32	2.38	0.80	0	3	0.096	0.0	0.3
33	2.28	0.90	0	3	0.090	0.0	0.6
34	2.30	0.67	1	3	0.090	0.0	0.6
35	2.48	0.70	1	3	0.120	0.0	0.3
36	2.42	0.75	0	3	0.114	0.0	0.6
37	2.32	0.79	1	3	0.132	0.0	0.9
38	2.36	0.71	1	3	0.150	0.0	0.9
39	2.32	0.76	1	3	0.108	0.0	0.6
40	2.30	0.67	1	3	0.078	0.0	0.3
41	2.40	0.72	1	3	0.072	0.0	0.3
42	2.28	0.72	1	3	0.114	0.0	0.6
43	2.50	0.57	1	3	0.066	0.0	0.3
44	2.38	0.72	1	3	0.084	0.0	0.9
45	2.38	0.63	1	3	0.096	0.0	0.9
46	2.32	0.73	1	3	0.108	0.0	0.6
47	2.42	0.75	1	3	0.090	0.0	0.9
48	2.32	0.73	1	3	0.114	0.0	0.6
49	2.28	0.69	1	3	0.132	0.0	0.6
50	2.22	0.78	0	3	0.108	0.0	0.9
