rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
2	DREB2A | FBH3	3	2	0.0	DREB2A, FBH3	2	20
3	ABCG31 & ABF4	3	2	0.0	ABCG31, ABF4	2	20
4	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
5	ABA4 & ~HB5	3	2	0.0	ABA4, HB5	2	20
6	ABA4 & ~HB5	3	2	0.0	ABA4, HB5	2	20
7	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
8	ABA4 & FBH3	3	2	0.0	ABA4, FBH3	2	20
9	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	20
10	DREB2A | FBH3	3	2	0.0	DREB2A, FBH3	2	20
11	HB6 & PP2C5	3	2	0.0	HB6, PP2C5	2	20
12	ABF4 | DREB2A	3	2	0.0	ABF4, DREB2A	2	20
13	DREB2A & FBH3	3	2	0.0	DREB2A, FBH3	2	20
14	HB6 & PP2C5	3	2	0.0	HB6, PP2C5	2	20
15	ABCG31 & ABF4	3	2	0.0	ABCG31, ABF4	2	20
16	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
17	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
18	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	20
19	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	20
20	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	20
21	FBH3 & PP2C5	3	2	0.0	FBH3, PP2C5	2	20
22	ABF3 & DREB2A	3	2	0.0	ABF3, DREB2A	2	20
23	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	20
24	ZAT6	3	1	0.3	ZAT6	1	20
25	ABF4	3	1	0.3	ABF4	1	20
26	DREB2A & FBH3 & MYB44	3	3	0.3	DREB2A, FBH3, MYB44	3	20
27	ABF3 & DREB2A & HB6 & PP2C5	3	4	0.6	ABF3, DREB2A, HB6, PP2C5	4	20
28	ABF3 & HB6	2	2	0.0	ABF3, HB6	2	20
29	ABCG31 & PP2C5	2	2	0.0	ABCG31, PP2C5	2	20
30	MYB44	2	1	0.3	MYB44	1	20
31	ABCG31 & CYP707A3	2	2	0.0	ABCG31, CYP707A3	2	20
32	MYB44 | ZAT6	2	2	0.0	MYB44, ZAT6	2	20
33	PP2C5	2	1	0.3	PP2C5	1	20
34	MYB44	2	1	0.3	MYB44	1	20
35	PP2C5 & (CYP707A3 | MYB44)	2	3	0.3	CYP707A3, MYB44, PP2C5	3	20
36	MYB44	2	1	0.3	MYB44	1	20
37	ABCG31 | DREB2A | PP2C5	2	3	0.3	ABCG31, DREB2A, PP2C5	3	20
38	MYB44	2	1	0.3	MYB44	1	20
39	ABCG31	2	1	0.3	ABCG31	1	20
40	MYB44	2	1	0.3	MYB44	1	20
41	MYB44	2	1	0.3	MYB44	1	20
42	ABA4 | ABF4	1	2	0.0	ABA4, ABF4	2	20
43	MYB44 | PP2C5	1	2	0.0	MYB44, PP2C5	2	20
44	ABA4 & HB6	1	2	0.0	ABA4, HB6	2	20
45	HB6	1	1	0.3	HB6	1	20
46	HB6	1	1	0.3	HB6	1	20
47	PP2C5 | ~DREB2A	0	2	0.0	DREB2A, PP2C5	2	20
48	~ZAT6	0	1	0.3	ZAT6	1	20
49	~DREB2A	0	1	0.3	DREB2A	1	20
50	ABA4 | ABCG31 | ABF4 | PP2C5	0	4	0.6	ABA4, ABCG31, ABF4, PP2C5	4	20
