rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ZAT6 | ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	50
2	~CYP707A3 & ~ZAT6	3	2	0.0	CYP707A3, ZAT6	2	50
3	~CYP707A3 & ~DREB2A	3	2	0.0	CYP707A3, DREB2A	2	50
4	ABF4 | ~CYP707A3	3	2	0.0	ABF4, CYP707A3	2	50
5	ABF4 | ~CYP707A3	3	2	0.0	ABF4, CYP707A3	2	50
6	HB7 & ~CYP707A3	3	2	0.0	CYP707A3, HB7	2	50
7	~CYP707A3 & ~ZAT6	3	2	0.0	CYP707A3, ZAT6	2	50
8	~CYP707A3 & ~ZAT6	3	2	0.0	CYP707A3, ZAT6	2	50
9	~CYP707A3 & ~ZAT6	3	2	0.0	CYP707A3, ZAT6	2	50
10	~CYP707A3 & ~ZAT6	3	2	0.0	CYP707A3, ZAT6	2	50
11	~CYP707A3	3	1	0.3	CYP707A3	1	50
12	~CYP707A3	3	1	0.3	CYP707A3	1	50
13	~CYP707A3	3	1	0.3	CYP707A3	1	50
14	~CYP707A3	3	1	0.3	CYP707A3	1	50
15	~CYP707A3	3	1	0.3	CYP707A3	1	50
16	~CYP707A3	3	1	0.3	CYP707A3	1	50
17	~CYP707A3	3	1	0.3	CYP707A3	1	50
18	ABCG31 & ~CYP707A3	2	2	0.0	ABCG31, CYP707A3	2	50
19	ABF4 & DREB2A	2	2	0.0	ABF4, DREB2A	2	50
20	~ABF4 & ~HB7	2	2	0.0	ABF4, HB7	2	50
21	ABF4 | DREB2A	2	2	0.0	ABF4, DREB2A	2	50
22	DREB2A & PP2C5	2	2	0.0	DREB2A, PP2C5	2	50
23	ABF4 | DREB2A	2	2	0.0	ABF4, DREB2A	2	50
24	ZAT6	2	1	0.3	ZAT6	1	50
25	HB6	2	1	0.3	HB6	1	50
26	False	2	1	0.3	False	1	50
27	DREB2A & ~FBH3 & ~MYB44	2	3	0.3	DREB2A, FBH3, MYB44	3	50
28	ZAT6	2	1	0.3	ZAT6	1	50
29	ZAT6	2	1	0.3	ZAT6	1	50
30	DREB2A	2	1	0.3	DREB2A	1	50
31	HB6	2	1	0.3	HB6	1	50
32	ZAT6	2	1	0.3	ZAT6	1	50
33	CYP707A3 | ~ABF4	1	2	0.0	ABF4, CYP707A3	2	50
34	ABCG31 | ABF4	1	2	0.0	ABCG31, ABF4	2	50
35	CYP707A3 | ~ABF3	1	2	0.0	ABF3, CYP707A3	2	50
36	~ABF4 & ~ZAT6	1	2	0.0	ABF4, ZAT6	2	50
37	DREB2A | HB7	1	2	0.0	DREB2A, HB7	2	50
38	ABF4 | ~DREB2A	1	2	0.0	ABF4, DREB2A	2	50
39	True	1	1	0.3	True	1	50
40	HB7	1	1	0.3	HB7	1	50
41	HB7	1	1	0.3	HB7	1	50
42	True	1	1	0.3	True	1	50
43	~ZAT6	1	1	0.3	ZAT6	1	50
44	~ABF4	1	1	0.3	ABF4	1	50
45	~ZAT6	1	1	0.3	ZAT6	1	50
46	HB7	1	1	0.3	HB7	1	50
47	~FBH3	1	1	0.3	FBH3	1	50
48	CYP707A3 | ZAT6	0	2	0.0	CYP707A3, ZAT6	2	50
49	CYP707A3	0	1	0.3	CYP707A3	1	50
50	CYP707A3	0	1	0.3	CYP707A3	1	50
