rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
2	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
3	MYB44 | ZAT6	3	2	0.0	MYB44, ZAT6	2	1
4	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
5	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
6	MYB44 | ZAT6	3	2	0.0	MYB44, ZAT6	2	1
7	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
8	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
9	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
10	FBH3 | MYB44	3	2	0.0	FBH3, MYB44	2	1
11	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
12	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
13	ABF3 | FBH3	3	2	0.0	ABF3, FBH3	2	1
14	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
15	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
16	MYB44 & ~ZAT6	3	2	0.0	MYB44, ZAT6	2	1
17	MYB44	3	1	0.3	MYB44	1	1
18	FBH3 | MYB44	3	2	0.0	FBH3, MYB44	2	1
19	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
20	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
21	MYB44 | ZAT6	3	2	0.0	MYB44, ZAT6	2	1
22	ABF3 & CYP707A3 & HB6	3	3	0.3	ABF3, CYP707A3, HB6	3	1
23	CYP707A3 & MYB44 & ~PP2C5	3	3	0.3	CYP707A3, MYB44, PP2C5	3	1
24	PP2C5 & ZAT6	2	2	0.0	PP2C5, ZAT6	2	1
25	ABCG31 | MYB44	2	2	0.0	ABCG31, MYB44	2	1
26	DREB2A & HB7	2	2	0.0	DREB2A, HB7	2	1
27	ABA4 | FBH3	2	2	0.0	ABA4, FBH3	2	1
28	CYP707A3 & DREB2A	2	2	0.0	CYP707A3, DREB2A	2	1
29	FBH3 | ZAT6	2	2	0.0	FBH3, ZAT6	2	1
30	CYP707A3 | (FBH3 & HB7)	2	3	0.3	CYP707A3, FBH3, HB7	3	1
31	~HB7	2	1	0.3	HB7	1	1
32	CYP707A3 | (MYB44 & ZAT6)	2	3	0.3	CYP707A3, MYB44, ZAT6	3	1
33	HB6	2	1	0.3	HB6	1	1
34	CYP707A3 & HB7 & ZAT6	2	3	0.3	CYP707A3, HB7, ZAT6	3	1
35	HB6	2	1	0.3	HB6	1	1
36	FBH3 | (DREB2A & ~HB7)	2	3	0.3	DREB2A, FBH3, HB7	3	1
37	CYP707A3	2	1	0.3	CYP707A3	1	1
38	HB6	2	1	0.3	HB6	1	1
39	HB6 | MYB44 | ZAT6	2	3	0.3	HB6, MYB44, ZAT6	3	1
40	CYP707A3	2	1	0.3	CYP707A3	1	1
41	ABF3 & CYP707A3 & DREB2A & HB6	2	4	0.6	ABF3, CYP707A3, DREB2A, HB6	4	1
42	ABF3 & FBH3 & (DREB2A | PP2C5)	2	4	0.6	ABF3, DREB2A, FBH3, PP2C5	4	1
43	ABF3 | HB6 | (FBH3 & HB7)	2	4	0.6	ABF3, FBH3, HB6, HB7	4	1
44	ABF3 & CYP707A3 & DREB2A & HB6	2	4	0.6	ABF3, CYP707A3, DREB2A, HB6	4	1
45	ABA4 | ABCG31	1	2	0.0	ABA4, ABCG31	2	1
46	CYP707A3 | HB6	1	2	0.0	CYP707A3, HB6	2	1
47	~ZAT6	1	1	0.3	ZAT6	1	1
48	HB7 & ~MYB44	0	2	0.0	HB7, MYB44	2	1
49	HB7 & ~MYB44	0	2	0.0	HB7, MYB44	2	1
50	~MYB44	0	1	0.3	MYB44	1	1
