Gene	Position	Rule	Correct	N_Regulators	MSE	Score
ABA4	29	ABCG31 | ~MYB44	3	2		1.9375
ABA4	30	~ABF3 & ~MYB44	3	2		1.9375
ABCG31	233	ABA4 & ~HB7	3	2		1.9375
ABF3	32	MYB44 | ~CYP707A3	3	2		1.9375
ABF4	36	FBH3 | MYB44	3	2		1.9375
CYP707A3	21	~CYP707A3 & ~FBH3	3	2		1.9375
CYP707A3	22	~ABCG31 & ~MYB44	3	2		1.9375
DREB2A	34	FBH3 | (ABA4 & CYP707A3)	3	3		1.9375
DREB2A	35	DREB2A | FBH3 | MYB44	3	3		1.9375
FBH3	35	MYB44 | ZAT6	3	2		1.9375
HB5	30	HB7 & ~ABF3	3	2		1.9375
HB5	31	~ABF3 & ~FBH3	3	2		1.9375
HB6	243	~HB7 | ~ZAT6	3	2		1.9375
HB7	6	ABCG31 | ~ABF3	3	2		1.9375
MYB44	23	HB6 | ZAT6	3	2		1.9375
PP2C5	225	MYB44 & ~HB7	3	2		1.9375
ZAT6	7	ABF3 & MYB44	3	2		1.9375
ZAT6	9	HB6 & MYB44	3	2		1.9375
