generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.34	0.65	0	2	0.380	0.0	0.5
1	1.78	0.41	1	2	0.320	0.0	0.5
2	1.64	0.56	0	3	0.160	0.0	0.5
3	1.78	0.64	1	3	0.210	0.0	0.5
4	1.86	0.80	0	3	0.210	0.0	0.5
5	1.98	0.84	1	3	0.280	0.0	0.5
6	1.92	1.09	0	3	0.340	0.0	0.5
7	1.88	0.93	0	3	0.330	0.0	0.5
8	1.96	1.09	0	3	0.400	0.0	0.5
9	1.90	1.02	0	3	0.330	0.0	0.5
10	2.00	1.02	0	3	0.340	0.0	0.5
11	2.10	1.08	0	3	0.270	0.0	0.5
12	2.10	0.96	0	3	0.260	0.0	0.5
13	2.04	0.98	0	3	0.230	0.0	0.5
14	1.92	1.09	0	3	0.220	0.0	0.5
15	2.12	0.99	0	3	0.230	0.0	0.5
16	2.10	0.94	0	3	0.150	0.0	1.0
17	1.84	1.03	0	3	0.200	0.0	0.5
18	1.96	0.94	0	3	0.170	0.0	0.5
19	1.92	1.09	0	3	0.240	0.0	0.5
20	1.66	1.03	0	3	0.230	0.0	0.5
21	1.76	1.07	0	3	0.220	0.0	0.5
22	1.76	1.07	0	3	0.240	0.0	0.5
23	1.96	0.92	0	3	0.190	0.0	0.5
24	1.92	0.93	0	3	0.190	0.0	0.5
25	1.84	0.99	0	3	0.240	0.0	0.5
26	1.92	0.98	0	3	0.200	0.0	0.5
27	2.02	0.86	0	3	0.230	0.0	1.0
28	2.02	1.05	0	3	0.210	0.0	1.0
29	1.86	1.04	0	3	0.240	0.0	0.5
30	1.80	1.02	0	3	0.220	0.0	0.5
31	1.60	0.94	0	3	0.230	0.0	0.5
32	1.92	0.91	0	3	0.200	0.0	0.5
33	1.98	1.03	0	3	0.240	0.0	0.5
34	1.72	1.13	0	3	0.280	0.0	1.0
35	1.88	0.99	0	3	0.220	0.0	0.5
36	2.06	1.03	0	3	0.230	0.0	0.5
37	1.96	0.98	0	3	0.240	0.0	0.5
38	2.14	0.85	0	3	0.250	0.0	0.5
39	1.60	1.08	0	3	0.220	0.0	0.5
40	1.80	1.00	0	3	0.230	0.0	0.5
41	2.02	0.95	0	3	0.220	0.0	0.5
42	1.92	0.98	0	3	0.230	0.0	0.5
43	2.32	0.84	0	3	0.280	0.0	0.5
44	1.82	0.97	0	3	0.210	0.0	0.5
45	1.92	1.00	0	3	0.200	0.0	0.5
46	1.66	1.11	0	3	0.190	0.0	0.5
47	2.02	0.93	0	3	0.190	0.0	1.0
48	1.80	1.04	0	3	0.220	0.0	1.0
49	1.94	0.97	0	3	0.190	0.0	0.5
50	1.92	0.87	0	3	0.240	0.0	0.5
