generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.44	0.50	1	2	0.350	0.0	0.5
1	1.84	0.37	1	2	0.230	0.0	0.5
2	1.80	0.45	0	2	0.080	0.0	1.0
3	1.88	0.32	1	2	0.090	0.0	0.5
4	1.78	0.41	1	2	0.110	0.0	0.5
5	1.80	0.40	1	2	0.150	0.0	1.0
6	1.78	0.46	0	2	0.120	0.0	1.0
7	1.80	0.40	1	2	0.110	0.0	0.5
8	1.66	0.55	0	3	0.160	0.0	0.5
9	1.76	0.59	0	3	0.200	0.0	1.0
10	1.92	0.59	1	3	0.110	0.0	0.5
11	1.82	0.71	0	3	0.190	0.0	0.5
12	1.92	0.69	1	3	0.230	0.0	0.5
13	1.78	0.88	0	3	0.220	0.0	0.5
14	1.90	0.94	0	3	0.240	0.0	0.5
15	2.02	0.88	0	3	0.290	0.0	0.5
16	1.96	0.92	0	3	0.270	0.0	0.5
17	2.12	0.89	0	3	0.260	0.0	0.5
18	1.80	0.98	0	3	0.250	0.0	0.5
19	1.98	0.84	1	3	0.250	0.0	0.5
20	1.84	0.97	0	3	0.230	0.0	0.5
21	1.98	0.86	0	3	0.180	0.0	0.5
22	1.72	1.04	0	3	0.210	0.0	1.0
23	1.78	0.99	0	3	0.170	0.0	0.5
24	1.74	0.96	0	3	0.140	0.0	0.5
25	1.96	0.89	0	3	0.170	0.0	0.5
26	1.80	0.92	0	3	0.190	0.0	0.5
27	1.92	0.82	0	3	0.160	0.0	0.5
28	2.04	0.80	0	3	0.190	0.0	0.5
29	1.82	0.95	0	3	0.170	0.0	0.5
30	1.84	0.86	0	3	0.200	0.0	0.5
31	1.90	0.81	0	3	0.220	0.0	0.5
32	1.92	0.89	0	3	0.190	0.0	0.5
33	1.94	0.86	0	3	0.170	0.0	0.5
34	1.92	0.89	0	3	0.190	0.0	1.0
35	2.04	0.82	0	3	0.240	0.0	0.5
36	1.84	0.92	0	3	0.180	0.0	0.5
37	1.88	0.84	0	3	0.160	0.0	0.5
38	1.88	0.91	0	3	0.180	0.0	0.5
39	1.96	0.85	1	3	0.170	0.0	0.5
40	1.92	0.89	0	3	0.220	0.0	0.5
41	1.96	0.80	0	3	0.150	0.0	0.5
42	1.72	0.98	0	3	0.190	0.0	0.5
43	1.78	0.94	0	3	0.140	0.0	1.0
44	1.88	0.86	0	3	0.200	0.0	1.0
45	1.88	0.93	0	3	0.140	0.0	0.5
46	1.78	0.94	0	3	0.180	0.0	1.0
47	1.98	0.86	0	3	0.150	0.0	0.5
48	1.74	0.93	0	3	0.150	0.0	0.5
49	1.92	0.91	0	3	0.170	0.0	0.5
50	1.80	0.94	0	3	0.210	0.0	0.5
