generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.62	0.72	0	3	0.400	0.0	1.0
1	2.02	0.65	0	3	0.210	0.0	0.5
2	2.26	0.63	1	3	0.210	0.0	0.5
3	2.36	0.79	0	3	0.180	0.0	0.5
4	2.44	0.78	0	3	0.160	0.0	0.5
5	2.30	0.94	0	3	0.170	0.0	0.5
6	2.24	0.93	0	3	0.140	0.0	0.5
7	2.40	0.72	0	3	0.130	0.0	1.0
8	2.22	0.99	0	3	0.140	0.0	0.5
9	2.46	0.70	0	3	0.170	0.0	1.0
10	2.54	0.70	0	3	0.110	0.0	0.5
11	2.36	0.82	0	3	0.100	0.0	0.5
12	2.34	0.79	0	3	0.120	0.0	1.0
13	2.42	0.90	0	3	0.090	0.0	0.5
14	2.44	0.80	0	3	0.090	0.0	0.5
15	2.44	0.78	1	3	0.110	0.0	0.5
16	2.38	0.85	0	3	0.100	0.0	0.5
17	2.44	0.67	1	3	0.090	0.0	0.5
18	2.54	0.78	0	3	0.130	0.0	0.5
19	2.14	0.94	0	3	0.180	0.0	1.0
20	2.12	0.91	0	3	0.160	0.0	1.0
21	2.48	0.75	1	3	0.170	0.0	0.5
22	2.22	0.83	0	3	0.130	0.0	0.5
23	2.36	0.69	0	3	0.080	0.0	0.5
24	2.56	0.73	0	3	0.100	0.0	0.5
25	2.42	0.78	0	3	0.100	0.0	0.5
26	2.32	0.90	0	3	0.140	0.0	0.5
27	2.44	0.73	1	3	0.090	0.0	0.5
28	2.44	0.88	0	3	0.120	0.0	1.0
29	2.32	0.73	0	3	0.130	0.0	0.5
30	2.34	0.68	1	3	0.140	0.0	0.5
31	2.48	0.67	1	3	0.130	0.0	1.0
32	2.32	0.88	0	3	0.190	0.0	0.5
33	2.42	0.78	0	3	0.120	0.0	0.5
34	2.48	0.73	0	3	0.120	0.0	1.0
35	2.44	0.75	0	3	0.130	0.0	0.5
36	2.48	0.78	0	3	0.100	0.0	1.0
37	2.42	0.72	0	3	0.130	0.0	0.5
38	2.38	0.77	0	3	0.160	0.0	0.5
39	2.50	0.75	0	3	0.150	0.0	0.5
40	2.40	0.69	1	3	0.050	0.0	0.5
41	2.44	0.73	0	3	0.150	0.0	0.5
42	2.30	0.75	0	3	0.140	0.0	0.5
43	2.44	0.78	0	3	0.140	0.0	0.5
44	2.46	0.83	0	3	0.100	0.0	0.5
45	2.50	0.73	0	3	0.120	0.0	0.5
46	2.48	0.67	0	3	0.130	0.0	1.0
47	2.54	0.57	1	3	0.160	0.0	1.0
48	2.46	0.78	0	3	0.150	0.0	0.5
49	2.42	0.75	0	3	0.150	0.0	0.5
50	2.44	0.83	0	3	0.110	0.0	0.5
