rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	DREB2A | PP2C5 | ~MYB44	3	3	0.0	DREB2A, MYB44, PP2C5	3	34
2	~ABF3 | ~CYP707A3	3	2	0.0	ABF3, CYP707A3	2	34
3	~ABF3 | ~CYP707A3	3	2	0.0	ABF3, CYP707A3	2	34
4	DREB2A | (~ABF3 & ~MYB44)	3	3	0.0	ABF3, DREB2A, MYB44	3	34
5	~ABA4 | (~ABF3 & ~FBH3)	3	3	0.0	ABA4, ABF3, FBH3	3	34
6	DREB2A | ~MYB44	3	2	0.0	DREB2A, MYB44	2	34
7	~ABF3	3	1	0.5	ABF3	1	34
8	~ABF3 | ~CYP707A3	3	2	0.0	ABF3, CYP707A3	2	34
9	FBH3 | ~ABF3	3	2	0.0	ABF3, FBH3	2	34
10	~ABF3 | ~CYP707A3	3	2	0.0	ABF3, CYP707A3	2	34
11	~ABF3 | ~CYP707A3	3	2	0.0	ABF3, CYP707A3	2	34
12	~DREB2A & ~FBH3 & ~MYB44	3	3	0.0	DREB2A, FBH3, MYB44	3	34
13	~ABF3 & (~DREB2A | ~MYB44)	3	3	0.0	ABF3, DREB2A, MYB44	3	34
14	~DREB2A & ~MYB44	3	2	0.0	DREB2A, MYB44	2	34
15	~ABF3 & ~FBH3	3	2	0.0	ABF3, FBH3	2	34
16	~ABF3	3	1	0.5	ABF3	1	34
17	~MYB44	3	1	0.5	MYB44	1	34
18	~MYB44	3	1	0.5	MYB44	1	34
19	~ABF3	3	1	0.5	ABF3	1	34
20	~ABF3	3	1	0.5	ABF3	1	34
21	ABCG31 & CYP707A3	2	2	0.0	ABCG31, CYP707A3	2	34
22	HB5 | (~ABCG31 & ~CYP707A3)	2	3	0.0	ABCG31, CYP707A3, HB5	3	34
23	ABA4 | ABCG31	2	2	0.0	ABA4, ABCG31	2	34
24	HB7 | MYB44	2	2	0.0	HB7, MYB44	2	34
25	~ABA4 | ~FBH3	2	2	0.0	ABA4, FBH3	2	34
26	~CYP707A3	2	1	0.5	CYP707A3	1	34
27	~ZAT6	2	1	0.5	ZAT6	1	34
28	~FBH3	2	1	0.5	FBH3	1	34
29	~DREB2A	2	1	0.5	DREB2A	1	34
30	~CYP707A3	2	1	0.5	CYP707A3	1	34
31	~ABF4	2	1	0.5	ABF4	1	34
32	~CYP707A3	2	1	0.5	CYP707A3	1	34
33	True	2	1	0.5	True	1	34
34	~CYP707A3	2	1	0.5	CYP707A3	1	34
35	HB6 | MYB44	1	2	0.0	HB6, MYB44	2	34
36	ABF3 & ~CYP707A3	1	2	0.0	ABF3, CYP707A3	2	34
37	ABA4	1	1	0.5	ABA4	1	34
38	~ABCG31	1	1	0.5	ABCG31	1	34
39	DREB2A	1	1	0.5	DREB2A	1	34
40	~ABCG31	1	1	0.5	ABCG31	1	34
41	ABF4	1	1	0.5	ABF4	1	34
42	CYP707A3	1	1	0.5	CYP707A3	1	34
43	~ABCG31	1	1	0.5	ABCG31	1	34
44	FBH3	1	1	0.5	FBH3	1	34
45	MYB44 & (DREB2A | HB7)	0	3	0.0	DREB2A, HB7, MYB44	3	34
46	DREB2A | MYB44	0	2	0.0	DREB2A, MYB44	2	34
47	ABF3 | DREB2A	0	2	0.0	ABF3, DREB2A	2	34
48	ABF3	0	1	0.5	ABF3	1	34
49	ABF3	0	1	0.5	ABF3	1	34
50	MYB44	0	1	0.5	MYB44	1	34
