rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABF3 | HB6 | MYB44	3	3	0.0	ABF3, HB6, MYB44	3	21
2	ABA4 & HB5 & HB6	3	3	0.0	ABA4, HB5, HB6	3	21
3	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	21
4	ABA4 & (HB7 | ~DREB2A)	3	3	0.0	ABA4, DREB2A, HB7	3	21
5	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	21
6	ZAT6 | (~DREB2A & ~PP2C5)	3	3	0.0	DREB2A, PP2C5, ZAT6	3	21
7	ABF3 | HB6 | MYB44	3	3	0.0	ABF3, HB6, MYB44	3	21
8	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	21
9	ABF3 | HB6	3	2	0.0	ABF3, HB6	2	21
10	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	21
11	ABA4 & HB6	3	2	0.0	ABA4, HB6	2	21
12	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	21
13	HB6	3	1	0.5	HB6	1	21
14	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	21
15	ABF3 | HB6	3	2	0.0	ABF3, HB6	2	21
16	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	21
17	ABF3 | HB6 | MYB44	3	3	0.0	ABF3, HB6, MYB44	3	21
18	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	21
19	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	21
20	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	21
21	ABF3 | HB6 | MYB44	3	3	0.0	ABF3, HB6, MYB44	3	21
22	HB6	3	1	0.5	HB6	1	21
23	HB6	3	1	0.5	HB6	1	21
24	HB6	3	1	0.5	HB6	1	21
25	HB6	3	1	0.5	HB6	1	21
26	HB6	3	1	0.5	HB6	1	21
27	HB6	3	1	0.5	HB6	1	21
28	ABA4 | CYP707A3	2	2	0.0	ABA4, CYP707A3	2	21
29	ABF3 | DREB2A	2	2	0.0	ABF3, DREB2A	2	21
30	MYB44 | ZAT6	2	2	0.0	MYB44, ZAT6	2	21
31	ABCG31 | HB6 | MYB44	2	3	0.0	ABCG31, HB6, MYB44	3	21
32	ABF4 | MYB44	2	2	0.0	ABF4, MYB44	2	21
33	FBH3 | MYB44	2	2	0.0	FBH3, MYB44	2	21
34	HB7 | MYB44	2	2	0.0	HB7, MYB44	2	21
35	ABF3 | MYB44	2	2	0.0	ABF3, MYB44	2	21
36	ABF3 | MYB44	2	2	0.0	ABF3, MYB44	2	21
37	HB5	2	1	0.5	HB5	1	21
38	ABF3	2	1	0.5	ABF3	1	21
39	HB5	2	1	0.5	HB5	1	21
40	MYB44	2	1	0.5	MYB44	1	21
41	ABF4 | FBH3 | MYB44 | (ABF3 & HB6)	2	5	1.0	ABF3, ABF4, FBH3, HB6, MYB44	5	21
42	ABA4 & ABCG31 & HB6	1	3	0.0	ABA4, ABCG31, HB6	3	21
43	ABF3 | CYP707A3	1	2	0.0	ABF3, CYP707A3	2	21
44	DREB2A | ~HB7	1	2	0.0	DREB2A, HB7	2	21
45	ABF3 & ABF4	1	2	0.0	ABF3, ABF4	2	21
46	ABF3 | ABF4 | CYP707A3 | MYB44	1	4	0.5	ABF3, ABF4, CYP707A3, MYB44	4	21
47	ZAT6	1	1	0.5	ZAT6	1	21
48	CYP707A3	1	1	0.5	CYP707A3	1	21
49	CYP707A3	1	1	0.5	CYP707A3	1	21
50	~HB6	0	1	0.5	HB6	1	21
