rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABF3 & (ABA4 | ABCG31)	3	3	0.0	ABA4, ABCG31, ABF3	3	7
2	ABF3 & (ABA4 | ~ZAT6)	3	3	0.0	ABA4, ABF3, ZAT6	3	7
3	ABF3 & CYP707A3	3	2	0.0	ABF3, CYP707A3	2	7
4	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	7
5	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	7
6	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	7
7	MYB44 | (ABCG31 & ABF4)	3	3	0.0	ABCG31, ABF4, MYB44	3	7
8	ABF3 | ABF4	3	2	0.0	ABF3, ABF4	2	7
9	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	7
10	ABF3 | ABF4	3	2	0.0	ABF3, ABF4	2	7
11	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	7
12	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	7
13	ABF3 & CYP707A3	3	2	0.0	ABF3, CYP707A3	2	7
14	ABF3 & (ABA4 | ABCG31)	3	3	0.0	ABA4, ABCG31, ABF3	3	7
15	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	7
16	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	7
17	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	7
18	ABF3 | ABF4	3	2	0.0	ABF3, ABF4	2	7
19	ABF3 | ABF4	3	2	0.0	ABF3, ABF4	2	7
20	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	7
21	MYB44	3	1	0.5	MYB44	1	7
22	ABF3 & MYB44 & (ABA4 | PP2C5)	3	4	0.5	ABA4, ABF3, MYB44, PP2C5	4	7
23	MYB44	3	1	0.5	MYB44	1	7
24	DREB2A & HB5	2	2	0.0	DREB2A, HB5	2	7
25	ABA4	2	1	0.5	ABA4	1	7
26	~ABCG31	2	1	0.5	ABCG31	1	7
27	ABA4	2	1	0.5	ABA4	1	7
28	ABCG31 & ABF3	2	2	0.0	ABCG31, ABF3	2	7
29	ABA4 & MYB44 & ~HB6	2	3	0.0	ABA4, HB6, MYB44	3	7
30	ABA4 & ABCG31 & ABF4	2	3	0.0	ABA4, ABCG31, ABF4	3	7
31	ABF4 & HB5 & MYB44	2	3	0.0	ABF4, HB5, MYB44	3	7
32	ABF4 & HB5 & MYB44	2	3	0.0	ABF4, HB5, MYB44	3	7
33	CYP707A3 | FBH3	2	2	0.0	CYP707A3, FBH3	2	7
34	ABA4 & HB7	2	2	0.0	ABA4, HB7	2	7
35	ABCG31 & HB6	2	2	0.0	ABCG31, HB6	2	7
36	ABA4 & HB5	2	2	0.0	ABA4, HB5	2	7
37	MYB44 | (ABCG31 & CYP707A3)	2	3	0.0	ABCG31, CYP707A3, MYB44	3	7
38	ABA4	2	1	0.5	ABA4	1	7
39	~ABCG31	2	1	0.5	ABCG31	1	7
40	ABA4	2	1	0.5	ABA4	1	7
41	ABA4	2	1	0.5	ABA4	1	7
42	HB7 & PP2C5	1	2	0.0	HB7, PP2C5	2	7
43	ABA4 & ~MYB44	1	2	0.0	ABA4, MYB44	2	7
44	ABCG31 | DREB2A	1	2	0.0	ABCG31, DREB2A	2	7
45	ABA4 | ABCG31	1	2	0.0	ABA4, ABCG31	2	7
46	ABA4 | ABCG31 | MYB44	1	3	0.0	ABA4, ABCG31, MYB44	3	7
47	HB5	1	1	0.5	HB5	1	7
48	HB5	1	1	0.5	HB5	1	7
49	HB5	1	1	0.5	HB5	1	7
50	ABCG31	1	1	0.5	ABCG31	1	7
