rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~MYB44 & (~ABCG31 | ~FBH3)	3	3	0.0	ABCG31, FBH3, MYB44	3	37
2	ABCG31 | ~MYB44	3	2	0.0	ABCG31, MYB44	2	37
3	HB7 & ~ABF3	3	2	0.0	ABF3, HB7	2	37
4	~ABF3 | ~HB7	3	2	0.0	ABF3, HB7	2	37
5	~ABF3 & ~DREB2A	3	2	0.0	ABF3, DREB2A	2	37
6	~ABF3 | ~HB7	3	2	0.0	ABF3, HB7	2	37
7	~MYB44 & (~ABF4 | ~HB7)	3	3	0.0	ABF4, HB7, MYB44	3	37
8	~ABF3 & ~DREB2A	3	2	0.0	ABF3, DREB2A	2	37
9	~ABF3 | ~HB7	3	2	0.0	ABF3, HB7	2	37
10	HB7 & ~MYB44	3	2	0.0	HB7, MYB44	2	37
11	ABCG31 | (~ABF3 & ~PP2C5)	3	3	0.0	ABCG31, ABF3, PP2C5	3	37
12	~ABF3 & ~DREB2A	3	2	0.0	ABF3, DREB2A	2	37
13	~ABF3 | ~HB7	3	2	0.0	ABF3, HB7	2	37
14	~ABF3	3	1	0.5	ABF3	1	37
15	~ABF3	3	1	0.5	ABF3	1	37
16	~ABF3	3	1	0.5	ABF3	1	37
17	~MYB44	3	1	0.5	MYB44	1	37
18	~MYB44	3	1	0.5	MYB44	1	37
19	~ABF3	3	1	0.5	ABF3	1	37
20	~ABF3 | ~DREB2A	2	2	0.0	ABF3, DREB2A	2	37
21	True	2	1	0.5	True	1	37
22	PP2C5 & ~ABF3	2	2	0.0	ABF3, PP2C5	2	37
23	ABCG31 | FBH3	2	2	0.0	ABCG31, FBH3	2	37
24	ABCG31	2	1	0.5	ABCG31	1	37
25	ABCG31	2	1	0.5	ABCG31	1	37
26	PP2C5	2	1	0.5	PP2C5	1	37
27	ABCG31	2	1	0.5	ABCG31	1	37
28	ABCG31	2	1	0.5	ABCG31	1	37
29	PP2C5	2	1	0.5	PP2C5	1	37
30	ABF4 & HB7	1	2	0.0	ABF4, HB7	2	37
31	ABF4 & HB7	1	2	0.0	ABF4, HB7	2	37
32	ABCG31 & ABF3	1	2	0.0	ABCG31, ABF3	2	37
33	CYP707A3 | PP2C5	1	2	0.0	CYP707A3, PP2C5	2	37
34	DREB2A & PP2C5	1	2	0.0	DREB2A, PP2C5	2	37
35	~HB7 & (~ABCG31 | ~DREB2A)	1	3	0.0	ABCG31, DREB2A, HB7	3	37
36	ABF4 & MYB44	1	2	0.0	ABF4, MYB44	2	37
37	~HB7	1	1	0.5	HB7	1	37
38	ABF3 & ~ABCG31 & ~MYB44	1	3	0.0	ABCG31, ABF3, MYB44	3	37
39	PP2C5 | (ABF3 & HB7)	1	3	0.0	ABF3, HB7, PP2C5	3	37
40	DREB2A	1	1	0.5	DREB2A	1	37
41	~PP2C5	1	1	0.5	PP2C5	1	37
42	FBH3	1	1	0.5	FBH3	1	37
43	DREB2A	1	1	0.5	DREB2A	1	37
44	~ABCG31	1	1	0.5	ABCG31	1	37
45	CYP707A3 & HB6 & HB7	0	3	0.0	CYP707A3, HB6, HB7	3	37
46	ABF3 & CYP707A3	0	2	0.0	ABF3, CYP707A3	2	37
47	ABF3 & HB6	0	2	0.0	ABF3, HB6	2	37
48	ABF3	0	1	0.5	ABF3	1	37
49	MYB44 & ~ABCG31	0	2	0.0	ABCG31, MYB44	2	37
50	ABF3 & HB5 & HB6 & ~PP2C5	0	4	0.5	ABF3, HB5, HB6, PP2C5	4	37
