rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
2	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
3	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	31
4	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	31
5	~PP2C5 & (ABA4 | ABF4)	3	3	0.0	ABA4, ABF4, PP2C5	3	31
6	FBH3 | HB6	3	2	0.0	FBH3, HB6	2	31
7	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
8	ABA4 | (ABF4 & PP2C5)	3	3	0.0	ABA4, ABF4, PP2C5	3	31
9	ABA4 | ABF3	3	2	0.0	ABA4, ABF3	2	31
10	ABA4 & HB7	3	2	0.0	ABA4, HB7	2	31
11	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	31
12	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
13	HB6 & ~FBH3	3	2	0.0	FBH3, HB6	2	31
14	FBH3 | HB6	3	2	0.0	FBH3, HB6	2	31
15	ABA4 | ZAT6	3	2	0.0	ABA4, ZAT6	2	31
16	FBH3 | HB6	3	2	0.0	FBH3, HB6	2	31
17	ABA4 | ABF3	3	2	0.0	ABA4, ABF3	2	31
18	ABA4 | ABF3 | ZAT6	3	3	0.0	ABA4, ABF3, ZAT6	3	31
19	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
20	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	31
21	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	31
22	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	31
23	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	31
24	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	31
25	ABA4	3	1	0.5	ABA4	1	31
26	ABA4	3	1	0.5	ABA4	1	31
27	HB6	3	1	0.5	HB6	1	31
28	ABA4	3	1	0.5	ABA4	1	31
29	ABF3 | MYB44	2	2	0.0	ABF3, MYB44	2	31
30	ABA4 & ABF3	2	2	0.0	ABA4, ABF3	2	31
31	ABCG31 | FBH3 | HB5	2	3	0.0	ABCG31, FBH3, HB5	3	31
32	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	31
33	ABA4 | ABCG31	2	2	0.0	ABA4, ABCG31	2	31
34	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	31
35	HB5	2	1	0.5	HB5	1	31
36	ABF3	2	1	0.5	ABF3	1	31
37	ABF3	2	1	0.5	ABF3	1	31
38	ABF3	2	1	0.5	ABF3	1	31
39	ABA4 & ABCG31	1	2	0.0	ABA4, ABCG31	2	31
40	DREB2A | (ABF3 & ABF4)	1	3	0.0	ABF3, ABF4, DREB2A	3	31
41	ABF4	1	1	0.5	ABF4	1	31
42	FBH3	1	1	0.5	FBH3	1	31
43	~MYB44	1	1	0.5	MYB44	1	31
44	ABCG31 | PP2C5	0	2	0.0	ABCG31, PP2C5	2	31
45	ABCG31 | PP2C5	0	2	0.0	ABCG31, PP2C5	2	31
46	ABCG31 | PP2C5	0	2	0.0	ABCG31, PP2C5	2	31
47	ABCG31	0	1	0.5	ABCG31	1	31
48	ABCG31	0	1	0.5	ABCG31	1	31
49	ABCG31	0	1	0.5	ABCG31	1	31
50	PP2C5	0	1	0.5	PP2C5	1	31
