rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CYP707A3 & MYB44 & PP2C5	3	3	0.0	CYP707A3, MYB44, PP2C5	3	25
2	ABA4 & DREB2A	3	2	0.0	ABA4, DREB2A	2	25
3	ABCG31 & DREB2A & ~MYB44	3	3	0.0	ABCG31, DREB2A, MYB44	3	25
4	FBH3 | (ABF3 & PP2C5)	3	3	0.0	ABF3, FBH3, PP2C5	3	25
5	PP2C5 & (ABA4 | DREB2A)	3	3	0.0	ABA4, DREB2A, PP2C5	3	25
6	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	25
7	ABF4 & ZAT6	3	2	0.0	ABF4, ZAT6	2	25
8	ABF4 | ZAT6	3	2	0.0	ABF4, ZAT6	2	25
9	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	25
10	ABF3 & DREB2A	3	2	0.0	ABF3, DREB2A	2	25
11	ABF4 | (ABF3 & PP2C5)	3	3	0.0	ABF3, ABF4, PP2C5	3	25
12	ABF4 & DREB2A	3	2	0.0	ABF4, DREB2A	2	25
13	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	25
14	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	25
15	ABF4 & HB5	3	2	0.0	ABF4, HB5	2	25
16	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	25
17	DREB2A & PP2C5	3	2	0.0	DREB2A, PP2C5	2	25
18	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	25
19	DREB2A | FBH3	3	2	0.0	DREB2A, FBH3	2	25
20	FBH3 & MYB44	3	2	0.0	FBH3, MYB44	2	25
21	ABF4 & DREB2A	3	2	0.0	ABF4, DREB2A	2	25
22	PP2C5 & (ABA4 | DREB2A)	3	3	0.0	ABA4, DREB2A, PP2C5	3	25
23	ABF4 & HB5 & PP2C5	3	3	0.0	ABF4, HB5, PP2C5	3	25
24	FBH3 & HB5	3	2	0.0	FBH3, HB5	2	25
25	ABF4 & HB7	3	2	0.0	ABF4, HB7	2	25
26	DREB2A & HB7	3	2	0.0	DREB2A, HB7	2	25
27	ABF4 & DREB2A	3	2	0.0	ABF4, DREB2A	2	25
28	ABF3 & DREB2A	3	2	0.0	ABF3, DREB2A	2	25
29	ABF4 & DREB2A	3	2	0.0	ABF4, DREB2A	2	25
30	~HB5	3	1	0.5	HB5	1	25
31	ZAT6	3	1	0.5	ZAT6	1	25
32	ZAT6	3	1	0.5	ZAT6	1	25
33	CYP707A3 & MYB44 & PP2C5 & ZAT6	3	4	0.5	CYP707A3, MYB44, PP2C5, ZAT6	4	25
34	ABA4 & (ABF3 | FBH3)	2	3	0.0	ABA4, ABF3, FBH3	3	25
35	ABCG31 & PP2C5	2	2	0.0	ABCG31, PP2C5	2	25
36	ABA4 & ABF3	2	2	0.0	ABA4, ABF3	2	25
37	ABF3 & CYP707A3	2	2	0.0	ABF3, CYP707A3	2	25
38	MYB44	2	1	0.5	MYB44	1	25
39	MYB44	2	1	0.5	MYB44	1	25
40	PP2C5	2	1	0.5	PP2C5	1	25
41	ABA4	1	1	0.5	ABA4	1	25
42	CYP707A3 | ZAT6	1	2	0.0	CYP707A3, ZAT6	2	25
43	CYP707A3 & ~FBH3	1	2	0.0	CYP707A3, FBH3	2	25
44	ABA4	1	1	0.5	ABA4	1	25
45	(PP2C5 | ~ABCG31) & (PP2C5 | ~ABF4) & (~ABCG31 | ~CYP707A3) & (~ABF4 | ~CYP707A3)	1	4	0.5	ABCG31, ABF4, CYP707A3, PP2C5	4	25
46	~ABF3	1	1	0.5	ABF3	1	25
47	~PP2C5	1	1	0.5	PP2C5	1	25
48	CYP707A3	1	1	0.5	CYP707A3	1	25
49	FBH3 | HB5	0	2	0.0	FBH3, HB5	2	25
50	HB7	0	1	0.5	HB7	1	25
