rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
2	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
3	MYB44 | ~HB5	3	2	0.0	HB5, MYB44	2	23
4	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
5	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
6	MYB44 | ~HB7	3	2	0.0	HB7, MYB44	2	23
7	ABF3 | ZAT6	3	2	0.0	ABF3, ZAT6	2	23
8	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
9	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	23
10	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
11	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
12	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	23
13	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
14	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
15	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	23
16	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	23
17	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
18	HB5 & HB7 & MYB44	3	3	0.0	HB5, HB7, MYB44	3	23
19	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
20	ABF3 | ZAT6	3	2	0.0	ABF3, ZAT6	2	23
21	HB5 & HB7 & MYB44	3	3	0.0	HB5, HB7, MYB44	3	23
22	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
23	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	23
24	ABF3	3	1	0.5	ABF3	1	23
25	ABA4 & DREB2A	2	2	0.0	ABA4, DREB2A	2	23
26	HB5 & ZAT6	2	2	0.0	HB5, ZAT6	2	23
27	MYB44 & ZAT6	2	2	0.0	MYB44, ZAT6	2	23
28	ABA4 & DREB2A & HB5	2	3	0.0	ABA4, DREB2A, HB5	3	23
29	ABCG31 & MYB44	2	2	0.0	ABCG31, MYB44	2	23
30	CYP707A3 & HB7	2	2	0.0	CYP707A3, HB7	2	23
31	ABA4 & CYP707A3 & PP2C5	2	3	0.0	ABA4, CYP707A3, PP2C5	3	23
32	ABCG31 & DREB2A	2	2	0.0	ABCG31, DREB2A	2	23
33	DREB2A & HB5	2	2	0.0	DREB2A, HB5	2	23
34	ABA4 & HB7	2	2	0.0	ABA4, HB7	2	23
35	MYB44 & ZAT6	2	2	0.0	MYB44, ZAT6	2	23
36	ABA4 | ZAT6	2	2	0.0	ABA4, ZAT6	2	23
37	DREB2A & HB5	2	2	0.0	DREB2A, HB5	2	23
38	DREB2A & HB5	2	2	0.0	DREB2A, HB5	2	23
39	ABA4 & HB7	2	2	0.0	ABA4, HB7	2	23
40	DREB2A & HB5 & HB7	2	3	0.0	DREB2A, HB5, HB7	3	23
41	FBH3	2	1	0.5	FBH3	1	23
42	ABCG31 & HB5 & MYB44	2	3	0.0	ABCG31, HB5, MYB44	3	23
43	ABF3 & DREB2A & (~ABA4 | ~HB5)	2	4	0.5	ABA4, ABF3, DREB2A, HB5	4	23
44	ABF3 | HB7	1	2	0.0	ABF3, HB7	2	23
45	ABF3 | HB7	1	2	0.0	ABF3, HB7	2	23
46	ABCG31 & CYP707A3	1	2	0.0	ABCG31, CYP707A3	2	23
47	ABCG31 & CYP707A3	1	2	0.0	ABCG31, CYP707A3	2	23
48	HB7 | MYB44 | (ABCG31 & DREB2A)	1	4	0.5	ABCG31, DREB2A, HB7, MYB44	4	23
49	HB7	1	1	0.5	HB7	1	23
50	~MYB44	0	1	0.5	MYB44	1	23
