Gene	Position	Rule
NO	1	NIA12 & NOS
PLC	1	ABA & Ca2
CaIM	1	(ROS | ~ERA1 | ~ABH1) & ~Depolar
GPA1	1	(S1P | ~GCR1) & AGB1
Atrboh	1	pH & OST1 & ROP2 & ~ABI1
HATPase	1	~ROS & ~pH & ~Ca2
Malate	1	PEPC & ~ABA & ~AnionEM
RAC1	1	~ABA & ~ABI1
Actin	1	Ca2 | ~RAC1
ROS	1	ABA & PA & pH
ABI1	1	pH & ~PA & ~ROS
KAP	1	(~pH | ~Ca2) & Depolar
Ca2	1	(CaIM | CIS) & ~Ca2ATPase
CIS	1	(Cgmp & cADPR) | (InsP3 & InsP6)
AnionEM	1	((Ca2 | pH) & ~ABI1) | (Ca2 & pH)
KOUT	1	(pH | ~ROS | ~NO) & Depolar
Depolar	1	KEV | AnionEM | ~HATPase | ~KOUT | Ca2
Closure	1	(KOUT | KAP) & AnionEM & Actin & ~Malate
