generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.12	1.13	0	4	0.340	0.0	1.0
1	2.63	1.31	0	4	0.315	0.0	1.0
2	2.68	1.27	0	4	0.235	0.0	1.0
3	2.97	1.05	0	4	0.185	0.0	0.5
4	3.13	1.09	0	4	0.215	0.0	1.0
5	3.23	1.03	0	4	0.145	0.0	1.5
6	3.14	1.06	0	4	0.155	0.0	1.0
7	2.97	1.10	0	4	0.105	0.0	0.5
8	3.06	0.98	0	4	0.215	0.0	1.0
9	3.05	1.13	0	4	0.205	0.0	0.5
10	3.13	0.90	0	4	0.170	0.0	0.5
11	3.23	1.08	0	4	0.150	0.0	1.5
12	3.12	0.95	1	4	0.145	0.0	0.5
13	3.13	0.99	0	4	0.165	0.0	1.0
14	3.43	0.85	1	4	0.150	0.0	1.0
15	3.35	0.85	1	4	0.160	0.0	1.0
16	3.22	1.01	1	4	0.115	0.0	0.5
17	3.07	1.12	0	4	0.175	0.0	0.5
18	3.20	0.97	1	4	0.185	0.0	1.0
19	3.44	0.84	0	4	0.190	0.0	1.0
20	3.22	1.02	0	4	0.120	0.0	1.0
21	3.17	0.93	0	4	0.135	0.0	1.0
22	3.15	1.06	0	4	0.135	0.0	0.5
23	2.99	1.14	0	4	0.185	0.0	1.0
24	3.12	1.06	0	4	0.140	0.0	1.0
25	3.23	1.00	0	4	0.125	0.0	0.5
26	3.35	0.89	0	4	0.140	0.0	1.0
27	3.17	0.98	0	4	0.135	0.0	0.5
28	3.19	1.02	0	4	0.120	0.0	0.5
29	3.22	0.94	0	4	0.145	0.0	1.0
30	3.20	1.09	0	4	0.135	0.0	0.5
31	3.05	1.10	0	4	0.185	0.0	0.5
32	3.09	1.00	1	4	0.155	0.0	1.0
33	3.18	0.96	0	4	0.140	0.0	0.5
34	3.17	1.15	0	4	0.200	0.0	1.0
35	3.09	1.07	0	4	0.185	0.0	1.0
36	3.17	0.94	1	4	0.145	0.0	0.5
37	3.21	0.94	0	4	0.155	0.0	0.5
38	3.24	1.00	0	4	0.165	0.0	1.0
39	3.16	1.04	0	4	0.180	0.0	1.0
40	3.15	1.05	0	4	0.150	0.0	1.0
41	3.31	0.95	0	4	0.155	0.0	1.0
42	3.26	0.93	1	4	0.190	0.0	1.0
43	3.37	0.84	1	4	0.090	0.0	0.5
44	3.40	0.79	1	4	0.185	0.0	1.0
45	3.25	1.01	0	4	0.135	0.0	1.0
46	3.09	1.04	0	4	0.150	0.0	0.5
47	3.11	1.08	0	4	0.125	0.0	1.0
48	3.37	0.81	1	4	0.190	0.0	1.0
49	3.29	0.99	0	4	0.125	0.0	1.0
50	3.27	0.93	1	4	0.130	0.0	0.5
51	3.29	0.89	0	4	0.130	0.0	1.0
52	3.15	0.89	1	4	0.195	0.0	1.0
53	3.05	1.10	0	4	0.200	0.0	0.5
54	3.28	0.93	0	4	0.150	0.0	1.0
55	3.22	0.94	0	4	0.165	0.0	0.5
56	3.26	0.90	0	4	0.110	0.0	1.0
57	3.19	0.91	0	4	0.135	0.0	0.5
58	3.27	0.89	1	4	0.170	0.0	0.5
59	3.33	0.92	0	4	0.140	0.0	0.5
60	3.23	0.96	0	4	0.135	0.0	1.0
61	3.11	0.90	0	4	0.130	0.0	0.5
62	3.24	1.01	0	4	0.190	0.0	1.0
63	3.34	0.90	0	4	0.130	0.0	1.0
64	3.40	0.94	0	4	0.125	0.0	1.0
65	3.15	1.05	0	4	0.145	0.0	1.0
66	3.29	0.96	0	4	0.170	0.0	1.5
67	3.09	1.01	0	4	0.220	0.0	0.5
68	2.95	1.12	0	4	0.185	0.0	0.5
69	3.18	1.07	0	4	0.140	0.0	1.5
70	3.14	1.10	0	4	0.160	0.0	1.0
71	3.14	1.05	0	4	0.135	0.0	0.5
72	3.26	0.89	0	4	0.135	0.0	1.0
73	3.08	1.06	0	4	0.165	0.0	1.0
74	3.24	0.83	1	4	0.155	0.0	1.0
75	3.15	1.01	0	4	0.150	0.0	1.0
76	3.21	0.93	0	4	0.180	0.0	1.0
77	3.33	0.97	0	4	0.135	0.0	0.5
78	3.17	1.08	0	4	0.145	0.0	1.0
79	3.18	1.03	0	4	0.140	0.0	1.0
80	3.16	1.01	1	4	0.135	0.0	0.5
81	3.20	1.01	1	4	0.160	0.0	1.0
82	3.31	0.99	0	4	0.125	0.0	1.0
83	3.37	0.81	1	4	0.085	0.0	0.5
84	3.34	0.90	1	4	0.140	0.0	0.5
85	3.38	0.89	0	4	0.165	0.0	1.0
86	3.21	0.92	1	4	0.135	0.0	0.5
87	3.23	1.00	0	4	0.150	0.0	1.0
88	3.32	0.86	0	4	0.135	0.0	1.0
89	3.33	0.84	1	4	0.130	0.0	0.5
90	3.19	0.98	0	4	0.115	0.0	1.5
91	3.15	1.01	0	4	0.175	0.0	0.5
92	3.28	0.96	1	4	0.100	0.0	1.0
93	3.21	1.00	0	4	0.135	0.0	0.5
94	3.32	0.84	1	4	0.160	0.0	1.0
95	3.26	0.91	1	4	0.140	0.0	0.5
96	3.32	0.86	0	4	0.145	0.0	1.0
97	3.24	0.87	1	4	0.120	0.0	1.0
98	3.24	0.88	1	4	0.155	0.0	1.0
99	3.23	0.81	1	4	0.155	0.0	1.0
100	3.16	0.92	1	4	0.170	0.0	1.0
