generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.04	0.76	0	3	0.350	0.0	1.0
1	2.42	0.78	1	4	0.245	0.0	1.0
2	2.66	0.68	1	4	0.205	0.0	1.0
3	2.75	0.90	0	4	0.195	0.0	0.5
4	2.94	0.85	1	4	0.175	0.0	1.0
5	3.10	0.81	1	4	0.120	0.0	0.5
6	3.21	0.73	1	4	0.125	0.0	0.5
7	3.17	0.76	1	4	0.145	0.0	0.5
8	3.14	0.81	1	4	0.150	0.0	0.5
9	3.33	0.65	2	4	0.120	0.0	1.0
10	3.23	0.75	1	4	0.140	0.0	0.5
11	3.19	0.80	1	4	0.155	0.0	0.5
12	3.39	0.72	1	4	0.105	0.0	0.5
13	3.26	0.94	0	4	0.125	0.0	0.5
14	3.27	0.81	1	4	0.115	0.0	1.0
15	3.26	0.81	1	4	0.115	0.0	0.5
16	3.23	0.87	0	4	0.135	0.0	0.5
17	3.21	0.67	2	4	0.100	0.0	1.0
18	3.16	0.82	1	4	0.140	0.0	0.5
19	3.17	0.81	1	4	0.130	0.0	0.5
20	3.15	0.83	1	4	0.155	0.0	0.5
21	3.20	0.80	0	4	0.145	0.0	0.5
22	3.24	0.79	1	4	0.155	0.0	1.0
23	3.22	0.69	1	4	0.120	0.0	0.5
24	3.23	0.80	1	4	0.110	0.0	0.5
25	3.33	0.63	1	4	0.130	0.0	0.5
26	3.29	0.70	2	4	0.115	0.0	0.5
27	3.18	0.88	0	4	0.135	0.0	1.0
28	3.29	0.67	1	4	0.150	0.0	1.0
29	3.34	0.68	1	4	0.140	0.0	1.0
30	3.26	0.82	0	4	0.115	0.0	0.5
31	3.15	0.84	1	4	0.165	0.0	1.0
32	3.20	0.76	1	4	0.160	0.0	1.0
33	3.26	0.77	1	4	0.150	0.0	0.5
34	3.28	0.72	1	4	0.120	0.0	1.0
35	3.35	0.75	0	4	0.130	0.0	1.5
36	3.23	0.82	1	4	0.110	0.0	0.5
37	3.27	0.80	1	4	0.085	0.0	0.5
38	3.26	0.87	1	4	0.115	0.0	0.5
39	3.28	0.75	1	4	0.140	0.0	0.5
40	3.21	0.82	1	4	0.140	0.0	0.5
41	3.17	0.84	0	4	0.120	0.0	0.5
42	3.20	0.72	1	4	0.155	0.0	0.5
43	3.24	0.74	1	4	0.125	0.0	1.0
44	3.31	0.70	1	4	0.120	0.0	1.0
45	3.37	0.72	1	4	0.120	0.0	0.5
46	3.20	0.75	1	4	0.120	0.0	0.5
47	3.21	0.80	1	4	0.130	0.0	0.5
48	3.34	0.64	1	4	0.115	0.0	1.0
49	3.29	0.74	1	4	0.160	0.0	0.5
50	3.20	0.76	1	4	0.165	0.0	0.5
51	3.12	0.89	1	4	0.130	0.0	1.0
52	3.11	0.71	1	4	0.170	0.0	1.0
53	3.18	0.68	2	4	0.110	0.0	0.5
54	3.14	0.82	1	4	0.175	0.0	1.0
55	3.27	0.76	1	4	0.130	0.0	0.5
56	3.16	0.83	0	4	0.135	0.0	1.0
57	3.12	0.75	1	4	0.150	0.0	1.0
58	3.28	0.69	2	4	0.140	0.0	1.0
59	3.26	0.76	1	4	0.105	0.0	0.5
60	3.25	0.79	0	4	0.110	0.0	0.5
61	3.22	0.76	1	4	0.145	0.0	0.5
62	3.24	0.75	1	4	0.115	0.0	0.5
63	3.31	0.77	1	4	0.105	0.0	0.5
64	3.27	0.81	1	4	0.135	0.0	1.0
65	3.25	0.67	1	4	0.135	0.0	0.5
66	3.21	0.79	1	4	0.115	0.0	1.0
67	3.22	0.74	1	4	0.120	0.0	0.5
68	3.23	0.76	1	4	0.140	0.0	1.0
69	3.22	0.81	1	4	0.120	0.0	0.5
70	3.29	0.80	1	4	0.120	0.0	1.0
71	3.21	0.75	1	4	0.135	0.0	1.0
72	3.27	0.80	1	4	0.145	0.0	1.0
73	3.17	0.78	1	4	0.145	0.0	0.5
74	3.24	0.80	1	4	0.075	0.0	0.5
75	3.22	0.74	1	4	0.155	0.0	1.0
76	3.37	0.74	1	4	0.130	0.0	1.0
77	3.23	0.80	0	4	0.135	0.0	0.5
78	3.15	0.78	1	4	0.100	0.0	0.5
79	3.22	0.73	1	4	0.105	0.0	1.0
80	3.28	0.72	2	4	0.100	0.0	1.0
81	3.17	0.80	1	4	0.135	0.0	0.5
82	3.29	0.73	1	4	0.100	0.0	0.5
83	3.07	0.90	1	4	0.100	0.0	0.5
84	3.18	0.77	1	4	0.125	0.0	1.0
85	3.25	0.74	1	4	0.135	0.0	0.5
86	3.18	0.83	1	4	0.115	0.0	0.5
87	3.26	0.88	1	4	0.160	0.0	1.5
88	3.27	0.86	0	4	0.130	0.0	0.5
89	3.24	0.81	1	4	0.105	0.0	0.5
90	3.23	0.82	1	4	0.165	0.0	0.5
91	3.32	0.69	1	4	0.165	0.0	1.0
92	3.29	0.65	1	4	0.105	0.0	1.0
93	3.10	0.82	1	4	0.135	0.0	0.5
94	3.24	0.76	1	4	0.120	0.0	0.5
95	3.28	0.75	1	4	0.105	0.0	0.5
96	3.24	0.83	1	4	0.135	0.0	1.0
97	3.16	0.76	1	4	0.140	0.0	0.5
98	3.22	0.82	1	4	0.135	0.0	0.5
99	3.21	0.71	1	4	0.130	0.0	0.5
100	3.25	0.84	1	4	0.145	0.0	0.5
