generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.11	1.09	0	4	0.360	0.0	1.0
1	2.74	1.03	0	4	0.315	0.0	0.5
2	3.00	1.04	1	4	0.315	0.0	0.5
3	2.87	1.06	0	4	0.250	0.0	1.5
4	3.00	1.06	0	4	0.155	0.0	1.0
5	2.92	1.17	0	4	0.195	0.0	1.0
6	2.90	1.13	0	4	0.205	0.0	0.5
7	3.03	1.03	0	4	0.185	0.0	0.5
8	3.19	0.89	0	4	0.155	0.0	1.0
9	3.18	0.86	1	4	0.125	0.0	0.5
10	3.24	0.80	1	4	0.150	0.0	0.5
11	2.85	1.13	0	4	0.175	0.0	0.5
12	3.27	0.80	1	4	0.105	0.0	0.5
13	2.92	1.07	0	4	0.135	0.0	1.0
14	2.99	0.98	0	4	0.150	0.0	0.5
15	3.19	0.88	1	4	0.165	0.0	1.0
16	3.23	0.90	0	4	0.170	0.0	1.0
17	3.12	0.95	0	4	0.170	0.0	0.5
18	3.07	1.06	0	4	0.135	0.0	0.5
19	3.12	0.90	0	4	0.195	0.0	1.0
20	2.93	1.06	0	4	0.165	0.0	1.0
21	3.00	0.99	0	4	0.110	0.0	1.0
22	3.26	0.83	0	4	0.115	0.0	0.5
23	3.26	0.91	0	4	0.125	0.0	0.5
24	3.11	0.92	0	4	0.175	0.0	1.0
25	3.05	1.04	0	4	0.135	0.0	1.0
26	3.09	0.81	1	4	0.155	0.0	1.0
27	3.00	0.95	0	4	0.120	0.0	1.0
28	3.01	0.96	0	4	0.155	0.0	0.5
29	3.01	1.01	0	4	0.190	0.0	1.0
30	3.15	0.92	0	4	0.120	0.0	0.5
31	3.05	1.01	0	4	0.130	0.0	1.0
32	3.15	0.84	0	4	0.185	0.0	1.0
33	3.09	0.95	0	4	0.155	0.0	1.0
34	3.10	1.01	0	4	0.170	0.0	1.0
35	3.31	0.82	1	4	0.125	0.0	0.5
36	3.21	0.94	0	4	0.105	0.0	0.5
37	2.99	1.05	0	4	0.155	0.0	1.0
38	3.24	0.86	0	4	0.100	0.0	0.5
39	3.16	0.90	0	4	0.155	0.0	0.5
40	3.10	0.78	1	4	0.140	0.0	1.5
41	2.83	1.01	0	4	0.145	0.0	0.5
42	3.18	0.86	0	4	0.120	0.0	0.5
43	3.14	0.89	0	4	0.125	0.0	1.0
44	3.21	0.83	1	4	0.100	0.0	0.5
45	3.16	0.82	1	4	0.160	0.0	1.0
46	3.39	0.73	1	4	0.090	0.0	0.5
47	3.33	0.79	1	4	0.105	0.0	1.0
48	3.16	0.91	0	4	0.165	0.0	1.0
49	3.12	0.97	0	4	0.140	0.0	0.5
50	3.05	0.95	0	4	0.150	0.0	0.5
51	3.10	0.96	0	4	0.135	0.0	1.0
52	3.18	0.89	0	4	0.125	0.0	0.5
53	3.05	0.94	0	4	0.145	0.0	1.0
54	3.19	0.89	0	4	0.140	0.0	1.0
55	3.24	0.83	1	4	0.160	0.0	0.5
56	3.19	0.99	0	4	0.140	0.0	1.0
57	3.12	0.87	0	4	0.130	0.0	1.0
58	3.00	1.00	0	4	0.175	0.0	1.0
59	3.09	0.96	0	4	0.170	0.0	1.0
60	3.14	0.96	0	4	0.150	0.0	0.5
61	3.18	0.91	1	4	0.160	0.0	0.5
62	3.37	0.82	1	4	0.150	0.0	0.5
63	3.22	0.84	0	4	0.150	0.0	0.5
64	3.22	0.93	0	4	0.155	0.0	0.5
65	3.11	1.01	0	4	0.175	0.0	1.0
66	2.94	0.95	0	4	0.160	0.0	1.0
67	3.11	0.85	1	4	0.185	0.0	1.0
68	2.99	0.98	0	4	0.130	0.0	1.0
69	3.14	0.87	1	4	0.135	0.0	0.5
70	3.02	1.01	0	4	0.135	0.0	0.5
71	3.18	0.91	0	4	0.145	0.0	1.0
72	3.32	0.89	0	4	0.090	0.0	0.5
73	3.22	0.93	0	4	0.120	0.0	0.5
74	3.19	0.98	0	4	0.140	0.0	1.0
75	3.13	0.96	0	4	0.140	0.0	1.0
76	3.19	0.97	0	4	0.135	0.0	0.5
77	3.15	0.92	1	4	0.155	0.0	1.0
78	3.11	1.01	0	4	0.170	0.0	1.0
79	3.11	0.97	0	4	0.185	0.0	1.0
80	3.00	0.95	0	4	0.160	0.0	0.5
81	2.91	1.12	0	4	0.170	0.0	0.5
82	3.13	0.98	0	4	0.190	0.0	1.0
83	3.17	0.99	0	4	0.175	0.0	1.0
84	2.95	0.99	0	4	0.180	0.0	1.0
85	3.01	0.97	0	4	0.175	0.0	1.0
86	2.98	1.02	0	4	0.130	0.0	1.0
87	2.97	1.00	0	4	0.135	0.0	0.5
88	3.01	0.96	0	4	0.140	0.0	0.5
89	3.09	0.91	0	4	0.115	0.0	1.0
90	3.12	0.90	0	4	0.150	0.0	1.0
91	3.28	0.87	0	4	0.115	0.0	0.5
92	3.16	0.95	0	4	0.125	0.0	0.5
93	3.24	0.72	1	4	0.170	0.0	1.0
94	3.07	0.94	0	4	0.170	0.0	1.0
95	3.11	0.89	0	4	0.145	0.0	1.0
96	3.18	0.86	0	4	0.155	0.0	1.0
97	3.28	0.87	0	4	0.140	0.0	0.5
98	3.17	0.95	0	4	0.095	0.0	0.5
99	3.19	0.84	1	4	0.110	0.0	0.5
100	3.14	1.00	0	4	0.155	0.0	1.0
