generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.71	0.99	0	4	0.370	0.0	0.5
1	2.41	1.12	0	4	0.280	0.0	1.5
2	2.37	1.27	0	4	0.235	0.0	1.0
3	2.54	1.27	0	4	0.265	0.0	1.0
4	2.62	1.18	0	4	0.230	0.0	1.0
5	2.74	1.21	0	4	0.200	0.0	1.0
6	2.84	1.18	0	4	0.220	0.0	1.0
7	2.78	1.31	0	4	0.160	0.0	0.5
8	2.85	1.29	0	4	0.195	0.0	0.5
9	3.07	1.02	0	4	0.180	0.0	1.0
10	2.90	1.30	0	4	0.190	0.0	0.5
11	2.85	1.14	0	4	0.160	0.0	0.5
12	2.97	1.29	0	4	0.140	0.0	0.5
13	2.89	1.23	0	4	0.130	0.0	1.0
14	2.85	1.23	0	4	0.150	0.0	1.0
15	2.72	1.28	0	4	0.145	0.0	0.5
16	2.87	1.26	0	4	0.125	0.0	0.5
17	2.72	1.39	0	4	0.150	0.0	1.0
18	2.71	1.32	0	4	0.220	0.0	0.5
19	2.89	1.26	0	4	0.170	0.0	0.5
20	2.92	1.23	0	4	0.175	0.0	0.5
21	2.79	1.37	0	4	0.155	0.0	0.5
22	3.09	1.11	0	4	0.135	0.0	0.5
23	2.97	1.23	0	4	0.180	0.0	0.5
24	2.86	1.26	0	4	0.175	0.0	0.5
25	3.06	1.09	0	4	0.140	0.0	0.5
26	2.94	1.23	0	4	0.165	0.0	0.5
27	2.87	1.14	0	4	0.155	0.0	0.5
28	2.98	1.13	0	4	0.175	0.0	0.5
29	3.07	1.12	0	4	0.180	0.0	0.5
30	3.13	1.15	0	4	0.105	0.0	0.5
31	3.07	1.10	0	4	0.150	0.0	0.5
32	3.01	1.19	0	4	0.145	0.0	0.5
33	3.02	1.18	0	4	0.210	0.0	0.5
34	2.97	1.12	0	4	0.145	0.0	0.5
35	2.96	1.14	0	4	0.125	0.0	0.5
36	2.99	1.17	0	4	0.130	0.0	0.5
37	2.91	1.23	0	4	0.150	0.0	1.0
38	3.00	1.26	0	4	0.160	0.0	1.0
39	2.88	1.16	0	4	0.190	0.0	1.5
40	2.93	1.23	0	4	0.160	0.0	1.0
41	2.97	1.15	0	4	0.165	0.0	1.0
42	2.92	1.13	0	4	0.125	0.0	0.5
43	2.94	1.10	0	4	0.120	0.0	0.5
44	3.00	1.14	0	4	0.125	0.0	1.0
45	3.04	1.17	0	4	0.170	0.0	0.5
46	3.16	1.11	0	4	0.120	0.0	1.0
47	2.91	1.22	0	4	0.135	0.0	0.5
48	3.00	1.10	0	4	0.120	0.0	0.5
49	2.91	1.18	0	4	0.110	0.0	0.5
50	2.80	1.30	0	4	0.180	0.0	0.5
51	2.90	1.22	0	4	0.155	0.0	1.0
52	2.65	1.37	0	4	0.140	0.0	1.0
53	2.92	1.11	0	4	0.130	0.0	0.5
54	3.03	1.20	0	4	0.155	0.0	0.5
55	3.10	1.14	0	4	0.140	0.0	0.5
56	2.77	1.27	0	4	0.160	0.0	1.0
57	2.82	1.21	0	4	0.175	0.0	1.0
58	2.85	1.22	0	4	0.190	0.0	0.5
59	2.94	1.15	0	4	0.135	0.0	1.5
60	3.01	1.08	0	4	0.130	0.0	0.5
61	3.03	1.18	0	4	0.110	0.0	0.5
62	2.85	1.20	0	4	0.190	0.0	0.5
63	2.79	1.24	0	4	0.170	0.0	1.5
64	2.98	1.23	0	4	0.175	0.0	1.0
65	2.80	1.30	0	4	0.150	0.0	1.0
66	2.85	1.31	0	4	0.155	0.0	0.5
67	2.89	1.25	0	4	0.160	0.0	1.0
68	3.00	1.22	0	4	0.155	0.0	0.5
69	3.11	1.10	0	4	0.175	0.0	0.5
70	2.88	1.24	0	4	0.145	0.0	0.5
71	2.80	1.22	0	4	0.160	0.0	1.0
72	2.74	1.26	0	4	0.160	0.0	0.5
73	2.81	1.21	0	4	0.195	0.0	0.5
74	2.74	1.23	0	4	0.190	0.0	0.5
75	2.67	1.33	0	4	0.190	0.0	1.0
76	2.57	1.33	0	4	0.190	0.0	0.5
77	2.71	1.25	0	4	0.175	0.0	0.5
78	2.92	1.13	0	4	0.200	0.0	0.5
79	3.00	1.07	0	4	0.135	0.0	0.5
80	2.88	1.20	0	4	0.165	0.0	0.5
81	2.97	1.10	0	4	0.160	0.0	0.5
82	2.72	1.17	0	4	0.250	0.0	1.0
83	2.66	1.23	0	4	0.195	0.0	1.0
84	2.81	1.20	0	4	0.200	0.0	1.0
85	2.51	1.26	0	4	0.185	0.0	1.0
86	2.90	1.02	0	4	0.145	0.0	1.0
87	2.67	1.06	0	4	0.190	0.0	1.0
88	2.87	1.16	0	4	0.195	0.0	0.5
89	2.94	1.08	0	4	0.155	0.0	0.5
90	2.96	1.22	0	4	0.115	0.0	0.5
91	2.86	1.14	0	4	0.145	0.0	0.5
92	2.87	1.24	0	4	0.165	0.0	0.5
93	2.83	1.27	0	4	0.105	0.0	1.0
94	2.92	1.23	0	4	0.140	0.0	1.0
95	2.72	1.32	0	4	0.170	0.0	1.0
96	2.95	1.05	0	4	0.215	0.0	1.5
97	2.92	1.21	0	4	0.185	0.0	1.0
98	2.74	1.28	0	4	0.170	0.0	0.5
99	2.96	1.08	0	4	0.135	0.0	0.5
100	2.68	1.26	0	4	0.160	0.0	1.0
