generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.83	1.05	0	4	0.320	0.0	1.0
1	2.17	0.97	0	4	0.260	0.0	1.0
2	2.15	0.99	0	4	0.240	0.0	0.5
3	2.23	1.04	0	4	0.215	0.0	0.5
4	2.17	1.24	0	4	0.265	0.0	0.5
5	2.62	1.08	0	4	0.345	0.0	1.0
6	2.46	1.41	0	4	0.310	0.0	0.5
7	2.48	1.36	0	4	0.290	0.0	0.5
8	2.33	1.32	0	4	0.310	0.0	1.0
9	2.39	1.27	0	4	0.250	0.0	0.5
10	2.47	1.24	0	4	0.240	0.0	1.0
11	2.36	1.25	0	4	0.200	0.0	0.5
12	2.39	1.23	0	4	0.205	0.0	0.5
13	2.21	1.20	0	4	0.190	0.0	0.5
14	2.29	1.23	0	4	0.205	0.0	1.0
15	2.39	1.33	0	4	0.200	0.0	0.5
16	2.54	1.25	0	4	0.205	0.0	0.5
17	2.51	1.20	0	4	0.200	0.0	1.0
18	2.45	1.23	0	4	0.200	0.0	1.0
19	2.31	1.24	0	4	0.205	0.0	1.5
20	2.57	1.13	0	4	0.140	0.0	0.5
21	2.45	1.19	0	4	0.180	0.0	1.0
22	2.33	1.22	0	4	0.170	0.0	0.5
23	2.51	1.24	0	4	0.195	0.0	0.5
24	2.28	1.30	0	4	0.255	0.0	0.5
25	2.34	1.22	0	4	0.260	0.0	1.0
26	2.36	1.31	0	4	0.240	0.0	1.0
27	2.36	1.31	0	4	0.260	0.0	0.5
28	2.51	1.35	0	4	0.240	0.0	0.5
29	2.43	1.23	0	4	0.210	0.0	0.5
30	2.54	1.28	0	4	0.220	0.0	1.0
31	2.70	1.32	0	4	0.250	0.0	0.5
32	2.49	1.31	0	4	0.225	0.0	0.5
33	2.60	1.22	0	4	0.220	0.0	0.5
34	2.29	1.33	0	4	0.215	0.0	1.5
35	2.43	1.34	0	4	0.220	0.0	0.5
36	2.42	1.23	0	4	0.215	0.0	0.5
37	2.33	1.22	0	4	0.210	0.0	0.5
38	2.31	1.24	0	4	0.180	0.0	0.5
39	2.56	1.27	0	4	0.225	0.0	0.5
40	2.24	1.25	0	4	0.220	0.0	0.5
41	2.34	1.31	0	4	0.230	0.0	1.0
42	2.46	1.16	0	4	0.200	0.0	0.5
43	2.66	1.19	0	4	0.170	0.0	0.5
44	2.54	1.25	0	4	0.190	0.0	1.0
45	2.52	1.23	0	4	0.205	0.0	0.5
46	2.51	1.26	0	4	0.160	0.0	1.0
47	2.43	1.26	0	4	0.200	0.0	1.0
48	2.38	1.25	0	4	0.195	0.0	0.5
49	2.55	1.15	0	4	0.200	0.0	1.5
50	2.59	1.28	0	4	0.225	0.0	0.5
51	2.42	1.31	0	4	0.195	0.0	0.5
52	2.65	1.31	0	4	0.210	0.0	0.5
53	2.43	1.23	0	4	0.210	0.0	0.5
54	2.68	1.10	0	4	0.245	0.0	0.5
55	2.48	1.20	0	4	0.190	0.0	0.5
56	2.49	1.23	0	4	0.245	0.0	1.0
57	2.51	1.28	0	4	0.210	0.0	0.5
58	2.37	1.37	0	4	0.200	0.0	1.0
59	2.56	1.11	0	4	0.210	0.0	0.5
60	2.55	1.27	0	4	0.175	0.0	1.0
61	2.78	1.08	0	4	0.210	0.0	0.5
62	2.59	1.19	0	4	0.180	0.0	1.0
63	2.70	1.21	0	4	0.175	0.0	0.5
64	2.55	1.19	0	4	0.175	0.0	1.0
65	2.47	1.27	0	4	0.185	0.0	1.0
66	2.71	1.21	0	4	0.185	0.0	1.0
67	2.60	1.29	0	4	0.205	0.0	0.5
68	2.63	1.31	0	4	0.190	0.0	1.0
69	2.57	1.27	0	4	0.210	0.0	1.0
70	2.61	1.28	0	4	0.205	0.0	1.0
71	2.68	1.17	0	4	0.195	0.0	0.5
72	2.62	1.14	0	4	0.185	0.0	1.0
73	2.66	1.20	0	4	0.230	0.0	1.0
74	2.56	1.26	0	4	0.255	0.0	0.5
75	2.39	1.33	0	4	0.195	0.0	0.5
76	2.59	1.18	0	4	0.220	0.0	1.0
77	2.42	1.28	0	4	0.240	0.0	1.0
78	2.41	1.25	0	4	0.210	0.0	0.5
79	2.36	1.25	0	4	0.220	0.0	0.5
80	2.44	1.20	0	4	0.215	0.0	1.0
81	2.43	1.23	0	4	0.200	0.0	0.5
82	2.27	1.31	0	4	0.250	0.0	1.0
83	2.42	1.28	0	4	0.260	0.0	0.5
84	2.57	1.30	0	4	0.250	0.0	0.5
85	2.42	1.24	0	4	0.250	0.0	1.0
86	2.54	1.25	0	4	0.290	0.0	0.5
87	2.46	1.28	0	4	0.250	0.0	0.5
88	2.31	1.31	0	4	0.210	0.0	1.0
89	2.54	1.18	0	4	0.280	0.0	0.5
90	2.48	1.19	0	4	0.240	0.0	0.5
91	2.56	1.31	0	4	0.225	0.0	0.5
92	2.40	1.33	0	4	0.195	0.0	1.0
93	2.41	1.32	0	4	0.170	0.0	0.5
94	2.53	1.21	0	4	0.225	0.0	1.0
95	2.29	1.23	0	4	0.210	0.0	0.5
96	2.48	1.25	0	4	0.205	0.0	0.5
97	2.50	1.23	0	4	0.200	0.0	0.5
98	2.31	1.35	0	4	0.255	0.0	1.0
99	2.65	1.18	0	4	0.255	0.0	0.5
100	2.70	1.28	0	4	0.260	0.0	0.5
