generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.89	1.18	0	4	0.370	0.0	1.5
1	2.53	1.09	0	4	0.275	0.0	1.0
2	2.75	1.09	0	4	0.245	0.0	0.5
3	2.56	1.28	0	4	0.225	0.0	1.0
4	2.89	1.17	0	4	0.185	0.0	1.0
5	3.04	1.07	0	4	0.160	0.0	1.0
6	3.01	1.13	0	4	0.155	0.0	1.0
7	3.12	1.04	0	4	0.205	0.0	1.5
8	3.05	1.00	0	4	0.160	0.0	1.0
9	3.14	1.10	0	4	0.175	0.0	1.0
10	2.89	1.09	0	4	0.180	0.0	1.0
11	3.00	1.05	0	4	0.175	0.0	1.0
12	2.91	1.11	0	4	0.135	0.0	1.5
13	2.92	1.15	0	4	0.150	0.0	1.0
14	3.06	1.05	0	4	0.130	0.0	0.5
15	3.08	0.99	0	4	0.145	0.0	1.0
16	2.85	1.13	0	4	0.155	0.0	0.5
17	3.08	1.05	0	4	0.115	0.0	1.0
18	2.87	1.15	0	4	0.175	0.0	1.5
19	3.13	1.00	0	4	0.150	0.0	1.0
20	3.05	1.13	0	4	0.160	0.0	1.0
21	3.05	1.14	0	4	0.125	0.0	1.0
22	3.12	1.12	0	4	0.155	0.0	0.5
23	2.93	1.13	0	4	0.120	0.0	0.5
24	2.95	1.14	0	4	0.135	0.0	1.0
25	2.95	1.11	0	4	0.155	0.0	1.0
26	2.96	1.06	0	4	0.155	0.0	0.5
27	2.81	1.25	0	4	0.135	0.0	1.0
28	2.83	1.09	0	4	0.145	0.0	1.0
29	3.20	1.02	0	4	0.125	0.0	0.5
30	3.24	1.00	0	4	0.205	0.0	1.5
31	3.07	1.01	0	4	0.185	0.0	1.0
32	2.82	1.21	0	4	0.185	0.0	1.0
33	3.00	1.14	0	4	0.175	0.0	1.0
34	3.04	1.05	0	4	0.155	0.0	0.5
35	3.00	1.10	0	4	0.190	0.0	1.5
36	3.06	1.05	0	4	0.170	0.0	1.5
37	2.92	1.18	0	4	0.180	0.0	1.0
38	3.13	1.00	0	4	0.220	0.0	1.0
39	3.11	1.14	0	4	0.165	0.0	1.0
40	2.94	1.15	0	4	0.155	0.0	1.0
41	2.81	1.25	0	4	0.150	0.0	1.0
42	3.03	1.17	0	4	0.155	0.0	0.5
43	2.84	1.24	0	4	0.185	0.0	0.5
44	2.91	1.14	0	4	0.155	0.0	1.5
45	3.02	1.00	0	4	0.170	0.0	1.5
46	2.87	1.12	0	4	0.135	0.0	1.0
47	3.12	0.93	0	4	0.160	0.0	1.0
48	2.78	1.20	0	4	0.165	0.0	1.5
49	3.07	1.08	0	4	0.155	0.0	1.0
50	2.99	1.20	0	4	0.200	0.0	1.0
51	3.00	1.23	0	4	0.155	0.0	0.5
52	2.89	1.17	0	4	0.180	0.0	1.0
53	3.07	1.09	0	4	0.200	0.0	1.0
54	2.83	1.20	0	4	0.205	0.0	1.0
55	2.96	1.09	0	4	0.205	0.0	0.5
56	2.95	1.10	0	4	0.180	0.0	1.5
57	2.97	1.10	0	4	0.150	0.0	1.5
58	2.93	1.15	0	4	0.165	0.0	1.0
59	3.07	1.07	0	4	0.160	0.0	0.5
60	2.95	1.20	0	4	0.115	0.0	0.5
61	3.00	1.17	0	4	0.130	0.0	0.5
62	2.96	1.09	0	4	0.180	0.0	1.0
63	3.16	0.99	0	4	0.170	0.0	1.0
64	3.07	1.03	0	4	0.160	0.0	1.0
65	2.97	1.07	0	4	0.125	0.0	1.0
66	3.12	1.03	0	4	0.120	0.0	0.5
67	3.07	1.05	0	4	0.175	0.0	0.5
68	3.12	1.11	0	4	0.145	0.0	0.5
69	2.98	1.25	0	4	0.160	0.0	1.0
70	3.16	0.97	1	4	0.170	0.0	1.5
71	3.10	1.08	0	4	0.170	0.0	0.5
72	2.99	1.06	0	4	0.220	0.0	1.5
73	2.91	0.98	0	4	0.165	0.0	1.0
74	3.17	1.08	0	4	0.130	0.0	0.5
75	2.96	1.23	0	4	0.140	0.0	1.0
76	2.73	1.23	0	4	0.140	0.0	0.5
77	2.85	1.03	0	4	0.170	0.0	1.0
78	2.96	1.22	0	4	0.135	0.0	1.0
79	2.97	1.03	0	4	0.160	0.0	1.0
80	3.01	1.12	0	4	0.175	0.0	1.0
81	3.17	0.95	0	4	0.130	0.0	1.0
82	2.78	1.18	0	4	0.180	0.0	1.0
83	2.98	1.05	0	4	0.160	0.0	1.0
84	3.02	1.12	0	4	0.145	0.0	1.0
85	2.90	1.14	0	4	0.160	0.0	1.0
86	2.95	1.18	0	4	0.145	0.0	1.0
87	2.98	1.10	0	4	0.155	0.0	1.0
88	2.89	1.16	0	4	0.140	0.0	1.0
89	2.85	1.22	0	4	0.175	0.0	1.0
90	3.04	1.04	0	4	0.185	0.0	1.5
91	2.96	1.11	0	4	0.210	0.0	1.5
92	2.81	1.15	0	4	0.200	0.0	1.0
93	3.00	1.12	0	4	0.185	0.0	1.0
94	2.95	1.21	0	4	0.210	0.0	1.0
95	3.09	1.10	0	4	0.210	0.0	1.0
96	3.09	1.04	1	4	0.165	0.0	0.5
97	2.86	1.20	0	4	0.160	0.0	1.0
98	3.15	1.13	0	4	0.140	0.0	1.0
99	3.21	1.06	0	4	0.150	0.0	1.0
100	2.98	1.08	0	4	0.140	0.0	1.0
