generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.01	0.73	1	4	0.365	0.0	1.0
1	2.25	0.73	1	4	0.280	0.0	0.5
2	2.38	0.77	1	4	0.245	0.0	0.5
3	2.20	0.91	0	4	0.185	0.0	0.5
4	2.41	0.81	0	4	0.230	0.0	1.0
5	2.24	0.85	0	4	0.155	0.0	0.5
6	2.29	0.88	0	4	0.175	0.0	0.5
7	2.41	0.96	0	4	0.185	0.0	1.0
8	2.33	0.92	1	4	0.175	0.0	1.0
9	2.40	0.93	1	4	0.185	0.0	1.0
10	2.35	0.97	1	4	0.180	0.0	0.5
11	2.31	1.00	0	4	0.180	0.0	1.0
12	2.34	0.95	0	4	0.225	0.0	0.5
13	2.41	0.93	1	4	0.190	0.0	0.5
14	2.37	0.96	0	4	0.190	0.0	0.5
15	2.54	0.90	1	4	0.205	0.0	0.5
16	2.17	0.99	0	4	0.215	0.0	0.5
17	2.40	0.93	1	4	0.185	0.0	0.5
18	2.42	0.95	1	4	0.215	0.0	0.5
19	2.33	0.99	0	4	0.205	0.0	1.0
20	2.44	0.88	1	4	0.205	0.0	0.5
21	2.27	0.98	0	4	0.225	0.0	1.0
22	2.34	0.94	1	4	0.175	0.0	0.5
23	2.37	0.95	1	4	0.190	0.0	0.5
24	2.33	0.99	1	4	0.210	0.0	0.5
25	2.52	0.94	1	4	0.230	0.0	0.5
26	2.39	1.03	0	4	0.195	0.0	0.5
27	2.20	0.97	0	4	0.205	0.0	1.0
28	2.42	0.95	1	4	0.265	0.0	1.0
29	2.36	1.00	0	4	0.250	0.0	1.0
30	2.30	0.96	0	4	0.215	0.0	0.5
31	2.40	0.92	1	4	0.200	0.0	0.5
32	2.52	0.89	1	4	0.265	0.0	1.0
33	2.51	0.97	1	4	0.250	0.0	0.5
34	2.43	0.93	0	4	0.205	0.0	0.5
35	2.40	1.01	1	4	0.225	0.0	0.5
36	2.30	0.99	0	4	0.210	0.0	0.5
37	2.40	0.91	1	4	0.200	0.0	0.5
38	2.43	1.01	1	4	0.235	0.0	1.0
39	2.45	0.94	1	4	0.210	0.0	0.5
40	2.33	1.00	0	4	0.190	0.0	0.5
41	2.33	0.98	1	4	0.235	0.0	0.5
42	2.29	0.98	0	4	0.225	0.0	0.5
43	2.28	0.94	1	4	0.195	0.0	1.0
44	2.31	0.98	1	4	0.230	0.0	1.0
45	2.53	0.94	0	4	0.230	0.0	0.5
46	2.38	1.01	0	4	0.205	0.0	1.5
47	2.16	0.97	1	4	0.205	0.0	0.5
48	2.43	0.96	0	4	0.200	0.0	1.0
49	2.39	1.06	0	4	0.215	0.0	1.0
50	2.42	0.92	1	4	0.235	0.0	1.0
51	2.54	0.93	0	4	0.240	0.0	1.0
52	2.56	0.93	1	4	0.245	0.0	1.0
53	2.44	0.99	0	4	0.220	0.0	1.0
54	2.37	0.98	0	4	0.225	0.0	0.5
55	2.45	0.93	1	4	0.225	0.0	1.0
56	2.43	0.98	1	4	0.235	0.0	0.5
57	2.29	0.94	1	4	0.190	0.0	0.5
58	2.28	0.97	1	4	0.205	0.0	1.0
59	2.41	0.98	0	4	0.225	0.0	0.5
60	2.27	1.03	0	4	0.255	0.0	1.0
61	2.38	0.97	1	4	0.230	0.0	1.0
62	2.33	0.99	0	4	0.260	0.0	1.0
63	2.43	1.00	1	4	0.225	0.0	1.0
64	2.33	1.01	0	4	0.225	0.0	1.0
65	2.37	1.00	0	4	0.235	0.0	1.0
66	2.37	0.96	1	4	0.200	0.0	0.5
67	2.44	0.84	1	4	0.220	0.0	1.0
68	2.37	0.99	0	4	0.175	0.0	0.5
69	2.43	0.87	0	4	0.185	0.0	0.5
70	2.35	0.93	1	4	0.195	0.0	1.0
71	2.26	0.93	0	4	0.220	0.0	1.0
72	2.31	0.99	1	4	0.230	0.0	1.0
73	2.45	0.96	1	4	0.190	0.0	0.5
74	2.42	0.94	0	4	0.185	0.0	1.0
75	2.13	1.06	0	4	0.170	0.0	0.5
76	2.24	0.97	1	4	0.210	0.0	0.5
77	2.39	0.94	0	4	0.205	0.0	0.5
78	2.46	0.93	1	4	0.240	0.0	1.0
79	2.43	0.91	0	4	0.225	0.0	0.5
80	2.38	0.95	1	4	0.195	0.0	0.5
81	2.33	1.01	0	4	0.205	0.0	1.5
82	2.35	0.96	1	4	0.245	0.0	1.0
83	2.51	0.94	1	4	0.230	0.0	0.5
84	2.43	0.99	0	4	0.235	0.0	0.5
85	2.47	0.90	1	4	0.270	0.0	0.5
86	2.46	0.96	1	4	0.240	0.0	0.5
87	2.42	0.91	1	4	0.265	0.0	0.5
88	2.31	0.96	0	4	0.260	0.0	1.0
89	2.21	0.94	1	4	0.280	0.0	1.0
90	2.35	0.92	0	4	0.215	0.0	0.5
91	2.24	0.96	1	4	0.230	0.0	0.5
92	2.38	1.01	0	4	0.215	0.0	1.0
93	2.47	1.00	0	4	0.230	0.0	1.0
94	2.47	0.97	0	4	0.205	0.0	0.5
95	2.32	1.03	1	4	0.210	0.0	1.0
96	2.35	0.93	0	4	0.250	0.0	1.0
97	2.35	1.02	0	4	0.225	0.0	0.5
98	2.25	0.98	1	4	0.230	0.0	0.5
99	2.24	0.92	1	4	0.265	0.0	1.0
100	2.40	0.93	1	4	0.270	0.0	1.0
