generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.86	1.07	0	4	0.325	0.0	1.0
1	2.36	1.02	0	4	0.245	0.0	1.0
2	2.63	1.11	0	4	0.225	0.0	1.0
3	2.55	1.25	0	4	0.225	0.0	0.5
4	2.51	1.36	0	4	0.170	0.0	0.5
5	2.80	1.29	0	4	0.175	0.0	1.0
6	2.88	1.14	0	4	0.160	0.0	0.5
7	2.69	1.29	0	4	0.165	0.0	0.5
8	2.90	1.06	0	4	0.150	0.0	1.0
9	2.63	1.30	0	4	0.165	0.0	1.0
10	2.79	1.26	0	4	0.185	0.0	1.0
11	2.87	1.06	0	4	0.185	0.0	0.5
12	2.76	1.28	0	4	0.220	0.0	0.5
13	2.71	1.25	0	4	0.200	0.0	1.0
14	2.71	1.15	0	4	0.220	0.0	1.0
15	2.83	1.18	0	4	0.145	0.0	0.5
16	2.77	1.22	0	4	0.150	0.0	1.0
17	2.67	1.18	0	4	0.205	0.0	1.5
18	2.75	1.22	0	4	0.140	0.0	1.0
19	3.04	1.02	0	4	0.115	0.0	0.5
20	2.83	1.18	0	4	0.190	0.0	1.0
21	2.90	1.27	0	4	0.145	0.0	0.5
22	2.67	1.18	0	4	0.175	0.0	1.0
23	2.87	1.15	0	4	0.170	0.0	0.5
24	3.01	1.13	0	4	0.190	0.0	1.0
25	3.02	1.08	0	4	0.190	0.0	0.5
26	2.95	1.05	0	4	0.175	0.0	0.5
27	2.97	1.18	0	4	0.135	0.0	0.5
28	3.07	1.16	0	4	0.170	0.0	0.5
29	3.01	1.22	0	4	0.175	0.0	1.0
30	3.06	1.01	0	4	0.145	0.0	1.0
31	2.95	1.08	0	4	0.160	0.0	0.5
32	2.91	1.15	0	4	0.210	0.0	1.0
33	2.88	1.04	0	4	0.195	0.0	1.0
34	2.96	0.97	0	4	0.190	0.0	1.0
35	3.06	1.08	0	4	0.155	0.0	0.5
36	2.90	1.17	0	4	0.180	0.0	0.5
37	2.77	1.14	0	4	0.200	0.0	0.5
38	2.94	1.02	0	4	0.220	0.0	1.0
39	2.95	0.97	0	4	0.165	0.0	0.5
40	2.63	1.22	0	4	0.180	0.0	0.5
41	2.92	1.25	0	4	0.155	0.0	1.0
42	2.85	1.18	0	4	0.145	0.0	0.5
43	2.93	1.12	0	4	0.200	0.0	1.0
44	2.89	1.16	0	4	0.185	0.0	0.5
45	2.97	1.14	0	4	0.130	0.0	0.5
46	2.97	1.11	0	4	0.190	0.0	1.0
47	2.75	1.21	0	4	0.205	0.0	1.0
48	2.69	1.19	0	4	0.180	0.0	0.5
49	2.71	1.12	0	4	0.170	0.0	1.0
50	2.66	1.21	0	4	0.200	0.0	1.0
51	2.68	1.24	0	4	0.145	0.0	0.5
52	2.78	1.18	0	4	0.150	0.0	0.5
53	2.77	1.20	0	4	0.175	0.0	1.0
54	2.83	1.21	0	4	0.150	0.0	1.0
55	2.91	1.05	0	4	0.195	0.0	1.0
56	2.96	1.10	0	4	0.175	0.0	1.0
57	2.77	1.24	0	4	0.185	0.0	1.0
58	2.80	1.27	0	4	0.220	0.0	1.5
59	2.80	1.18	0	4	0.170	0.0	1.0
60	2.43	1.34	0	4	0.225	0.0	1.0
61	2.80	1.16	0	4	0.215	0.0	1.0
62	2.97	1.18	0	4	0.180	0.0	0.5
63	2.64	1.28	0	4	0.170	0.0	0.5
64	2.78	1.10	0	4	0.145	0.0	0.5
65	2.80	1.21	0	4	0.170	0.0	1.0
66	2.97	1.08	0	4	0.160	0.0	1.0
67	2.83	1.33	0	4	0.220	0.0	1.0
68	2.95	1.18	0	4	0.170	0.0	1.5
69	2.68	1.35	0	4	0.230	0.0	0.5
70	2.65	1.17	0	4	0.185	0.0	1.0
71	2.68	1.19	0	4	0.180	0.0	0.5
72	2.65	1.19	0	4	0.195	0.0	1.0
73	2.64	1.22	0	4	0.180	0.0	0.5
74	2.91	1.22	0	4	0.195	0.0	1.0
75	2.72	1.27	0	4	0.195	0.0	1.0
76	2.84	1.15	0	4	0.160	0.0	0.5
77	2.81	1.20	0	4	0.165	0.0	0.5
78	2.88	1.25	0	4	0.180	0.0	0.5
79	2.85	1.24	0	4	0.190	0.0	1.0
80	2.82	1.29	0	4	0.140	0.0	0.5
81	2.76	1.20	0	4	0.175	0.0	1.0
82	2.86	1.11	0	4	0.170	0.0	0.5
83	2.96	1.22	0	4	0.170	0.0	1.0
84	3.13	1.05	0	4	0.130	0.0	0.5
85	2.80	1.10	0	4	0.150	0.0	1.0
86	2.90	1.16	0	4	0.160	0.0	1.0
87	2.77	1.20	0	4	0.175	0.0	0.5
88	2.87	1.21	0	4	0.125	0.0	0.5
89	2.95	1.13	0	4	0.150	0.0	0.5
90	2.92	1.19	0	4	0.170	0.0	0.5
91	2.82	1.20	0	4	0.175	0.0	0.5
92	2.96	1.13	0	4	0.145	0.0	1.0
93	2.76	1.22	0	4	0.170	0.0	1.0
94	2.70	1.31	0	4	0.180	0.0	1.0
95	2.88	1.19	0	4	0.175	0.0	1.0
96	2.87	1.24	0	4	0.175	0.0	1.0
97	2.83	1.34	0	4	0.200	0.0	1.5
98	2.74	1.25	0	4	0.185	0.0	1.0
99	2.74	1.36	0	4	0.165	0.0	1.0
100	2.70	1.23	0	4	0.185	0.0	1.0
