generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.07	0.71	1	3	0.340	0.0	0.5
1	2.50	0.71	1	4	0.300	0.0	0.5
2	2.56	0.78	1	4	0.200	0.0	0.5
3	2.65	0.94	1	4	0.185	0.0	0.5
4	2.79	1.05	1	4	0.170	0.0	1.0
5	2.94	0.97	1	4	0.110	0.0	1.0
6	3.02	0.89	1	4	0.150	0.0	1.0
7	3.07	0.87	1	4	0.160	0.0	1.0
8	3.10	0.85	1	4	0.140	0.0	1.5
9	3.14	0.88	1	4	0.120	0.0	0.5
10	3.21	0.89	1	4	0.130	0.0	0.5
11	3.03	0.88	1	4	0.135	0.0	0.5
12	3.07	0.74	1	4	0.130	0.0	1.0
13	2.91	0.87	1	4	0.125	0.0	0.5
14	2.94	0.86	1	4	0.090	0.0	1.0
15	3.03	0.84	1	4	0.130	0.0	0.5
16	3.08	0.90	1	4	0.135	0.0	0.5
17	3.11	0.94	1	4	0.070	0.0	0.5
18	3.01	0.90	1	4	0.140	0.0	1.0
19	3.11	0.89	1	4	0.135	0.0	0.5
20	3.07	0.91	1	4	0.150	0.0	0.5
21	3.16	0.82	0	4	0.140	0.0	1.0
22	3.12	0.80	1	4	0.120	0.0	0.5
23	3.09	0.91	0	4	0.160	0.0	1.0
24	2.96	0.86	1	4	0.145	0.0	1.0
25	3.23	0.80	1	4	0.115	0.0	0.5
26	3.18	0.89	1	4	0.110	0.0	0.5
27	3.20	0.76	1	4	0.155	0.0	1.5
28	3.06	0.87	1	4	0.120	0.0	0.5
29	2.93	0.97	1	4	0.130	0.0	0.5
30	2.86	0.91	1	4	0.175	0.0	1.0
31	2.98	0.87	1	4	0.175	0.0	1.0
32	3.19	0.92	1	4	0.115	0.0	0.5
33	3.01	0.85	1	4	0.125	0.0	0.5
34	3.07	0.92	1	4	0.110	0.0	0.5
35	3.14	0.84	1	4	0.090	0.0	0.5
36	3.20	0.86	1	4	0.125	0.0	0.5
37	3.02	0.85	0	4	0.155	0.0	0.5
38	2.93	0.83	1	4	0.155	0.0	0.5
39	2.92	0.92	1	4	0.130	0.0	0.5
40	2.98	0.98	1	4	0.135	0.0	0.5
41	3.14	0.92	1	4	0.135	0.0	1.0
42	3.05	0.90	1	4	0.125	0.0	0.5
43	2.96	0.96	1	4	0.145	0.0	1.0
44	3.02	0.80	1	4	0.165	0.0	1.5
45	3.10	0.84	1	4	0.125	0.0	0.5
46	2.94	0.96	0	4	0.160	0.0	1.0
47	3.01	0.87	1	4	0.175	0.0	1.0
48	2.95	0.88	1	4	0.120	0.0	0.5
49	3.00	0.89	1	4	0.110	0.0	0.5
50	2.93	0.91	1	4	0.160	0.0	0.5
51	3.06	0.91	0	4	0.140	0.0	0.5
52	3.02	0.91	1	4	0.115	0.0	0.5
53	3.26	0.76	1	4	0.130	0.0	0.5
54	3.07	0.87	1	4	0.165	0.0	0.5
55	3.03	0.87	1	4	0.150	0.0	0.5
56	2.99	0.84	1	4	0.135	0.0	0.5
57	3.17	0.80	1	4	0.135	0.0	0.5
58	3.26	0.72	1	4	0.105	0.0	0.5
59	3.09	0.88	1	4	0.110	0.0	0.5
60	3.09	0.94	1	4	0.115	0.0	0.5
61	3.11	0.89	1	4	0.120	0.0	0.5
62	3.07	0.85	1	4	0.165	0.0	0.5
63	3.03	0.93	1	4	0.125	0.0	0.5
64	2.96	0.96	1	4	0.155	0.0	1.5
65	2.98	0.84	1	4	0.135	0.0	0.5
66	3.00	0.87	1	4	0.170	0.0	1.0
67	2.97	0.92	1	4	0.130	0.0	0.5
68	3.03	0.83	1	4	0.135	0.0	0.5
69	3.08	0.81	1	4	0.150	0.0	0.5
70	2.99	0.91	1	4	0.155	0.0	1.0
71	3.07	0.79	1	4	0.115	0.0	1.0
72	3.03	0.91	1	4	0.130	0.0	0.5
73	3.05	0.88	0	4	0.120	0.0	0.5
74	3.13	0.88	1	4	0.150	0.0	0.5
75	3.09	0.83	1	4	0.130	0.0	0.5
76	3.16	0.89	1	4	0.120	0.0	1.0
77	3.05	0.96	1	4	0.100	0.0	0.5
78	3.14	0.82	1	4	0.165	0.0	0.5
79	2.95	0.95	1	4	0.135	0.0	1.0
80	2.97	0.93	1	4	0.165	0.0	0.5
81	3.05	0.84	1	4	0.105	0.0	0.5
82	2.91	0.91	1	4	0.165	0.0	1.0
83	2.92	0.92	1	4	0.140	0.0	0.5
84	2.98	0.80	1	4	0.165	0.0	0.5
85	3.01	0.90	1	4	0.150	0.0	1.0
86	3.06	0.87	1	4	0.160	0.0	1.0
87	3.06	0.87	1	4	0.115	0.0	1.0
88	2.94	0.96	0	4	0.135	0.0	0.5
89	3.10	0.82	1	4	0.160	0.0	0.5
90	2.89	0.90	1	4	0.155	0.0	0.5
91	3.00	0.94	1	4	0.160	0.0	0.5
92	3.18	0.80	1	4	0.140	0.0	1.0
93	3.17	0.94	1	4	0.110	0.0	0.5
94	2.94	0.93	1	4	0.145	0.0	1.0
95	3.00	0.87	1	4	0.150	0.0	0.5
96	3.16	0.80	1	4	0.155	0.0	0.5
97	3.08	0.82	1	4	0.155	0.0	0.5
98	3.06	0.90	1	4	0.145	0.0	1.0
99	3.13	0.80	1	4	0.165	0.0	0.5
100	2.95	0.91	1	4	0.150	0.0	0.5
