generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.25	1.19	0	4	0.345	0.0	1.0
1	2.79	1.16	0	4	0.285	0.0	1.0
2	2.86	1.26	0	4	0.230	0.0	0.5
3	3.01	1.18	0	4	0.170	0.0	0.5
4	3.36	0.97	0	4	0.175	0.0	1.0
5	3.33	1.10	0	4	0.175	0.0	1.0
6	3.28	1.11	0	4	0.155	0.0	1.0
7	3.35	0.97	0	4	0.160	0.0	1.0
8	3.41	0.93	0	4	0.170	0.0	1.5
9	3.44	0.85	1	4	0.175	0.0	1.5
10	3.53	0.84	0	4	0.105	0.0	0.5
11	3.19	1.09	0	4	0.165	0.0	1.0
12	3.34	0.96	0	4	0.160	0.0	1.0
13	3.27	1.06	0	4	0.130	0.0	1.0
14	3.32	0.94	0	4	0.125	0.0	0.5
15	3.31	1.04	0	4	0.155	0.0	1.0
16	3.26	1.01	0	4	0.160	0.0	1.0
17	3.39	0.98	0	4	0.170	0.0	1.0
18	3.21	1.13	0	4	0.110	0.0	1.0
19	3.34	1.00	0	4	0.170	0.0	1.0
20	3.35	0.97	0	4	0.165	0.0	1.0
21	3.28	1.04	0	4	0.155	0.0	1.0
22	3.22	1.18	0	4	0.170	0.0	1.0
23	3.40	1.03	0	4	0.135	0.0	0.5
24	3.40	1.01	0	4	0.170	0.0	1.0
25	3.45	0.95	0	4	0.100	0.0	0.5
26	3.62	0.81	0	4	0.125	0.0	1.0
27	3.46	0.90	0	4	0.110	0.0	0.5
28	3.21	1.12	0	4	0.145	0.0	1.0
29	3.36	0.87	1	4	0.145	0.0	1.5
30	3.40	0.86	1	4	0.185	0.0	1.0
31	3.29	0.98	0	4	0.135	0.0	1.0
32	3.47	0.87	1	4	0.125	0.0	0.5
33	3.49	0.87	0	4	0.135	0.0	0.5
34	3.39	0.99	0	4	0.130	0.0	0.5
35	3.27	1.08	0	4	0.130	0.0	1.0
36	3.45	0.94	0	4	0.120	0.0	1.0
37	3.35	1.08	0	4	0.140	0.0	1.0
38	3.24	1.11	0	4	0.155	0.0	1.0
39	3.33	1.05	0	4	0.180	0.0	1.5
40	3.28	1.11	0	4	0.180	0.0	1.5
41	3.32	0.93	0	4	0.140	0.0	0.5
42	3.44	0.90	0	4	0.095	0.0	0.5
43	3.28	1.11	0	4	0.105	0.0	0.5
44	3.48	0.84	0	4	0.115	0.0	0.5
45	3.34	0.99	0	4	0.135	0.0	0.5
46	3.41	0.93	1	4	0.165	0.0	1.0
47	3.23	1.04	0	4	0.130	0.0	1.0
48	3.28	1.04	0	4	0.145	0.0	1.5
49	3.18	1.19	0	4	0.130	0.0	1.0
50	3.31	1.09	0	4	0.120	0.0	0.5
51	3.21	1.04	0	4	0.185	0.0	1.5
52	3.31	1.01	0	4	0.155	0.0	1.0
53	3.34	1.08	0	4	0.135	0.0	1.0
54	3.12	1.17	0	4	0.175	0.0	1.0
55	3.34	1.07	0	4	0.155	0.0	1.0
56	3.49	0.88	0	4	0.120	0.0	0.5
57	3.24	1.07	0	4	0.105	0.0	0.5
58	3.32	1.00	0	4	0.155	0.0	1.0
59	3.36	1.06	0	4	0.140	0.0	1.0
60	3.28	0.99	0	4	0.155	0.0	1.0
61	3.25	1.02	0	4	0.130	0.0	0.5
62	3.33	0.91	0	4	0.120	0.0	1.0
63	3.38	0.94	0	4	0.145	0.0	1.0
64	3.17	1.09	0	4	0.195	0.0	1.0
65	3.38	0.96	0	4	0.135	0.0	1.5
66	3.31	0.97	0	4	0.130	0.0	1.0
67	3.44	0.82	1	4	0.145	0.0	0.5
68	3.42	0.84	1	4	0.105	0.0	0.5
69	3.36	0.97	0	4	0.130	0.0	1.0
70	3.28	1.15	0	4	0.170	0.0	1.0
71	3.43	0.98	0	4	0.120	0.0	0.5
72	3.13	1.09	0	4	0.175	0.0	0.5
73	3.33	0.99	1	4	0.165	0.0	1.0
74	3.43	1.05	0	4	0.120	0.0	0.5
75	3.37	0.89	1	4	0.125	0.0	0.5
76	3.30	1.04	0	4	0.115	0.0	1.0
77	3.52	0.77	1	4	0.115	0.0	1.5
78	3.24	1.15	0	4	0.145	0.0	1.0
79	3.53	0.75	1	4	0.130	0.0	1.0
80	3.21	1.07	0	4	0.135	0.0	1.0
81	3.27	1.03	0	4	0.125	0.0	0.5
82	3.51	0.81	1	4	0.140	0.0	1.0
83	3.47	0.84	0	4	0.145	0.0	1.0
84	3.51	0.93	0	4	0.105	0.0	0.5
85	3.48	0.89	0	4	0.155	0.0	0.5
86	3.38	0.95	0	4	0.175	0.0	1.0
87	3.47	0.89	1	4	0.155	0.0	1.0
88	3.42	0.94	0	4	0.165	0.0	1.5
89	3.61	0.61	2	4	0.120	0.0	1.5
90	3.30	1.14	0	4	0.145	0.0	1.0
91	3.28	1.07	0	4	0.150	0.0	1.0
92	3.45	0.99	0	4	0.140	0.0	1.0
93	3.32	1.10	0	4	0.145	0.0	1.0
94	3.45	0.86	0	4	0.125	0.0	0.5
95	3.35	0.89	1	4	0.165	0.0	1.0
96	3.39	0.92	0	4	0.165	0.0	1.0
97	3.56	0.71	1	4	0.140	0.0	1.0
98	3.31	1.01	0	4	0.145	0.0	1.0
99	3.28	1.00	0	4	0.155	0.0	0.5
100	3.40	0.91	1	4	0.160	0.0	1.0
