rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	Rb | ~p27	4	2	0.0	Rb, p27	2	4
2	~p27 & (~Rb | ~UbcH10)	4	3	0.0	Rb, UbcH10, p27	3	4
3	CycE & ~p27	4	2	0.0	CycE, p27	2	4
4	Rb & (~E2F | ~p27)	4	3	0.0	E2F, Rb, p27	3	4
5	CycE & ~p27	4	2	0.0	CycE, p27	2	4
6	Cdc20 & CycB	4	2	0.0	Cdc20, CycB	2	4
7	CycE & Rb	4	2	0.0	CycE, Rb	2	4
8	CycE & Rb	4	2	0.0	CycE, Rb	2	4
9	Rb & (~E2F | ~p27)	4	3	0.0	E2F, Rb, p27	3	4
10	CycE & ~p27	4	2	0.0	CycE, p27	2	4
11	CycA & CycB	4	2	0.0	CycA, CycB	2	4
12	~p27 & (~Rb | ~UbcH10)	4	3	0.0	Rb, UbcH10, p27	3	4
13	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
14	CycE & Rb	4	2	0.0	CycE, Rb	2	4
15	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
16	Rb | ~Cdh1	4	2	0.0	Cdh1, Rb	2	4
17	Rb & (~CycE | ~UbcH10)	4	3	0.0	CycE, Rb, UbcH10	3	4
18	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
19	CycB & Rb	4	2	0.0	CycB, Rb	2	4
20	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	4
21	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
22	Cdc20 & CycB	4	2	0.0	Cdc20, CycB	2	4
23	CycA & CycB	4	2	0.0	CycA, CycB	2	4
24	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
25	Rb & ~E2F	4	2	0.0	E2F, Rb	2	4
26	Cdc20 & Rb	4	2	0.0	Cdc20, Rb	2	4
27	Cdc20 & CycA & CycB	4	3	0.0	Cdc20, CycA, CycB	3	4
28	CycE & Rb	4	2	0.0	CycE, Rb	2	4
29	~p27	4	1	0.5	p27	1	4
30	Rb	4	1	0.5	Rb	1	4
31	Rb	4	1	0.5	Rb	1	4
32	~p27	4	1	0.5	p27	1	4
33	~p27	4	1	0.5	p27	1	4
34	Rb	4	1	0.5	Rb	1	4
35	Rb	4	1	0.5	Rb	1	4
36	~p27	4	1	0.5	p27	1	4
37	Rb	4	1	0.5	Rb	1	4
38	Rb	4	1	0.5	Rb	1	4
39	~p27	4	1	0.5	p27	1	4
40	Rb & ~CycA	3	2	0.0	CycA, Rb	2	4
41	Rb & ~CycA	3	2	0.0	CycA, Rb	2	4
42	CycD & CycE	3	2	0.0	CycD, CycE	2	4
43	~p27 & (~CycA | ~Rb)	3	3	0.0	CycA, Rb, p27	3	4
44	False	3	1	0.5	False	1	4
45	CycE & Rb & p27	3	3	0.0	CycE, Rb, p27	3	4
46	Cdc20 | UbcH10	3	2	0.0	Cdc20, UbcH10	2	4
47	~CycA & ~CycE	3	2	0.0	CycA, CycE	2	4
48	Cdc20 & CycD & ~Rb	3	3	0.0	Cdc20, CycD, Rb	3	4
49	Cdc20 & Cdh1	3	2	0.0	Cdc20, Cdh1	2	4
50	Rb | ~E2F	3	2	0.0	E2F, Rb	2	4
51	Cdc20 | UbcH10	3	2	0.0	Cdc20, UbcH10	2	4
52	Cdc20 | Rb	3	2	0.0	Cdc20, Rb	2	4
53	~E2F | ~p27	3	2	0.0	E2F, p27	2	4
54	Cdh1 & ~E2F	3	2	0.0	Cdh1, E2F	2	4
55	Rb & p27 & ~E2F	3	3	0.0	E2F, Rb, p27	3	4
56	Cdc20 & CycA & E2F	3	3	0.0	Cdc20, CycA, E2F	3	4
57	E2F & Rb & p27	3	3	0.0	E2F, Rb, p27	3	4
58	E2F & Rb	3	2	0.0	E2F, Rb	2	4
59	Cdc20 & E2F & Rb	3	3	0.0	Cdc20, E2F, Rb	3	4
60	CycB & CycE	3	2	0.0	CycB, CycE	2	4
61	Cdc20 & CycA & Rb & UbcH10	3	4	0.5	Cdc20, CycA, Rb, UbcH10	4	4
62	~E2F	3	1	0.5	E2F	1	4
63	Cdc20	3	1	0.5	Cdc20	1	4
64	CycB	3	1	0.5	CycB	1	4
65	Cdc20	3	1	0.5	Cdc20	1	4
66	Cdc20	3	1	0.5	Cdc20	1	4
67	CycD	3	1	0.5	CycD	1	4
68	Cdc20 & UbcH10	2	2	0.0	Cdc20, UbcH10	2	4
69	Cdc20 & Cdh1 & UbcH10	2	3	0.0	Cdc20, Cdh1, UbcH10	3	4
70	CycA | ~E2F | ~p27	2	3	0.0	CycA, E2F, p27	3	4
71	Cdc20 & p27	2	2	0.0	Cdc20, p27	2	4
72	CycA & UbcH10	2	2	0.0	CycA, UbcH10	2	4
73	CycA & E2F	2	2	0.0	CycA, E2F	2	4
74	CycE	2	1	0.5	CycE	1	4
75	CycE & (~CycB | ~CycD)	2	3	0.0	CycB, CycD, CycE	3	4
76	Cdh1 & CycE	2	2	0.0	Cdh1, CycE	2	4
77	CycB & p27	2	2	0.0	CycB, p27	2	4
78	~CycA	2	1	0.5	CycA	1	4
79	~CycE	2	1	0.5	CycE	1	4
80	~UbcH10	2	1	0.5	UbcH10	1	4
81	CycE	2	1	0.5	CycE	1	4
82	CycA	2	1	0.5	CycA	1	4
83	UbcH10	2	1	0.5	UbcH10	1	4
84	UbcH10	2	1	0.5	UbcH10	1	4
85	~CycA	2	1	0.5	CycA	1	4
86	~CycE	2	1	0.5	CycE	1	4
87	CycE & ~Rb	1	2	0.0	CycE, Rb	2	4
88	Cdh1 | ~CycD	1	2	0.0	Cdh1, CycD	2	4
89	CycE & ~Cdc20	1	2	0.0	Cdc20, CycE	2	4
90	E2F & p27	1	2	0.0	E2F, p27	2	4
91	CycE & E2F	1	2	0.0	CycE, E2F	2	4
92	E2F & p27	1	2	0.0	E2F, p27	2	4
93	CycA & p27	1	2	0.0	CycA, p27	2	4
94	Cdh1	1	1	0.5	Cdh1	1	4
95	~Cdc20	1	1	0.5	Cdc20	1	4
96	E2F	1	1	0.5	E2F	1	4
97	p27	0	1	0.5	p27	1	4
98	p27	0	1	0.5	p27	1	4
99	~Rb	0	1	0.5	Rb	1	4
100	~Rb	0	1	0.5	Rb	1	4
