rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CycD | ~E2F	4	2	0.0	CycD, E2F	2	75
2	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
3	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
4	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
5	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
6	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
7	Cdc20 | CycD	4	2	0.0	Cdc20, CycD	2	75
8	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
9	CycD | ~E2F	4	2	0.0	CycD, E2F	2	75
10	Cdc20 | CycB | ~Cdh1	4	3	0.0	Cdc20, Cdh1, CycB	3	75
11	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
12	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
13	Cdc20 | CycB | UbcH10	4	3	0.0	Cdc20, CycB, UbcH10	3	75
14	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
15	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
16	CycD | ~E2F	4	2	0.0	CycD, E2F	2	75
17	Cdc20 | CycD	4	2	0.0	Cdc20, CycD	2	75
18	Cdc20 | CycD	4	2	0.0	Cdc20, CycD	2	75
19	Cdc20 | CycB	4	2	0.0	Cdc20, CycB	2	75
20	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
21	CycB | UbcH10	4	2	0.0	CycB, UbcH10	2	75
22	Cdc20 | CycB | CycD	4	3	0.0	Cdc20, CycB, CycD	3	75
23	Cdc20 | CycB	4	2	0.0	Cdc20, CycB	2	75
24	Cdc20 | CycB	4	2	0.0	Cdc20, CycB	2	75
25	Cdc20 | CycB	4	2	0.0	Cdc20, CycB	2	75
26	Cdc20 | CycD	4	2	0.0	Cdc20, CycD	2	75
27	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
28	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	75
29	(Cdc20 & Cdh1) | (CycB & CycD) | (CycD & E2F)	4	5	1.0	Cdc20, Cdh1, CycB, CycD, E2F	5	75
30	Cdh1 & CycB	3	2	0.0	Cdh1, CycB	2	75
31	Rb | UbcH10	3	2	0.0	Rb, UbcH10	2	75
32	Cdc20 | Rb	3	2	0.0	Cdc20, Rb	2	75
33	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
34	Cdh1 | p27	3	2	0.0	Cdh1, p27	2	75
35	Cdc20 | p27	3	2	0.0	Cdc20, p27	2	75
36	Cdc20 | Cdh1 | CycB	3	3	0.0	Cdc20, Cdh1, CycB	3	75
37	Cdc20 | UbcH10	3	2	0.0	Cdc20, UbcH10	2	75
38	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
39	Rb | UbcH10	3	2	0.0	Rb, UbcH10	2	75
40	Cdh1 | (CycB & CycE)	3	3	0.0	Cdh1, CycB, CycE	3	75
41	Cdh1 | CycB | ~UbcH10	3	3	0.0	Cdh1, CycB, UbcH10	3	75
42	CycD | ~CycA	3	2	0.0	CycA, CycD	2	75
43	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
44	Cdc20 | Cdh1 | CycB	3	3	0.0	Cdc20, Cdh1, CycB	3	75
45	Cdc20 | Cdh1 | CycD	3	3	0.0	Cdc20, Cdh1, CycD	3	75
46	CycA | CycD	3	2	0.0	CycA, CycD	2	75
47	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
48	Cdc20 | UbcH10	3	2	0.0	Cdc20, UbcH10	2	75
49	Cdh1 | CycB | CycE	3	3	0.0	Cdh1, CycB, CycE	3	75
50	Cdc20 | CycB | p27	3	3	0.0	Cdc20, CycB, p27	3	75
51	Cdh1 | CycB	3	2	0.0	Cdh1, CycB	2	75
52	Cdc20 | Cdh1 | CycB	3	3	0.0	Cdc20, Cdh1, CycB	3	75
53	Cdh1 | CycD	3	2	0.0	Cdh1, CycD	2	75
54	Cdh1 | CycE	3	2	0.0	Cdh1, CycE	2	75
55	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
56	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
57	Cdh1 | CycD | ~Cdc20	3	3	0.0	Cdc20, Cdh1, CycD	3	75
58	Cdh1 | CycD	3	2	0.0	Cdh1, CycD	2	75
59	True	3	1	0.5	True	1	75
60	Cdc20 | Cdh1 | CycD	3	3	0.0	Cdc20, Cdh1, CycD	3	75
61	CycD	3	1	0.5	CycD	1	75
62	Cdh1 | E2F	3	2	0.0	Cdh1, E2F	2	75
63	Cdh1 | CycE | E2F	3	3	0.0	Cdh1, CycE, E2F	3	75
64	Cdc20 | UbcH10	3	2	0.0	Cdc20, UbcH10	2	75
65	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
66	Cdc20 | ~Cdh1	3	2	0.0	Cdc20, Cdh1	2	75
67	Cdh1 | CycD	3	2	0.0	Cdh1, CycD	2	75
68	CycB	3	1	0.5	CycB	1	75
69	CycB	3	1	0.5	CycB	1	75
70	CycB	3	1	0.5	CycB	1	75
71	CycD	3	1	0.5	CycD	1	75
72	Cdh1	3	1	0.5	Cdh1	1	75
73	Cdh1	3	1	0.5	Cdh1	1	75
74	~E2F	3	1	0.5	E2F	1	75
75	CycD	3	1	0.5	CycD	1	75
76	Cdc20 | Cdh1 | UbcH10 | ~CycB	3	4	0.5	Cdc20, Cdh1, CycB, UbcH10	4	75
77	Cdc20 | CycB | CycE | p27	3	4	0.5	Cdc20, CycB, CycE, p27	4	75
78	Cdc20 | Cdh1 | CycD | p27	3	4	0.5	Cdc20, Cdh1, CycD, p27	4	75
79	CycB	3	1	0.5	CycB	1	75
80	Cdh1	3	1	0.5	Cdh1	1	75
81	CycD	3	1	0.5	CycD	1	75
82	UbcH10 | ~Rb	2	2	0.0	Rb, UbcH10	2	75
83	CycB | E2F	2	2	0.0	CycB, E2F	2	75
84	~CycD & ~E2F	2	2	0.0	CycD, E2F	2	75
85	CycE | Rb	2	2	0.0	CycE, Rb	2	75
86	CycB | CycE | Rb	2	3	0.0	CycB, CycE, Rb	3	75
87	E2F | UbcH10	2	2	0.0	E2F, UbcH10	2	75
88	CycB | E2F	2	2	0.0	CycB, E2F	2	75
89	CycA & UbcH10	2	2	0.0	CycA, UbcH10	2	75
90	UbcH10	2	1	0.5	UbcH10	1	75
91	~CycA	2	1	0.5	CycA	1	75
92	~UbcH10	2	1	0.5	UbcH10	1	75
93	UbcH10	2	1	0.5	UbcH10	1	75
94	CycA	2	1	0.5	CycA	1	75
95	UbcH10 | (E2F & Rb & p27)	2	4	0.5	E2F, Rb, UbcH10, p27	4	75
96	UbcH10 & ~Cdc20 & ~Cdh1	1	3	0.0	Cdc20, Cdh1, UbcH10	3	75
97	~CycB	1	1	0.5	CycB	1	75
98	~CycD	1	1	0.5	CycD	1	75
99	~CycB & ~UbcH10	0	2	0.0	CycB, UbcH10	2	75
100	~CycD & ~UbcH10	0	2	0.0	CycD, UbcH10	2	75
