rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~CycB | (UbcH10 & ~E2F)	4	3	0.0	CycB, E2F, UbcH10	3	77
2	~CycB | (E2F & UbcH10)	4	3	0.0	CycB, E2F, UbcH10	3	77
3	~CycD | (Cdc20 & UbcH10)	4	3	0.0	Cdc20, CycD, UbcH10	3	77
4	~Cdh1 | ~CycD	4	2	0.0	Cdh1, CycD	2	77
5	~CycB | (UbcH10 & ~E2F)	4	3	0.0	CycB, E2F, UbcH10	3	77
6	~CycB | (E2F & UbcH10)	4	3	0.0	CycB, E2F, UbcH10	3	77
7	~Cdh1 | ~CycD	4	2	0.0	Cdh1, CycD	2	77
8	p27 & ~CycD	4	2	0.0	CycD, p27	2	77
9	~Cdh1 | ~CycD	4	2	0.0	Cdh1, CycD	2	77
10	p27 & ~CycD	4	2	0.0	CycD, p27	2	77
11	p27 & ~CycD	4	2	0.0	CycD, p27	2	77
12	~Cdh1 | ~CycD	4	2	0.0	Cdh1, CycD	2	77
13	UbcH10 | ~CycB	4	2	0.0	CycB, UbcH10	2	77
14	p27 & ~CycD	4	2	0.0	CycD, p27	2	77
15	~CycB	4	1	0.5	CycB	1	77
16	~CycB	4	1	0.5	CycB	1	77
17	~CycB	4	1	0.5	CycB	1	77
18	~CycD	4	1	0.5	CycD	1	77
19	~CycB	4	1	0.5	CycB	1	77
20	~CycD	4	1	0.5	CycD	1	77
21	~CycD	4	1	0.5	CycD	1	77
22	~CycD	4	1	0.5	CycD	1	77
23	~CycD	4	1	0.5	CycD	1	77
24	~CycB	4	1	0.5	CycB	1	77
25	~CycB	4	1	0.5	CycB	1	77
26	~CycD	4	1	0.5	CycD	1	77
27	~CycD	4	1	0.5	CycD	1	77
28	~CycD	4	1	0.5	CycD	1	77
29	~CycB	4	1	0.5	CycB	1	77
30	~CycD	4	1	0.5	CycD	1	77
31	~CycD	4	1	0.5	CycD	1	77
32	E2F | UbcH10	3	2	0.0	E2F, UbcH10	2	77
33	~CycD & (UbcH10 | ~Cdh1)	3	3	0.0	Cdh1, CycD, UbcH10	3	77
34	~CycB | ~E2F	3	2	0.0	CycB, E2F	2	77
35	~E2F & ~Rb	3	2	0.0	E2F, Rb	2	77
36	CycA & UbcH10	3	2	0.0	CycA, UbcH10	2	77
37	CycA & UbcH10	3	2	0.0	CycA, UbcH10	2	77
38	p27	3	1	0.5	p27	1	77
39	~Rb	3	1	0.5	Rb	1	77
40	UbcH10	3	1	0.5	UbcH10	1	77
41	UbcH10	3	1	0.5	UbcH10	1	77
42	p27	3	1	0.5	p27	1	77
43	UbcH10	3	1	0.5	UbcH10	1	77
44	~Rb	3	1	0.5	Rb	1	77
45	p27	3	1	0.5	p27	1	77
46	~Rb	3	1	0.5	Rb	1	77
47	p27	3	1	0.5	p27	1	77
48	UbcH10	3	1	0.5	UbcH10	1	77
49	CycB & CycD & UbcH10	2	3	0.0	CycB, CycD, UbcH10	3	77
50	CycB & UbcH10	2	2	0.0	CycB, UbcH10	2	77
