rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
2	E2F | p27	4	2	0.0	E2F, p27	2	99
3	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
4	p27 | (Cdh1 & E2F)	4	3	0.0	Cdh1, E2F, p27	3	99
5	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
6	p27 | ~CycE	4	2	0.0	CycE, p27	2	99
7	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
8	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
9	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
10	E2F | ~CycE	4	2	0.0	CycE, E2F	2	99
11	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
12	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
13	UbcH10 | p27	4	2	0.0	UbcH10, p27	2	99
14	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
15	E2F | p27	4	2	0.0	E2F, p27	2	99
16	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
17	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
18	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
19	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
20	E2F | ~Rb	4	2	0.0	E2F, Rb	2	99
21	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
22	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
23	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
24	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
25	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
26	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
27	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
28	UbcH10 | p27	4	2	0.0	UbcH10, p27	2	99
29	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
30	E2F | UbcH10	4	2	0.0	E2F, UbcH10	2	99
31	E2F | p27	4	2	0.0	E2F, p27	2	99
32	p27	4	1	0.5	p27	1	99
33	p27	4	1	0.5	p27	1	99
34	p27	4	1	0.5	p27	1	99
35	p27	4	1	0.5	p27	1	99
36	~Rb	4	1	0.5	Rb	1	99
37	p27	4	1	0.5	p27	1	99
38	CycA | p27	3	2	0.0	CycA, p27	2	99
39	CycE | p27	3	2	0.0	CycE, p27	2	99
40	CycA | CycD	3	2	0.0	CycA, CycD	2	99
41	Cdh1 | p27	3	2	0.0	Cdh1, p27	2	99
42	CycD | p27	3	2	0.0	CycD, p27	2	99
43	E2F	3	1	0.5	E2F	1	99
44	Rb | p27	3	2	0.0	Rb, p27	2	99
45	CycA | CycE	3	2	0.0	CycA, CycE	2	99
46	Cdh1 | p27	3	2	0.0	Cdh1, p27	2	99
47	Cdh1 | E2F	3	2	0.0	Cdh1, E2F	2	99
48	CycB | p27	3	2	0.0	CycB, p27	2	99
49	Cdh1 | p27	3	2	0.0	Cdh1, p27	2	99
50	E2F | (~CycA & ~CycB)	3	3	0.0	CycA, CycB, E2F	3	99
51	Cdc20 | CycE	3	2	0.0	Cdc20, CycE	2	99
52	CycE | p27	3	2	0.0	CycE, p27	2	99
53	Cdh1 | UbcH10	3	2	0.0	Cdh1, UbcH10	2	99
54	Cdh1 | p27	3	2	0.0	Cdh1, p27	2	99
55	CycE | p27	3	2	0.0	CycE, p27	2	99
56	Cdh1 | UbcH10	3	2	0.0	Cdh1, UbcH10	2	99
57	CycB | Rb | p27	3	3	0.0	CycB, Rb, p27	3	99
58	Cdc20 | CycE | E2F | p27	3	4	0.5	Cdc20, CycE, E2F, p27	4	99
59	E2F	3	1	0.5	E2F	1	99
60	E2F	3	1	0.5	E2F	1	99
61	E2F	3	1	0.5	E2F	1	99
62	E2F	3	1	0.5	E2F	1	99
63	~CycB	3	1	0.5	CycB	1	99
64	Cdh1 | CycD | UbcH10 | p27	3	4	0.5	Cdh1, CycD, UbcH10, p27	4	99
65	E2F	3	1	0.5	E2F	1	99
66	E2F	3	1	0.5	E2F	1	99
67	E2F	3	1	0.5	E2F	1	99
68	E2F	3	1	0.5	E2F	1	99
69	Cdc20 | CycB | CycD | CycE | E2F	3	5	1.0	Cdc20, CycB, CycD, CycE, E2F	5	99
70	Cdh1 | CycB | E2F | Rb | p27	3	5	1.0	Cdh1, CycB, E2F, Rb, p27	5	99
71	CycD | UbcH10	2	2	0.0	CycD, UbcH10	2	99
72	CycB | UbcH10	2	2	0.0	CycB, UbcH10	2	99
73	CycB | E2F | Rb	2	3	0.0	CycB, E2F, Rb	3	99
74	CycB | UbcH10	2	2	0.0	CycB, UbcH10	2	99
75	CycD | E2F	2	2	0.0	CycD, E2F	2	99
76	CycE | E2F	2	2	0.0	CycE, E2F	2	99
77	CycB | E2F | Rb	2	3	0.0	CycB, E2F, Rb	3	99
78	Cdc20 | CycD	2	2	0.0	Cdc20, CycD	2	99
79	CycB | E2F	2	2	0.0	CycB, E2F	2	99
80	UbcH10	2	1	0.5	UbcH10	1	99
81	UbcH10	2	1	0.5	UbcH10	1	99
82	UbcH10	2	1	0.5	UbcH10	1	99
83	UbcH10	2	1	0.5	UbcH10	1	99
84	UbcH10	2	1	0.5	UbcH10	1	99
85	~UbcH10	2	1	0.5	UbcH10	1	99
86	~CycE	2	1	0.5	CycE	1	99
87	UbcH10	2	1	0.5	UbcH10	1	99
88	CycE	2	1	0.5	CycE	1	99
89	UbcH10	2	1	0.5	UbcH10	1	99
90	CycB | Rb	1	2	0.0	CycB, Rb	2	99
91	E2F & UbcH10	1	2	0.0	E2F, UbcH10	2	99
92	CycB | CycD	1	2	0.0	CycB, CycD	2	99
93	CycB | CycD	1	2	0.0	CycB, CycD	2	99
94	CycB | CycD	1	2	0.0	CycB, CycD	2	99
95	CycB	1	1	0.5	CycB	1	99
96	CycB	1	1	0.5	CycB	1	99
97	CycD	1	1	0.5	CycD	1	99
98	~p27	0	1	0.5	p27	1	99
99	Rb	0	1	0.5	Rb	1	99
100	Rb	0	1	0.5	Rb	1	99
