rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
2	p27 & (~CycA | ~E2F)	4	3	0.0	CycA, E2F, p27	3	61
3	p27 & (~CycA | ~E2F)	4	3	0.0	CycA, E2F, p27	3	61
4	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
5	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
6	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
7	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
8	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
9	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
10	p27 & (~CycA | ~E2F)	4	3	0.0	CycA, E2F, p27	3	61
11	p27 & (CycD | UbcH10)	4	3	0.0	CycD, UbcH10, p27	3	61
12	UbcH10 | (CycD & p27) | (Rb & p27)	4	4	0.5	CycD, Rb, UbcH10, p27	4	61
13	CycD | UbcH10	3	2	0.0	CycD, UbcH10	2	61
14	p27 & (Rb | UbcH10)	3	3	0.0	Rb, UbcH10, p27	3	61
15	UbcH10 & p27	3	2	0.0	UbcH10, p27	2	61
16	CycD & p27	3	2	0.0	CycD, p27	2	61
17	p27 & ~CycA	3	2	0.0	CycA, p27	2	61
18	p27	3	1	0.5	p27	1	61
19	CycD & p27	3	2	0.0	CycD, p27	2	61
20	UbcH10 & p27	3	2	0.0	UbcH10, p27	2	61
21	UbcH10 | (~CycE & ~p27)	3	3	0.0	CycE, UbcH10, p27	3	61
22	CycA & UbcH10	3	2	0.0	CycA, UbcH10	2	61
23	p27 & (~Cdh1 | ~CycE)	3	3	0.0	Cdh1, CycE, p27	3	61
24	~CycA | (CycD & UbcH10)	3	3	0.0	CycA, CycD, UbcH10	3	61
25	~CycA | ~E2F	3	2	0.0	CycA, E2F	2	61
26	p27 | (CycD & UbcH10)	3	3	0.0	CycD, UbcH10, p27	3	61
27	E2F | p27	3	2	0.0	E2F, p27	2	61
28	CycD & p27	3	2	0.0	CycD, p27	2	61
29	CycD | UbcH10	3	2	0.0	CycD, UbcH10	2	61
30	UbcH10	3	1	0.5	UbcH10	1	61
31	UbcH10 & p27	3	2	0.0	UbcH10, p27	2	61
32	CycD | UbcH10	3	2	0.0	CycD, UbcH10	2	61
33	UbcH10 & p27	3	2	0.0	UbcH10, p27	2	61
34	p27	3	1	0.5	p27	1	61
35	CycD & p27	3	2	0.0	CycD, p27	2	61
36	CycD | UbcH10	3	2	0.0	CycD, UbcH10	2	61
37	Cdc20 | CycD	3	2	0.0	Cdc20, CycD	2	61
38	~E2F & ~Rb	3	2	0.0	E2F, Rb	2	61
39	UbcH10 | p27	3	2	0.0	UbcH10, p27	2	61
40	Cdc20 & UbcH10	3	2	0.0	Cdc20, UbcH10	2	61
41	p27	3	1	0.5	p27	1	61
42	UbcH10 & p27	3	2	0.0	UbcH10, p27	2	61
43	p27	3	1	0.5	p27	1	61
44	UbcH10	3	1	0.5	UbcH10	1	61
45	UbcH10	3	1	0.5	UbcH10	1	61
46	p27	3	1	0.5	p27	1	61
47	UbcH10	3	1	0.5	UbcH10	1	61
48	~Rb	3	1	0.5	Rb	1	61
49	p27	3	1	0.5	p27	1	61
50	p27	3	1	0.5	p27	1	61
51	UbcH10	3	1	0.5	UbcH10	1	61
52	UbcH10	3	1	0.5	UbcH10	1	61
53	p27	3	1	0.5	p27	1	61
54	p27 | ~UbcH10	2	2	0.0	UbcH10, p27	2	61
55	Rb & p27	2	2	0.0	Rb, p27	2	61
56	E2F & UbcH10	2	2	0.0	E2F, UbcH10	2	61
57	CycD | ~Rb	2	2	0.0	CycD, Rb	2	61
58	Cdc20 & ~Cdh1	2	2	0.0	Cdc20, Cdh1	2	61
59	True	2	1	0.5	True	1	61
60	Rb | p27	2	2	0.0	Rb, p27	2	61
61	True	2	1	0.5	True	1	61
62	CycD	2	1	0.5	CycD	1	61
