rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~Cdc20 & ~p27	4	2	0.0	Cdc20, p27	2	83
2	~Rb & ~p27	4	2	0.0	Rb, p27	2	83
3	Rb & UbcH10	4	2	0.0	Rb, UbcH10	2	83
4	E2F & ~Cdh1	4	2	0.0	Cdh1, E2F	2	83
5	E2F & Rb	4	2	0.0	E2F, Rb	2	83
6	Cdc20 & Rb & ~CycD	4	3	0.0	Cdc20, CycD, Rb	3	83
7	~CycD & ~Rb & ~p27	4	3	0.0	CycD, Rb, p27	3	83
8	CycD & CycE & UbcH10	4	3	0.0	CycD, CycE, UbcH10	3	83
9	CycE & ~Cdh1 & ~CycA	4	3	0.0	Cdh1, CycA, CycE	3	83
10	CycE & ~Cdh1 & ~CycA	4	3	0.0	Cdh1, CycA, CycE	3	83
11	CycE & UbcH10	4	2	0.0	CycE, UbcH10	2	83
12	False	4	1	0.5	False	1	83
13	E2F & Rb	4	2	0.0	E2F, Rb	2	83
14	CycD & UbcH10	4	2	0.0	CycD, UbcH10	2	83
15	E2F & Rb	4	2	0.0	E2F, Rb	2	83
16	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	83
17	UbcH10 & ~CycD & ~p27	4	3	0.0	CycD, UbcH10, p27	3	83
18	E2F & Rb & UbcH10	4	3	0.0	E2F, Rb, UbcH10	3	83
19	CycD & UbcH10	4	2	0.0	CycD, UbcH10	2	83
20	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	83
21	E2F & Rb	4	2	0.0	E2F, Rb	2	83
22	CycD & UbcH10	4	2	0.0	CycD, UbcH10	2	83
23	E2F & Rb	4	2	0.0	E2F, Rb	2	83
24	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	83
25	False	4	1	0.5	False	1	83
26	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	83
27	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	83
28	Rb & UbcH10	4	2	0.0	Rb, UbcH10	2	83
29	CycD & UbcH10	4	2	0.0	CycD, UbcH10	2	83
30	Cdc20 & E2F	4	2	0.0	Cdc20, E2F	2	83
31	~Cdh1 & ~CycA	4	2	0.0	Cdh1, CycA	2	83
32	~Cdh1	4	1	0.5	Cdh1	1	83
33	CycA & CycD & Rb & p27	4	4	0.5	CycA, CycD, Rb, p27	4	83
34	~Cdh1	4	1	0.5	Cdh1	1	83
35	Cdc20 & CycB & E2F & Rb	4	4	0.5	Cdc20, CycB, E2F, Rb	4	83
36	Cdc20 & CycB & CycD & CycE & UbcH10	4	5	1.0	Cdc20, CycB, CycD, CycE, UbcH10	5	83
37	Cdc20 & CycA & E2F & Rb & p27	4	5	1.0	Cdc20, CycA, E2F, Rb, p27	5	83
38	Cdc20 & Rb & ~E2F	3	3	0.0	Cdc20, E2F, Rb	3	83
39	Cdc20 & CycA & UbcH10	3	3	0.0	Cdc20, CycA, UbcH10	3	83
40	CycB & CycE & p27	3	3	0.0	CycB, CycE, p27	3	83
41	Rb & ~UbcH10	3	2	0.0	Rb, UbcH10	2	83
42	Cdc20 & UbcH10	3	2	0.0	Cdc20, UbcH10	2	83
43	Cdh1 & Rb	3	2	0.0	Cdh1, Rb	2	83
44	CycA & E2F	3	2	0.0	CycA, E2F	2	83
45	CycD & E2F	3	2	0.0	CycD, E2F	2	83
46	UbcH10 & (~Rb | ~p27)	3	3	0.0	Rb, UbcH10, p27	3	83
47	Cdc20 & UbcH10	3	2	0.0	Cdc20, UbcH10	2	83
48	CycB & p27	3	2	0.0	CycB, p27	2	83
49	CycA & Rb	3	2	0.0	CycA, Rb	2	83
50	Cdc20 & UbcH10	3	2	0.0	Cdc20, UbcH10	2	83
51	Cdh1 & CycB & E2F	3	3	0.0	Cdh1, CycB, E2F	3	83
52	CycA & UbcH10	3	2	0.0	CycA, UbcH10	2	83
53	CycD & E2F	3	2	0.0	CycD, E2F	2	83
54	UbcH10 & ~E2F	3	2	0.0	E2F, UbcH10	2	83
55	Cdc20 & Rb	3	2	0.0	Cdc20, Rb	2	83
56	~CycA	3	1	0.5	CycA	1	83
57	UbcH10	3	1	0.5	UbcH10	1	83
58	~CycE	3	1	0.5	CycE	1	83
