rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CycA & ~UbcH10	4	2	0.0	CycA, UbcH10	2	14
2	CycA & CycE	4	2	0.0	CycA, CycE	2	14
3	CycA & CycE	4	2	0.0	CycA, CycE	2	14
4	CycA & CycE	4	2	0.0	CycA, CycE	2	14
5	CycA & CycE	4	2	0.0	CycA, CycE	2	14
6	CycA & CycE	4	2	0.0	CycA, CycE	2	14
7	CycA & CycE	4	2	0.0	CycA, CycE	2	14
8	CycA & CycE	4	2	0.0	CycA, CycE	2	14
9	CycA & CycE	4	2	0.0	CycA, CycE	2	14
10	CycA & CycE	4	2	0.0	CycA, CycE	2	14
11	CycA & CycE	4	2	0.0	CycA, CycE	2	14
12	CycA & CycE	4	2	0.0	CycA, CycE	2	14
13	CycA & CycE	4	2	0.0	CycA, CycE	2	14
14	CycA & CycE	4	2	0.0	CycA, CycE	2	14
15	CycA & CycE	4	2	0.0	CycA, CycE	2	14
16	CycA & CycE	4	2	0.0	CycA, CycE	2	14
17	CycA & CycE	4	2	0.0	CycA, CycE	2	14
18	CycA & CycE	4	2	0.0	CycA, CycE	2	14
19	CycA & CycE	4	2	0.0	CycA, CycE	2	14
20	CycA & CycE	4	2	0.0	CycA, CycE	2	14
21	CycA & CycE	4	2	0.0	CycA, CycE	2	14
22	CycA & CycE	4	2	0.0	CycA, CycE	2	14
23	CycA & CycE	4	2	0.0	CycA, CycE	2	14
24	CycA & CycE	4	2	0.0	CycA, CycE	2	14
25	CycA & CycE	4	2	0.0	CycA, CycE	2	14
26	CycA & CycE	4	2	0.0	CycA, CycE	2	14
27	CycA & CycE	4	2	0.0	CycA, CycE	2	14
28	CycA & CycE	4	2	0.0	CycA, CycE	2	14
29	CycA & CycE	4	2	0.0	CycA, CycE	2	14
30	CycA & CycE	4	2	0.0	CycA, CycE	2	14
31	CycA & CycE	4	2	0.0	CycA, CycE	2	14
32	CycA & CycE	4	2	0.0	CycA, CycE	2	14
33	CycA & CycE	4	2	0.0	CycA, CycE	2	14
34	CycA & CycE	4	2	0.0	CycA, CycE	2	14
35	CycA & CycE	4	2	0.0	CycA, CycE	2	14
36	CycA & CycE	4	2	0.0	CycA, CycE	2	14
37	CycA & CycE	4	2	0.0	CycA, CycE	2	14
38	CycA & CycE	4	2	0.0	CycA, CycE	2	14
39	CycA & CycE	4	2	0.0	CycA, CycE	2	14
40	CycA & CycE	4	2	0.0	CycA, CycE	2	14
41	CycA & CycE	4	2	0.0	CycA, CycE	2	14
42	CycA & CycE	4	2	0.0	CycA, CycE	2	14
43	CycA & CycE & p27	3	3	0.0	CycA, CycE, p27	3	14
44	Cdh1 & CycE	3	2	0.0	Cdh1, CycE	2	14
45	CycA & (~Rb | ~UbcH10)	3	3	0.0	CycA, Rb, UbcH10	3	14
46	CycE	3	1	0.5	CycE	1	14
47	Cdh1 & CycE	3	2	0.0	Cdh1, CycE	2	14
48	CycA & Rb	3	2	0.0	CycA, Rb	2	14
49	CycE | E2F	3	2	0.0	CycE, E2F	2	14
50	Cdh1 & CycE	3	2	0.0	Cdh1, CycE	2	14
51	Cdh1 & CycA	3	2	0.0	Cdh1, CycA	2	14
52	CycA & CycB & CycE	3	3	0.0	CycA, CycB, CycE	3	14
53	CycA & CycE & p27	3	3	0.0	CycA, CycE, p27	3	14
54	Cdh1 & CycE	3	2	0.0	Cdh1, CycE	2	14
55	CycE & (CycA | CycD)	3	3	0.0	CycA, CycD, CycE	3	14
56	CycA	3	1	0.5	CycA	1	14
57	CycA & CycD	3	2	0.0	CycA, CycD	2	14
58	Cdc20 & CycA & CycE	3	3	0.0	Cdc20, CycA, CycE	3	14
59	CycA	3	1	0.5	CycA	1	14
60	CycA	3	1	0.5	CycA	1	14
61	CycE	3	1	0.5	CycE	1	14
62	Cdh1 & CycA & CycB & CycE	3	4	0.5	Cdh1, CycA, CycB, CycE	4	14
63	CycE	3	1	0.5	CycE	1	14
64	CycE	3	1	0.5	CycE	1	14
65	CycE	3	1	0.5	CycE	1	14
66	CycA	3	1	0.5	CycA	1	14
67	CycE	3	1	0.5	CycE	1	14
68	CycE	3	1	0.5	CycE	1	14
69	CycE	3	1	0.5	CycE	1	14
70	CycE	3	1	0.5	CycE	1	14
71	CycA	3	1	0.5	CycA	1	14
72	CycA	3	1	0.5	CycA	1	14
73	CycA | CycE	2	2	0.0	CycA, CycE	2	14
74	E2F & UbcH10	2	2	0.0	E2F, UbcH10	2	14
75	Cdh1	2	1	0.5	Cdh1	1	14
76	CycD & CycE	2	2	0.0	CycD, CycE	2	14
77	CycA | CycE	2	2	0.0	CycA, CycE	2	14
78	CycA | CycE	2	2	0.0	CycA, CycE	2	14
79	CycB & CycE	2	2	0.0	CycB, CycE	2	14
80	Cdh1 | UbcH10	2	2	0.0	Cdh1, UbcH10	2	14
81	CycE & UbcH10	2	2	0.0	CycE, UbcH10	2	14
82	Cdh1 & (CycA | CycE)	2	3	0.0	Cdh1, CycA, CycE	3	14
83	CycE & ~Rb	2	2	0.0	CycE, Rb	2	14
84	CycD & CycE	2	2	0.0	CycD, CycE	2	14
85	CycD & CycE	2	2	0.0	CycD, CycE	2	14
86	Cdh1	2	1	0.5	Cdh1	1	14
87	E2F	2	1	0.5	E2F	1	14
88	CycB	2	1	0.5	CycB	1	14
89	CycA | (Cdh1 & CycD & CycE) | (CycD & CycE & UbcH10)	2	5	1.0	Cdh1, CycA, CycD, CycE, UbcH10	5	14
90	Cdc20 & CycA & p27	1	3	0.0	Cdc20, CycA, p27	3	14
91	CycE & ~CycA	1	2	0.0	CycA, CycE	2	14
92	CycA & UbcH10	1	2	0.0	CycA, UbcH10	2	14
93	UbcH10	1	1	0.5	UbcH10	1	14
94	~CycE	1	1	0.5	CycE	1	14
95	UbcH10	1	1	0.5	UbcH10	1	14
96	UbcH10	1	1	0.5	UbcH10	1	14
97	~CycA	1	1	0.5	CycA	1	14
98	p27	1	1	0.5	p27	1	14
99	~CycE	1	1	0.5	CycE	1	14
100	p27 & (CycD | UbcH10)	0	3	0.0	CycD, UbcH10, p27	3	14
