rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	Cdh1 | CycA	4	2	0.0	Cdh1, CycA	2	77
2	CycE | p27	4	2	0.0	CycE, p27	2	77
3	CycA | CycD | Rb	4	3	0.0	CycA, CycD, Rb	3	77
4	CycE | UbcH10	4	2	0.0	CycE, UbcH10	2	77
5	Cdc20 | ~UbcH10	4	2	0.0	Cdc20, UbcH10	2	77
6	Cdh1 & (CycA | p27)	4	3	0.0	Cdh1, CycA, p27	3	77
7	CycE | UbcH10	4	2	0.0	CycE, UbcH10	2	77
8	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
9	CycA | p27	4	2	0.0	CycA, p27	2	77
10	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
11	Cdh1 | Rb	4	2	0.0	Cdh1, Rb	2	77
12	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
13	Cdc20 | CycD | CycE	4	3	0.0	Cdc20, CycD, CycE	3	77
14	Cdc20 | CycE	4	2	0.0	Cdc20, CycE	2	77
15	CycD | p27	4	2	0.0	CycD, p27	2	77
16	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	77
17	Cdc20 | E2F	4	2	0.0	Cdc20, E2F	2	77
18	Cdc20 | ~UbcH10	4	2	0.0	Cdc20, UbcH10	2	77
19	Rb | p27	4	2	0.0	Rb, p27	2	77
20	Cdc20 | CycE	4	2	0.0	Cdc20, CycE	2	77
21	Rb | p27	4	2	0.0	Rb, p27	2	77
22	CycA | p27	4	2	0.0	CycA, p27	2	77
23	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	77
24	Cdh1 | Rb	4	2	0.0	Cdh1, Rb	2	77
25	CycA | CycE	4	2	0.0	CycA, CycE	2	77
26	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	77
27	Cdh1 | CycE	4	2	0.0	Cdh1, CycE	2	77
28	CycA | CycE	4	2	0.0	CycA, CycE	2	77
29	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
30	Cdh1 | CycE	4	2	0.0	Cdh1, CycE	2	77
31	Cdh1 | CycA	4	2	0.0	Cdh1, CycA	2	77
32	CycA | p27	4	2	0.0	CycA, p27	2	77
33	Cdc20 | p27	4	2	0.0	Cdc20, p27	2	77
34	CycA | p27	4	2	0.0	CycA, p27	2	77
35	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
36	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	77
37	Cdc20 | Cdh1	4	2	0.0	Cdc20, Cdh1	2	77
38	CycA | E2F	4	2	0.0	CycA, E2F	2	77
39	Cdh1 | CycA	4	2	0.0	Cdh1, CycA	2	77
40	Cdc20 | Rb | p27	4	3	0.0	Cdc20, Rb, p27	3	77
41	CycE | UbcH10	4	2	0.0	CycE, UbcH10	2	77
42	Cdc20 | CycE	4	2	0.0	Cdc20, CycE	2	77
43	CycE | p27	4	2	0.0	CycE, p27	2	77
