Gene	Position	Rule	Correct	N_Regulators	MSE	Score
CycD	1	UbcH10 | ~CycB	4	2	N/A	1.9375
CycD	2	~CycB & ~CycD	4	2	N/A	1.9375
CycD	3	~CycD | ~CycE	4	2	N/A	1.9375
CycD	4	~CycD & (~CycB | ~UbcH10)	4	3	N/A	1.9375
CycD	5	~CycD & (E2F | ~CycE)	4	3	N/A	1.9375
CycD	6	p27 & ~CycB	4	2	N/A	1.9375
CycD	7	~CycB & ~Rb	4	2	N/A	1.9375
CycD	8	p27 & ~CycD	4	2	N/A	1.9375
CycD	9	Cdh1 & ~CycD	4	2	N/A	1.9375
CycD	10	~CycB | ~CycD	4	2	N/A	1.9375
CycD	11	CycA & ~CycD	4	2	N/A	1.9375
CycD	12	Cdh1 & ~CycB	4	2	N/A	1.9375
CycD	13	~CycB | (CycA & ~CycD)	4	3	N/A	1.9375
CycD	14	~Cdh1 | ~CycD	4	2	N/A	1.9375
CycD	15	~CycB | ~CycE	4	2	N/A	1.9375
CycD	16	Cdh1 & (~CycD | ~CycE)	4	3	N/A	1.9375
CycD	17	CycA & p27	4	2	N/A	1.9375
CycD	18	~CycB & (Cdh1 | UbcH10)	4	3	N/A	1.9375
CycD	19	CycA & (E2F | p27)	4	3	N/A	1.9375
CycD	20	~CycD & ~Rb	4	2	N/A	1.9375
CycD	21	CycA & ~Rb	4	2	N/A	1.9375
CycD	22	Cdh1 & CycA & p27	4	3	N/A	1.9375
CycD	23	~CycD & (~CycE | ~UbcH10)	4	3	N/A	1.9375
CycD	24	CycA & (E2F | ~CycE)	4	3	N/A	1.9375
CycD	25	CycA & (~CycE | ~Rb)	4	3	N/A	1.9375
CycD	26	CycA & (p27 | ~Cdc20)	4	3	N/A	1.9375
CycD	27	UbcH10 | ~CycD	4	2	N/A	1.9375
CycD	28	~CycB | (~Cdh1 & ~E2F)	4	3	N/A	1.9375
CycD	29	p27 & (Cdc20 | CycA)	4	3	N/A	1.9375
CycD	30	~CycD | (CycA & p27)	4	3	N/A	1.9375
CycD	31	CycA & (p27 | ~CycB)	4	3	N/A	1.9375
CycD	32	~CycB & (Cdc20 | p27)	4	3	N/A	1.9375
CycD	33	~CycD & (CycA | ~p27)	4	3	N/A	1.9375
CycD	34	~CycD | (~CycB & ~Rb)	4	3	N/A	1.9375
CycD	35	~CycB & (~CycA | ~CycD)	4	3	N/A	1.9375
CycD	36	~CycB & (Cdh1 | CycE)	4	3	N/A	1.9375
CycD	37	~CycB & (CycA | CycD)	4	3	N/A	1.9375
CycD	38	~CycD | (~Cdh1 & ~CycB)	4	3	N/A	1.9375
CycD	39	~CycD | (CycB & ~Cdh1)	4	3	N/A	1.9375
CycD	40	~CycD | (~CycE & ~Rb)	4	3	N/A	1.9375
CycD	41	~CycB & (UbcH10 | p27)	4	3	N/A	1.9375
CycD	42	~Cdh1 | ~CycB	4	2	N/A	1.9375
CycD	43	~CycB | (E2F & ~Cdh1)	4	3	N/A	1.9375
CycD	44	~CycB | (UbcH10 & ~E2F)	4	3	N/A	1.9375
CycD	45	~CycB | (E2F & UbcH10)	4	3	N/A	1.9375
CycD	46	~CycD | (Cdc20 & UbcH10)	4	3	N/A	1.9375
CycD	47	CycA & ~CycB	4	2	N/A	1.9375
CycD	48	CycA & (E2F | ~CycB)	4	3	N/A	1.9375
CycD	49	CycA & p27 & ~CycB	4	3	N/A	1.9375
CycD	50	CycA & ~CycB & ~Rb	4	3	N/A	1.9375
CycD	51	~CycB & (E2F | UbcH10)	4	3	N/A	1.9375
CycD	52	Cdh1 & CycA & ~Rb	4	3	N/A	1.9375
