ID	T0	T1	T2	T3	T4	T5	T6	T7	T8	T9
CycD	8.46980285947749	3.83983336307429	5.84998122292856	5.5402889302544	6.28959179760034	7.12444774327395	4.90251490516234	5.55720392911301	6.55304555710919	5.17492046127874
Rb	7.80196954622741	5.64048096091609	6.97582688763738	6.24678356614343	7.74586352095148	8.45969040694528	7.6065150769011	9.68981564285333	11.5457447178299	4.67690182897663
E2F	3.19685668479563	4.92842983818851	8.58084850435423	4.51771784946051	3.70244092431901	1.64101966751813	2.32085993884739	4.80063745750707	4.56778272046687	4.01446930492732
CycE	4.20970962960842	1.98721410652904	4.60620437469912	7.17942051965661	6.15598977918675	3.87529137343467	3.8716614363582	3.17422651726652	2.31176442547778	7.42279666122125
CycA	3.08589983472263	3.13909521361899	1.03166042661072	4.59588369699823	4.20113392581413	7.42354703007127	4.85618190639666	3.68131748763624	2.19834465505427	5.41878541851313
p27	4.06320784317941	8.52192420449386	7.01537948800016	8.22121207483347	8.42602802565558	7.78216777530767	5.39580246195253	9.64694419884401	8.31096799830135	8.37089522168315
Cdc20	9.54378024026953	5.38842748010091	2.18973876186256	3.14884926841869	1.2988575725718	2.85651750167466	7.32080128499105	6.39824339282846	3.68050643114358	4.34035542968341
Cdh1	7.32773853910151	10.9590811747226	8.8821001326105	9.95451240627528	6.42828920757676	9.04665058345021	7.38809679050309	11.2321486447211	8.79135363436198	8.2398856425682
UbcH10	2.76883744362183	5.09759079204487	2.85971028722731	3.37560193573056	5.93555269125178	5.51604261369482	4.92767671715603	3.58271880410294	4.61928181707968	2.02238957960325
CycB	6.04597120023975	2.20599365989518	2.85742533660399	4.04440431571325	3.6703584659959	4.85024861074431	5.05114865023903	4.80261264901903	1.4974016263631	2.31237799747401
