generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.06	1.04	0	4	0.365	0.0	1.0
1	2.46	1.11	0	4	0.270	0.0	0.5
2	2.76	1.11	0	4	0.240	0.0	1.0
3	2.96	1.16	0	4	0.180	0.0	1.0
4	3.15	1.13	0	4	0.145	0.0	0.5
5	3.33	0.97	1	4	0.180	0.0	1.5
6	3.03	1.19	0	4	0.195	0.0	1.0
7	3.28	1.00	0	4	0.145	0.0	1.0
8	3.14	1.08	0	4	0.160	0.0	1.0
9	3.23	0.91	0	4	0.150	0.0	0.5
10	3.15	1.14	0	4	0.160	0.0	0.5
11	3.22	1.12	0	4	0.155	0.0	1.0
12	3.42	0.86	0	4	0.110	0.0	0.5
13	3.12	1.11	0	4	0.180	0.0	1.0
14	3.42	0.93	0	4	0.180	0.0	1.0
15	3.39	0.97	0	4	0.120	0.0	1.0
16	3.37	1.01	0	4	0.105	0.0	0.5
17	3.36	0.95	0	4	0.095	0.0	0.5
18	3.31	1.01	0	4	0.135	0.0	0.5
19	3.27	1.06	0	4	0.145	0.0	1.0
20	3.36	0.88	1	4	0.140	0.0	1.0
21	3.28	1.00	0	4	0.205	0.0	1.5
22	3.04	1.15	0	4	0.185	0.0	1.0
23	3.30	0.94	1	4	0.160	0.0	1.0
24	3.27	1.02	0	4	0.145	0.0	1.0
25	3.25	0.98	0	4	0.185	0.0	1.0
26	3.17	1.13	0	4	0.170	0.0	1.0
27	2.93	1.14	0	4	0.125	0.0	1.0
28	3.11	1.07	1	4	0.170	0.0	1.0
29	3.18	1.05	0	4	0.160	0.0	0.5
30	3.26	0.92	0	4	0.145	0.0	1.0
31	3.18	0.94	1	4	0.185	0.0	1.0
32	3.15	1.11	0	4	0.135	0.0	0.5
33	3.34	0.91	0	4	0.115	0.0	1.0
34	3.29	0.97	0	4	0.155	0.0	1.0
35	3.27	0.97	0	4	0.180	0.0	1.0
36	3.33	0.90	0	4	0.145	0.0	1.5
37	3.36	0.95	0	4	0.145	0.0	1.0
38	3.39	1.00	0	4	0.135	0.0	1.0
39	3.21	0.91	0	4	0.155	0.0	1.0
40	3.13	0.99	1	4	0.150	0.0	0.5
41	3.12	1.05	1	4	0.165	0.0	0.5
42	3.28	0.98	1	4	0.150	0.0	0.5
43	3.29	0.99	0	4	0.135	0.0	1.0
44	3.40	0.89	0	4	0.165	0.0	1.0
45	3.33	0.97	1	4	0.155	0.0	1.0
46	3.31	0.87	1	4	0.120	0.0	0.5
47	3.29	1.05	0	4	0.110	0.0	1.0
48	3.12	0.97	0	4	0.165	0.0	1.0
49	3.27	1.02	0	4	0.180	0.0	1.0
50	3.17	1.11	0	4	0.180	0.0	1.0
51	3.41	0.88	1	4	0.160	0.0	1.0
52	3.41	0.85	1	4	0.185	0.0	1.0
53	3.43	0.89	0	4	0.105	0.0	0.5
54	3.23	1.09	0	4	0.145	0.0	1.0
55	3.40	0.93	0	4	0.105	0.0	1.0
56	3.38	1.00	1	4	0.110	0.0	0.5
57	3.23	0.98	1	4	0.150	0.0	0.5
58	3.32	0.87	1	4	0.155	0.0	1.5
59	3.25	0.98	0	4	0.120	0.0	0.5
60	3.27	1.00	0	4	0.145	0.0	0.5
61	3.38	0.87	0	4	0.140	0.0	1.0
62	3.21	1.05	0	4	0.145	0.0	0.5
63	3.49	0.78	1	4	0.130	0.0	1.0
64	3.34	0.96	0	4	0.160	0.0	1.0
65	3.18	1.00	1	4	0.140	0.0	0.5
66	3.35	0.92	0	4	0.150	0.0	0.5
67	3.08	1.23	0	4	0.125	0.0	1.0
68	3.27	0.91	0	4	0.130	0.0	1.0
69	3.23	1.01	0	4	0.155	0.0	0.5
70	3.28	0.91	1	4	0.145	0.0	1.0
71	3.09	1.08	0	4	0.125	0.0	0.5
72	3.12	1.12	0	4	0.140	0.0	1.0
73	3.26	1.01	0	4	0.115	0.0	1.0
74	3.13	1.09	0	4	0.150	0.0	1.0
75	3.28	0.98	0	4	0.145	0.0	1.0
76	3.21	1.07	0	4	0.150	0.0	1.0
77	3.23	1.02	0	4	0.140	0.0	0.5
78	3.39	0.89	0	4	0.120	0.0	0.5
79	3.15	1.12	0	4	0.130	0.0	0.5
80	3.17	1.12	0	4	0.120	0.0	0.5
81	3.34	0.87	1	4	0.175	0.0	1.0
82	3.15	1.07	0	4	0.155	0.0	1.0
83	3.12	1.01	1	4	0.185	0.0	1.0
84	3.32	0.88	1	4	0.185	0.0	1.0
85	3.35	0.94	0	4	0.165	0.0	0.5
86	3.21	0.97	0	4	0.140	0.0	0.5
87	3.24	1.04	0	4	0.135	0.0	1.0
88	3.22	1.13	0	4	0.110	0.0	0.5
89	3.39	0.87	1	4	0.115	0.0	0.5
90	3.25	0.92	1	4	0.150	0.0	0.5
91	3.22	0.97	0	4	0.175	0.0	0.5
92	3.30	0.97	0	4	0.115	0.0	1.0
93	3.19	1.07	0	4	0.165	0.0	1.0
94	3.36	0.88	1	4	0.105	0.0	0.5
95	3.17	1.07	0	4	0.135	0.0	1.0
96	3.23	1.05	0	4	0.145	0.0	1.0
97	3.23	0.97	0	4	0.175	0.0	0.5
98	3.29	0.93	1	4	0.170	0.0	1.0
99	3.37	1.00	0	4	0.130	0.0	1.0
100	3.28	0.97	0	4	0.170	0.0	1.0
