generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.92	0.73	0	4	0.325	0.0	1.0
1	2.15	0.75	1	4	0.240	0.0	0.5
2	2.45	0.73	1	4	0.200	0.0	1.0
3	2.42	0.81	0	4	0.220	0.0	1.0
4	2.50	0.84	0	4	0.210	0.0	1.0
5	2.76	0.80	0	4	0.190	0.0	0.5
6	2.75	0.97	1	4	0.130	0.0	1.0
7	2.87	0.89	0	4	0.130	0.0	1.0
8	2.81	0.90	0	4	0.160	0.0	1.0
9	2.76	0.94	0	4	0.120	0.0	1.0
10	2.91	0.80	1	4	0.160	0.0	0.5
11	2.85	0.88	1	4	0.155	0.0	1.5
12	2.80	0.94	1	4	0.145	0.0	0.5
13	2.87	0.76	1	4	0.130	0.0	0.5
14	2.90	0.83	0	4	0.130	0.0	1.0
15	2.94	0.93	1	4	0.160	0.0	1.0
16	2.99	0.87	1	4	0.110	0.0	1.0
17	2.92	0.82	1	4	0.125	0.0	1.0
18	3.00	0.77	1	4	0.145	0.0	1.0
19	2.82	0.96	0	4	0.110	0.0	1.0
20	2.96	0.89	1	4	0.135	0.0	1.0
21	3.06	0.90	1	4	0.150	0.0	1.0
22	2.97	0.82	1	4	0.155	0.0	1.5
23	2.90	0.89	1	4	0.175	0.0	1.5
24	2.97	0.77	1	4	0.130	0.0	1.5
25	3.02	0.80	1	4	0.080	0.0	0.5
26	2.93	0.85	1	4	0.175	0.0	1.0
27	2.88	0.87	1	4	0.145	0.0	1.5
28	2.88	0.83	1	4	0.150	0.0	1.0
29	2.93	0.78	1	4	0.115	0.0	1.0
30	2.90	0.89	1	4	0.100	0.0	0.5
31	2.92	0.86	1	4	0.130	0.0	1.0
32	3.03	0.78	2	4	0.100	0.0	0.5
33	2.80	0.84	1	4	0.150	0.0	1.0
34	2.83	0.87	1	4	0.120	0.0	1.0
35	2.91	0.84	1	4	0.140	0.0	1.0
36	2.88	0.82	1	4	0.130	0.0	0.5
37	2.89	0.84	0	4	0.085	0.0	1.0
38	2.97	0.82	1	4	0.180	0.0	1.0
39	2.97	0.93	1	4	0.125	0.0	1.0
40	2.92	0.82	1	4	0.200	0.0	1.0
41	2.90	0.85	1	4	0.140	0.0	1.0
42	2.83	0.83	1	4	0.120	0.0	0.5
43	2.86	0.82	1	4	0.130	0.0	0.5
44	2.88	0.86	1	4	0.120	0.0	1.0
45	2.93	0.83	1	4	0.135	0.0	1.0
46	2.90	0.89	1	4	0.130	0.0	1.0
47	2.85	0.85	1	4	0.115	0.0	0.5
48	2.84	0.90	1	4	0.165	0.0	1.0
49	2.89	0.88	1	4	0.165	0.0	1.0
50	2.92	0.92	1	4	0.135	0.0	1.0
51	2.85	0.89	1	4	0.155	0.0	1.0
52	2.75	0.77	1	4	0.120	0.0	1.0
53	2.86	0.79	1	4	0.135	0.0	1.0
54	2.83	0.80	1	4	0.090	0.0	1.0
55	2.84	0.81	1	4	0.120	0.0	1.0
56	2.99	0.73	1	4	0.105	0.0	1.0
57	2.89	0.80	0	4	0.100	0.0	0.5
58	2.91	0.84	1	4	0.115	0.0	1.0
59	2.95	0.80	1	4	0.130	0.0	0.5
60	3.03	0.78	1	4	0.135	0.0	1.0
61	3.08	0.72	2	4	0.130	0.0	1.0
62	2.95	0.82	1	4	0.175	0.0	1.5
63	3.00	0.87	1	4	0.125	0.0	1.0
64	2.93	0.92	0	4	0.150	0.0	1.0
65	2.91	0.91	1	4	0.160	0.0	1.0
66	2.99	0.82	1	4	0.140	0.0	1.5
67	3.03	0.82	1	4	0.160	0.0	1.0
68	2.97	0.88	1	4	0.125	0.0	1.0
69	3.02	0.86	1	4	0.090	0.0	1.0
70	3.07	0.80	1	4	0.135	0.0	1.0
71	2.88	0.86	1	4	0.115	0.0	0.5
72	2.85	0.84	1	4	0.135	0.0	1.0
73	2.85	0.77	1	4	0.160	0.0	0.5
74	2.88	0.86	1	4	0.100	0.0	0.5
75	2.99	0.74	1	4	0.175	0.0	1.0
76	2.80	0.89	1	4	0.130	0.0	1.0
77	3.05	0.79	1	4	0.135	0.0	1.0
78	2.99	0.82	1	4	0.130	0.0	0.5
79	2.94	0.89	1	4	0.155	0.0	1.0
80	2.95	0.83	1	4	0.130	0.0	0.5
81	2.88	0.83	1	4	0.130	0.0	1.0
82	2.96	0.80	1	4	0.150	0.0	0.5
83	2.85	0.91	1	4	0.145	0.0	1.0
84	2.92	0.76	1	4	0.125	0.0	1.0
85	2.95	0.84	1	4	0.145	0.0	1.0
86	2.81	0.92	1	4	0.125	0.0	0.5
87	2.94	0.82	1	4	0.130	0.0	0.5
88	2.98	0.93	1	4	0.120	0.0	1.0
89	2.93	0.86	1	4	0.140	0.0	1.0
90	2.98	0.76	1	4	0.100	0.0	1.5
91	2.92	0.99	1	4	0.110	0.0	0.5
92	2.99	0.77	1	4	0.120	0.0	1.0
93	2.99	0.84	1	4	0.095	0.0	0.5
94	2.94	0.91	1	4	0.130	0.0	0.5
95	2.89	0.82	1	4	0.135	0.0	0.5
96	2.77	0.97	0	4	0.165	0.0	1.0
97	2.71	0.97	0	4	0.160	0.0	1.0
98	2.89	0.80	1	4	0.140	0.0	1.0
99	2.89	0.79	1	4	0.130	0.0	1.0
100	2.83	0.84	1	4	0.150	0.0	1.0
