generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.23	0.63	1	3	0.375	0.0	0.5
1	2.38	0.75	1	4	0.200	0.0	1.0
2	2.53	0.78	0	4	0.185	0.0	1.0
3	2.49	0.91	1	4	0.155	0.0	1.5
4	2.71	0.89	1	4	0.090	0.0	1.0
5	2.87	0.87	0	4	0.120	0.0	0.5
6	2.86	0.85	1	4	0.145	0.0	0.5
7	2.96	0.81	1	4	0.185	0.0	1.0
8	3.08	0.81	1	4	0.160	0.0	1.0
9	2.98	0.92	1	4	0.125	0.0	0.5
10	2.97	0.95	0	4	0.105	0.0	0.5
11	3.05	0.79	0	4	0.140	0.0	1.0
12	2.92	0.83	1	4	0.150	0.0	1.0
13	2.83	0.84	0	4	0.160	0.0	0.5
14	2.97	0.84	1	4	0.130	0.0	1.0
15	3.04	0.81	1	4	0.145	0.0	0.5
16	3.03	0.85	1	4	0.140	0.0	1.0
17	2.87	0.90	1	4	0.125	0.0	1.0
18	3.05	0.83	1	4	0.125	0.0	0.5
19	3.04	0.95	0	4	0.100	0.0	1.0
20	2.93	0.89	1	4	0.115	0.0	0.5
21	3.01	0.79	1	4	0.150	0.0	1.0
22	2.86	0.82	1	4	0.165	0.0	0.5
23	2.89	0.88	1	4	0.130	0.0	1.0
24	3.00	0.84	1	4	0.090	0.0	1.0
25	3.15	0.83	1	4	0.115	0.0	1.0
26	2.93	0.84	1	4	0.140	0.0	1.0
27	2.84	0.88	1	4	0.175	0.0	1.0
28	2.94	0.80	1	4	0.150	0.0	1.0
29	2.89	0.89	0	4	0.135	0.0	0.5
30	2.78	1.01	0	4	0.185	0.0	1.0
31	2.94	0.82	1	4	0.170	0.0	1.0
32	3.01	0.83	1	4	0.120	0.0	1.0
33	2.91	0.81	1	4	0.165	0.0	0.5
34	2.94	0.90	1	4	0.140	0.0	1.0
35	2.99	0.84	1	4	0.145	0.0	1.5
36	2.91	0.91	1	4	0.145	0.0	1.0
37	3.05	0.80	1	4	0.100	0.0	0.5
38	2.86	0.93	1	4	0.140	0.0	1.0
39	2.97	0.82	1	4	0.160	0.0	1.0
40	2.85	0.83	1	4	0.150	0.0	1.0
41	2.89	0.80	0	4	0.100	0.0	0.5
42	2.92	0.90	1	4	0.150	0.0	0.5
43	2.76	0.92	1	4	0.150	0.0	0.5
44	2.99	0.84	0	4	0.120	0.0	0.5
45	2.96	0.88	0	4	0.130	0.0	0.5
46	2.97	0.77	2	4	0.210	0.0	1.0
47	2.94	0.85	0	4	0.190	0.0	1.0
48	2.79	0.82	1	4	0.160	0.0	1.5
49	2.82	0.79	1	4	0.190	0.0	1.5
50	2.92	0.88	1	4	0.160	0.0	1.0
51	2.94	0.86	1	4	0.115	0.0	0.5
52	2.87	0.74	1	4	0.160	0.0	0.5
53	2.96	0.81	1	4	0.165	0.0	1.0
54	2.86	0.86	1	4	0.195	0.0	1.0
55	2.81	0.91	1	4	0.145	0.0	1.0
56	2.93	0.82	1	4	0.135	0.0	0.5
57	2.87	0.91	1	4	0.145	0.0	1.0
58	2.99	0.81	1	4	0.170	0.0	1.0
59	2.89	0.84	1	4	0.180	0.0	0.5
60	2.92	0.80	1	4	0.115	0.0	0.5
61	2.84	0.87	1	4	0.130	0.0	1.0
62	3.07	0.84	1	4	0.120	0.0	0.5
63	2.90	0.83	1	4	0.145	0.0	1.0
64	2.87	0.88	1	4	0.130	0.0	0.5
65	2.91	0.93	1	4	0.150	0.0	1.0
66	2.96	0.84	1	4	0.190	0.0	1.0
67	2.88	0.84	1	4	0.120	0.0	0.5
68	2.81	0.87	1	4	0.130	0.0	1.0
69	2.82	0.91	1	4	0.125	0.0	0.5
70	3.01	0.77	1	4	0.130	0.0	0.5
71	2.90	0.77	1	4	0.115	0.0	0.5
72	2.92	0.86	1	4	0.165	0.0	0.5
73	3.04	0.81	1	4	0.160	0.0	1.0
74	2.88	0.85	1	4	0.180	0.0	1.5
75	2.82	0.93	1	4	0.105	0.0	0.5
76	3.05	0.88	1	4	0.090	0.0	1.0
77	2.84	0.83	1	4	0.115	0.0	0.5
78	2.86	0.80	1	4	0.140	0.0	1.5
79	2.79	0.86	1	4	0.165	0.0	1.0
80	2.81	0.89	1	4	0.175	0.0	0.5
81	2.94	0.90	1	4	0.190	0.0	1.0
82	2.89	0.84	1	4	0.180	0.0	1.5
83	3.02	0.91	0	4	0.125	0.0	0.5
84	2.87	0.92	0	4	0.135	0.0	0.5
85	2.89	0.84	0	4	0.145	0.0	1.0
86	2.89	0.88	1	4	0.175	0.0	1.0
87	2.88	0.83	1	4	0.130	0.0	0.5
88	2.78	0.83	1	4	0.145	0.0	0.5
89	3.01	0.74	1	4	0.105	0.0	1.0
90	2.90	0.75	1	4	0.145	0.0	1.0
91	2.81	0.88	1	4	0.130	0.0	0.5
92	2.85	0.85	1	4	0.145	0.0	0.5
93	2.87	0.88	0	4	0.155	0.0	1.0
94	2.99	0.79	1	4	0.150	0.0	0.5
95	2.99	0.91	1	4	0.135	0.0	0.5
96	2.88	0.85	1	4	0.140	0.0	0.5
97	2.88	0.91	1	4	0.150	0.0	1.0
98	2.89	0.90	0	4	0.140	0.0	0.5
99	2.91	0.83	1	4	0.130	0.0	0.5
100	2.89	0.77	1	4	0.160	0.0	1.0
