generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.08	1.01	0	4	0.330	0.0	1.0
1	2.64	0.92	0	4	0.200	0.0	0.5
2	2.92	0.95	1	4	0.190	0.0	1.0
3	2.98	0.97	0	4	0.185	0.0	1.0
4	3.14	0.95	0	4	0.185	0.0	1.0
5	3.03	1.10	0	4	0.185	0.0	1.0
6	3.23	0.90	0	4	0.135	0.0	1.0
7	3.29	0.86	0	4	0.155	0.0	1.0
8	3.13	1.03	0	4	0.190	0.0	1.0
9	3.22	1.03	0	4	0.110	0.0	0.5
10	3.27	0.90	0	4	0.170	0.0	1.5
11	3.32	0.86	1	4	0.160	0.0	1.5
12	3.16	0.99	0	4	0.145	0.0	1.0
13	3.27	0.93	0	4	0.165	0.0	1.5
14	3.06	1.13	0	4	0.175	0.0	1.0
15	3.14	1.02	0	4	0.125	0.0	0.5
16	3.33	0.91	1	4	0.130	0.0	0.5
17	2.90	1.20	0	4	0.110	0.0	0.5
18	3.10	0.97	0	4	0.160	0.0	0.5
19	3.10	1.00	0	4	0.165	0.0	1.0
20	2.88	1.12	0	4	0.155	0.0	0.5
21	3.00	1.10	0	4	0.175	0.0	1.0
22	2.96	1.08	0	4	0.150	0.0	0.5
23	3.30	0.87	1	4	0.135	0.0	1.0
24	3.07	1.18	0	4	0.165	0.0	1.5
25	3.11	0.94	0	4	0.200	0.0	1.5
26	3.29	0.86	0	4	0.150	0.0	1.0
27	3.31	0.93	0	4	0.175	0.0	1.0
28	2.98	1.07	1	4	0.170	0.0	0.5
29	2.95	1.16	0	4	0.165	0.0	1.0
30	3.17	1.06	0	4	0.125	0.0	1.0
31	3.32	0.82	1	4	0.130	0.0	1.0
32	3.04	1.08	0	4	0.160	0.0	1.5
33	3.35	0.90	0	4	0.130	0.0	1.0
34	3.29	0.82	1	4	0.175	0.0	1.0
35	3.29	1.02	0	4	0.130	0.0	1.0
36	3.23	1.10	0	4	0.120	0.0	1.0
37	3.18	1.00	0	4	0.185	0.0	1.5
38	3.02	1.08	0	4	0.205	0.0	1.5
39	3.19	0.93	1	4	0.195	0.0	1.0
40	3.15	0.94	1	4	0.140	0.0	0.5
41	3.06	1.13	0	4	0.160	0.0	1.0
42	3.18	1.06	0	4	0.155	0.0	1.0
43	3.18	0.97	0	4	0.135	0.0	1.0
44	3.20	1.02	0	4	0.150	0.0	1.5
45	3.01	1.05	0	4	0.200	0.0	1.0
46	3.03	1.09	0	4	0.145	0.0	1.0
47	3.15	1.04	0	4	0.190	0.0	1.0
48	3.05	1.03	0	4	0.175	0.0	1.0
49	2.96	1.09	0	4	0.170	0.0	1.0
50	3.19	1.06	0	4	0.145	0.0	1.0
51	3.21	1.06	0	4	0.135	0.0	1.0
52	3.43	0.68	1	4	0.130	0.0	1.0
53	3.34	0.83	1	4	0.150	0.0	1.0
54	3.26	0.97	1	4	0.125	0.0	1.0
55	3.18	1.02	0	4	0.120	0.0	0.5
56	3.28	1.02	0	4	0.125	0.0	0.5
57	3.03	1.09	0	4	0.130	0.0	0.5
58	3.00	1.16	0	4	0.180	0.0	1.0
59	3.06	1.00	0	4	0.165	0.0	1.0
60	2.92	1.09	0	4	0.200	0.0	0.5
61	3.10	0.98	0	4	0.165	0.0	1.0
62	2.80	1.08	0	4	0.160	0.0	0.5
63	3.06	1.02	0	4	0.160	0.0	1.0
64	3.18	1.04	0	4	0.130	0.0	0.5
65	3.17	1.00	0	4	0.170	0.0	0.5
66	3.19	1.06	0	4	0.150	0.0	1.5
67	3.12	1.11	0	4	0.130	0.0	1.0
68	3.23	1.01	0	4	0.140	0.0	1.0
69	3.21	0.97	1	4	0.150	0.0	0.5
70	3.24	1.02	0	4	0.110	0.0	0.5
71	3.28	1.00	0	4	0.155	0.0	0.5
72	3.05	1.08	0	4	0.155	0.0	0.5
73	3.02	1.01	0	4	0.175	0.0	1.0
74	3.02	1.09	0	4	0.200	0.0	1.0
75	2.97	1.07	0	4	0.170	0.0	1.0
76	3.18	1.06	0	4	0.170	0.0	1.0
77	3.17	1.00	0	4	0.140	0.0	0.5
78	3.07	1.21	0	4	0.125	0.0	0.5
79	3.20	0.99	1	4	0.160	0.0	1.0
80	3.17	1.04	0	4	0.105	0.0	0.5
81	3.19	1.03	0	4	0.125	0.0	0.5
82	3.02	1.08	0	4	0.160	0.0	0.5
83	3.14	0.97	1	4	0.150	0.0	0.5
84	3.09	1.11	0	4	0.120	0.0	0.5
85	3.34	0.93	0	4	0.125	0.0	1.0
86	3.15	0.99	1	4	0.135	0.0	0.5
87	3.30	0.94	0	4	0.165	0.0	1.0
88	3.23	0.99	0	4	0.185	0.0	1.5
89	3.02	1.07	0	4	0.165	0.0	1.0
90	3.07	1.01	0	4	0.200	0.0	1.0
91	3.17	0.91	1	4	0.185	0.0	1.0
92	3.11	0.99	0	4	0.140	0.0	1.0
93	3.12	1.06	0	4	0.130	0.0	0.5
94	3.03	1.06	0	4	0.135	0.0	0.5
95	3.06	1.01	0	4	0.145	0.0	0.5
96	3.05	1.13	0	4	0.160	0.0	0.5
97	3.16	0.98	1	4	0.165	0.0	1.0
98	3.25	0.94	0	4	0.150	0.0	0.5
99	3.02	1.18	0	4	0.155	0.0	1.0
100	3.26	0.91	0	4	0.145	0.0	1.0
