generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.72	0.96	0	4	0.395	0.0	1.0
1	2.24	0.88	0	4	0.295	0.0	0.5
2	2.39	0.96	0	4	0.290	0.0	1.5
3	2.29	1.02	0	4	0.290	0.0	1.0
4	2.39	1.17	0	4	0.345	0.0	1.0
5	2.61	1.06	0	4	0.380	0.0	1.0
6	2.52	1.18	0	4	0.390	0.0	0.5
7	2.75	1.16	0	4	0.370	0.0	0.5
8	2.64	1.25	0	4	0.395	0.0	0.5
9	2.38	1.30	0	4	0.370	0.0	0.5
10	2.56	1.33	0	4	0.310	0.0	0.5
11	2.41	1.37	0	4	0.280	0.0	0.5
12	2.18	1.44	0	4	0.350	0.0	0.5
13	2.64	1.31	0	4	0.330	0.0	0.5
14	2.43	1.40	0	4	0.300	0.0	0.5
15	2.35	1.36	0	4	0.285	0.0	0.5
16	2.54	1.24	0	4	0.290	0.0	1.5
17	2.60	1.25	0	4	0.315	0.0	1.0
18	2.37	1.38	0	4	0.230	0.0	0.5
19	2.39	1.36	0	4	0.295	0.0	0.5
20	2.55	1.39	0	4	0.285	0.0	0.5
21	2.19	1.44	0	4	0.300	0.0	0.5
22	2.29	1.39	0	4	0.305	0.0	0.5
23	2.42	1.23	0	4	0.285	0.0	0.5
24	2.24	1.33	0	4	0.280	0.0	0.5
25	2.32	1.26	0	4	0.275	0.0	0.5
26	2.38	1.20	0	4	0.260	0.0	0.5
27	2.45	1.24	0	4	0.240	0.0	1.0
28	2.51	1.24	0	4	0.320	0.0	0.5
29	2.61	1.34	0	4	0.315	0.0	0.5
30	2.32	1.37	0	4	0.300	0.0	0.5
31	2.61	1.23	0	4	0.320	0.0	0.5
32	2.18	1.42	0	4	0.290	0.0	0.5
33	2.31	1.35	0	4	0.315	0.0	0.5
34	2.57	1.35	0	4	0.305	0.0	0.5
35	2.51	1.31	0	4	0.310	0.0	0.5
36	2.52	1.28	0	4	0.300	0.0	0.5
37	2.33	1.41	0	4	0.320	0.0	0.5
38	2.49	1.24	0	4	0.305	0.0	0.5
39	2.60	1.28	0	4	0.295	0.0	0.5
40	2.33	1.38	0	4	0.270	0.0	0.5
41	2.53	1.29	0	4	0.290	0.0	0.5
42	2.62	1.33	0	4	0.355	0.0	1.5
43	2.48	1.35	0	4	0.310	0.0	0.5
44	2.46	1.38	0	4	0.285	0.0	0.5
45	2.40	1.43	0	4	0.325	0.0	0.5
46	2.34	1.36	0	4	0.305	0.0	0.5
47	2.37	1.24	0	4	0.280	0.0	0.5
48	2.30	1.36	0	4	0.310	0.0	0.5
49	2.22	1.38	0	4	0.275	0.0	0.5
50	2.51	1.26	0	4	0.320	0.0	0.5
51	2.59	1.29	0	4	0.285	0.0	1.0
52	2.72	1.32	0	4	0.335	0.0	0.5
53	2.88	1.22	0	4	0.300	0.0	0.5
54	2.46	1.34	0	4	0.310	0.0	0.5
55	2.45	1.33	0	4	0.320	0.0	0.5
56	2.65	1.32	0	4	0.350	0.0	0.5
57	2.57	1.27	0	4	0.325	0.0	0.5
58	2.37	1.34	0	4	0.320	0.0	0.5
59	2.46	1.37	0	4	0.355	0.0	1.0
60	2.55	1.32	0	4	0.300	0.0	1.0
61	2.56	1.36	0	4	0.345	0.0	0.5
62	2.53	1.31	0	4	0.325	0.0	0.5
63	2.56	1.31	0	4	0.315	0.0	0.5
64	2.51	1.35	0	4	0.325	0.0	1.0
65	2.34	1.32	0	4	0.330	0.0	0.5
66	2.55	1.23	0	4	0.295	0.0	0.5
67	2.59	1.30	0	4	0.270	0.0	0.5
68	2.69	1.25	0	4	0.325	0.0	1.0
69	2.40	1.54	0	4	0.310	0.0	0.5
70	2.43	1.36	0	4	0.320	0.0	0.5
71	2.62	1.36	0	4	0.370	0.0	0.5
72	2.59	1.25	0	4	0.330	0.0	1.0
73	2.48	1.37	0	4	0.310	0.0	0.5
74	2.44	1.37	0	4	0.325	0.0	0.5
75	2.62	1.31	0	4	0.315	0.0	0.5
76	2.72	1.27	0	4	0.325	0.0	0.5
77	2.48	1.44	0	4	0.340	0.0	0.5
78	2.52	1.25	0	4	0.325	0.0	0.5
79	2.39	1.33	0	4	0.310	0.0	0.5
80	2.49	1.32	0	4	0.335	0.0	0.5
81	2.58	1.27	0	4	0.310	0.0	0.5
82	2.62	1.27	0	4	0.260	0.0	0.5
83	2.51	1.33	0	4	0.220	0.0	0.5
84	2.55	1.38	0	4	0.290	0.0	0.5
85	2.36	1.31	0	4	0.270	0.0	0.5
86	2.47	1.24	0	4	0.260	0.0	0.5
87	2.50	1.29	0	4	0.295	0.0	0.5
88	2.77	1.22	0	4	0.290	0.0	0.5
89	2.72	1.26	0	4	0.300	0.0	0.5
90	2.74	1.31	0	4	0.310	0.0	0.5
91	2.52	1.36	0	4	0.290	0.0	0.5
92	2.35	1.34	0	4	0.255	0.0	0.5
93	2.53	1.21	0	4	0.295	0.0	1.0
94	2.36	1.35	0	4	0.255	0.0	0.5
95	2.34	1.34	0	4	0.255	0.0	0.5
96	2.40	1.18	0	4	0.265	0.0	0.5
97	2.40	1.20	0	4	0.260	0.0	0.5
98	2.30	1.22	0	4	0.280	0.0	0.5
99	2.33	1.28	0	4	0.310	0.0	0.5
100	2.58	1.11	0	4	0.250	0.0	0.5
