generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.14	1.06	0	4	0.330	0.0	1.0
1	2.49	1.06	0	4	0.275	0.0	0.5
2	2.70	1.07	1	4	0.245	0.0	0.5
3	2.79	1.09	0	4	0.245	0.0	0.5
4	2.72	1.16	0	4	0.190	0.0	0.5
5	2.73	1.18	0	4	0.200	0.0	1.0
6	2.76	1.21	0	4	0.165	0.0	0.5
7	2.73	1.09	0	4	0.155	0.0	0.5
8	2.98	0.98	1	4	0.145	0.0	0.5
9	3.05	1.01	0	4	0.180	0.0	0.5
10	3.00	1.12	1	4	0.180	0.0	1.0
11	2.75	1.24	0	4	0.170	0.0	0.5
12	2.77	1.08	0	4	0.175	0.0	1.0
13	2.66	1.07	0	4	0.175	0.0	0.5
14	2.82	1.02	1	4	0.210	0.0	0.5
15	2.83	1.07	0	4	0.195	0.0	1.0
16	2.80	1.06	1	4	0.195	0.0	0.5
17	2.80	1.07	0	4	0.185	0.0	0.5
18	3.02	1.06	0	4	0.170	0.0	1.5
19	2.87	1.06	1	4	0.140	0.0	1.0
20	2.94	0.99	0	4	0.155	0.0	1.0
21	2.78	1.02	1	4	0.140	0.0	0.5
22	2.74	1.01	1	4	0.150	0.0	1.0
23	2.88	1.03	0	4	0.170	0.0	0.5
24	2.85	1.09	0	4	0.155	0.0	1.0
25	2.79	1.11	1	4	0.190	0.0	1.0
26	2.59	1.18	0	4	0.170	0.0	0.5
27	2.78	1.11	1	4	0.170	0.0	0.5
28	3.00	1.07	1	4	0.155	0.0	0.5
29	2.98	1.07	0	4	0.160	0.0	0.5
30	2.86	1.13	0	4	0.180	0.0	1.0
31	2.77	1.02	1	4	0.195	0.0	0.5
32	2.89	1.07	0	4	0.185	0.0	0.5
33	2.77	1.11	1	4	0.225	0.0	1.5
34	2.74	1.16	1	4	0.190	0.0	0.5
35	2.83	1.14	0	4	0.190	0.0	1.0
36	2.74	1.15	1	4	0.205	0.0	0.5
37	2.75	1.12	1	4	0.180	0.0	1.0
38	2.92	1.07	0	4	0.165	0.0	1.0
39	2.78	1.16	0	4	0.170	0.0	1.0
40	3.03	1.11	0	4	0.185	0.0	0.5
41	2.76	1.11	0	4	0.150	0.0	0.5
42	2.92	1.08	1	4	0.215	0.0	0.5
43	2.91	1.15	0	4	0.210	0.0	1.0
44	2.94	1.06	0	4	0.180	0.0	1.0
45	3.02	1.01	1	4	0.195	0.0	1.0
46	3.04	1.05	1	4	0.140	0.0	1.0
47	2.92	1.14	0	4	0.145	0.0	0.5
48	2.89	1.03	0	4	0.155	0.0	0.5
49	2.76	1.11	1	4	0.135	0.0	1.0
50	3.10	0.96	1	4	0.190	0.0	1.0
51	3.20	0.98	1	4	0.135	0.0	0.5
52	3.13	0.95	1	4	0.160	0.0	1.5
53	2.85	1.04	1	4	0.105	0.0	0.5
54	2.94	1.00	0	4	0.170	0.0	1.0
55	2.77	1.06	0	4	0.150	0.0	1.0
56	2.80	1.14	0	4	0.145	0.0	1.0
57	2.80	1.08	1	4	0.160	0.0	1.0
58	2.80	1.08	1	4	0.185	0.0	1.0
59	2.83	1.01	1	4	0.185	0.0	1.0
60	2.74	1.10	0	4	0.145	0.0	0.5
61	2.83	1.14	1	4	0.130	0.0	0.5
62	3.06	1.11	1	4	0.095	0.0	1.0
63	3.02	1.09	0	4	0.145	0.0	0.5
64	2.92	1.01	1	4	0.165	0.0	1.0
65	2.94	1.11	1	4	0.185	0.0	0.5
66	2.89	1.07	1	4	0.170	0.0	1.0
67	2.95	1.05	0	4	0.165	0.0	0.5
68	2.90	1.10	0	4	0.195	0.0	1.0
69	2.84	1.07	1	4	0.195	0.0	1.5
70	2.69	1.13	0	4	0.170	0.0	0.5
71	2.83	1.11	0	4	0.165	0.0	0.5
72	2.74	1.16	0	4	0.190	0.0	1.0
73	2.85	1.05	0	4	0.150	0.0	1.0
74	2.95	1.02	0	4	0.150	0.0	0.5
75	2.73	1.18	0	4	0.115	0.0	1.0
76	2.78	1.11	0	4	0.150	0.0	0.5
77	2.94	1.01	1	4	0.130	0.0	0.5
78	3.04	1.00	1	4	0.120	0.0	0.5
79	3.04	1.06	0	4	0.170	0.0	1.0
80	2.73	1.18	0	4	0.140	0.0	0.5
81	3.14	0.97	1	4	0.165	0.0	1.0
82	3.05	0.92	1	4	0.135	0.0	0.5
83	2.95	1.01	0	4	0.105	0.0	0.5
84	2.90	1.09	0	4	0.190	0.0	1.0
85	2.86	1.19	0	4	0.180	0.0	1.0
86	2.69	1.11	1	4	0.180	0.0	0.5
87	2.78	1.02	1	4	0.160	0.0	0.5
88	2.93	0.93	1	4	0.150	0.0	1.0
89	2.69	1.15	0	4	0.150	0.0	0.5
90	2.86	1.10	1	4	0.140	0.0	1.0
91	3.09	1.07	1	4	0.155	0.0	1.0
92	3.12	0.97	1	4	0.145	0.0	0.5
93	3.10	1.02	1	4	0.175	0.0	1.5
94	2.93	1.18	0	4	0.145	0.0	0.5
95	2.93	1.16	1	4	0.135	0.0	1.0
96	2.92	1.13	0	4	0.145	0.0	1.0
97	2.89	1.09	0	4	0.175	0.0	1.0
98	2.81	1.16	0	4	0.175	0.0	0.5
99	3.05	0.92	1	4	0.155	0.0	0.5
100	3.01	1.10	1	4	0.155	0.0	0.5
