generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.74	1.19	0	4	0.360	0.0	1.0
1	2.31	1.13	0	4	0.280	0.0	0.5
2	2.43	1.27	0	4	0.305	0.0	0.5
3	2.73	1.30	0	4	0.350	0.0	0.5
4	2.59	1.40	0	4	0.360	0.0	0.5
5	2.68	1.29	0	4	0.345	0.0	0.5
6	2.71	1.23	0	4	0.275	0.0	0.5
7	2.93	1.19	0	4	0.285	0.0	0.5
8	2.81	1.33	0	4	0.280	0.0	0.5
9	2.64	1.26	0	4	0.260	0.0	1.0
10	2.75	1.31	0	4	0.260	0.0	0.5
11	2.81	1.25	0	4	0.275	0.0	1.0
12	2.34	1.27	0	4	0.225	0.0	0.5
13	2.64	1.20	0	4	0.220	0.0	0.5
14	2.76	1.14	0	4	0.215	0.0	0.5
15	2.62	1.28	0	4	0.225	0.0	0.5
16	2.71	1.22	0	4	0.250	0.0	0.5
17	2.63	1.35	0	4	0.230	0.0	0.5
18	2.53	1.26	0	4	0.205	0.0	0.5
19	2.56	1.31	0	4	0.205	0.0	0.5
20	2.66	1.19	0	4	0.210	0.0	1.0
21	2.44	1.33	0	4	0.225	0.0	1.0
22	2.47	1.31	0	4	0.225	0.0	1.0
23	2.71	1.26	0	4	0.235	0.0	1.0
24	2.53	1.38	0	4	0.175	0.0	0.5
25	2.49	1.28	0	4	0.175	0.0	0.5
26	2.64	1.30	0	4	0.170	0.0	0.5
27	2.83	1.19	0	4	0.190	0.0	1.0
28	2.57	1.29	0	4	0.165	0.0	1.0
29	2.57	1.19	0	4	0.175	0.0	0.5
30	2.58	1.18	0	4	0.185	0.0	1.0
31	2.47	1.27	0	4	0.215	0.0	1.0
32	2.74	1.16	0	4	0.235	0.0	0.5
33	2.74	1.23	0	4	0.255	0.0	0.5
34	2.67	1.34	0	4	0.255	0.0	0.5
35	2.70	1.25	0	4	0.235	0.0	0.5
36	2.73	1.22	0	4	0.210	0.0	1.0
37	2.68	1.35	0	4	0.205	0.0	1.0
38	2.67	1.15	0	4	0.210	0.0	0.5
39	2.46	1.31	0	4	0.230	0.0	0.5
40	2.42	1.36	0	4	0.225	0.0	1.0
41	2.42	1.28	0	4	0.200	0.0	0.5
42	2.57	1.17	0	4	0.185	0.0	0.5
43	2.71	1.10	0	4	0.200	0.0	1.0
44	2.61	1.29	0	4	0.265	0.0	1.0
45	2.79	1.33	0	4	0.270	0.0	1.0
46	2.58	1.31	0	4	0.205	0.0	1.0
47	2.38	1.30	0	4	0.170	0.0	0.5
48	2.70	1.26	0	4	0.230	0.0	1.0
49	2.71	1.24	0	4	0.200	0.0	0.5
50	2.72	1.18	0	4	0.205	0.0	1.0
51	2.53	1.29	0	4	0.225	0.0	0.5
52	2.50	1.35	0	4	0.210	0.0	0.5
53	2.56	1.24	0	4	0.255	0.0	0.5
54	2.70	1.31	0	4	0.295	0.0	0.5
55	2.59	1.34	0	4	0.200	0.0	0.5
56	2.55	1.27	0	4	0.210	0.0	0.5
57	2.95	1.13	0	4	0.215	0.0	0.5
58	2.82	1.26	0	4	0.205	0.0	0.5
59	2.65	1.29	0	4	0.200	0.0	1.0
60	2.72	1.19	0	4	0.210	0.0	1.0
61	2.65	1.18	0	4	0.185	0.0	0.5
62	2.84	1.15	0	4	0.205	0.0	0.5
63	2.65	1.28	0	4	0.190	0.0	0.5
64	2.66	1.19	0	4	0.195	0.0	0.5
65	2.62	1.26	0	4	0.220	0.0	1.0
66	2.50	1.23	0	4	0.190	0.0	1.5
67	2.51	1.27	0	4	0.175	0.0	1.0
68	2.74	1.16	0	4	0.225	0.0	1.5
69	2.88	1.17	0	4	0.185	0.0	0.5
70	2.76	1.33	0	4	0.225	0.0	1.0
71	2.82	1.15	0	4	0.240	0.0	0.5
72	2.69	1.33	0	4	0.185	0.0	0.5
73	2.91	1.10	0	4	0.210	0.0	0.5
74	2.58	1.39	0	4	0.240	0.0	1.0
75	2.92	1.21	0	4	0.240	0.0	1.0
76	2.64	1.44	0	4	0.190	0.0	0.5
77	2.60	1.20	0	4	0.205	0.0	0.5
78	2.61	1.28	0	4	0.195	0.0	0.5
79	2.78	1.26	0	4	0.225	0.0	0.5
80	2.81	1.25	0	4	0.190	0.0	1.0
81	2.72	1.33	0	4	0.210	0.0	0.5
82	2.86	1.36	0	4	0.250	0.0	0.5
83	2.90	1.03	1	4	0.215	0.0	1.0
84	2.96	1.19	0	4	0.225	0.0	1.0
85	2.91	1.21	0	4	0.220	0.0	0.5
86	2.86	1.18	0	4	0.240	0.0	0.5
87	2.79	1.13	0	4	0.210	0.0	1.0
88	2.76	1.26	0	4	0.205	0.0	1.0
89	2.79	1.10	0	4	0.205	0.0	0.5
90	2.80	1.15	0	4	0.200	0.0	0.5
91	2.47	1.22	0	4	0.180	0.0	0.5
92	2.60	1.26	0	4	0.200	0.0	0.5
93	2.79	1.12	0	4	0.165	0.0	1.0
94	2.79	1.22	0	4	0.145	0.0	0.5
95	2.63	1.27	0	4	0.185	0.0	0.5
96	2.73	1.19	0	4	0.195	0.0	0.5
97	2.65	1.29	0	4	0.200	0.0	1.0
98	2.63	1.25	0	4	0.175	0.0	1.0
99	2.67	1.13	0	4	0.185	0.0	0.5
100	2.41	1.28	0	4	0.205	0.0	1.0
