generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.71	1.27	0	4	0.340	0.0	1.0
1	2.07	1.39	0	4	0.270	0.0	0.5
2	2.40	1.29	0	4	0.325	0.0	1.0
3	2.62	1.38	0	4	0.305	0.0	0.5
4	2.70	1.35	0	4	0.275	0.0	0.5
5	2.34	1.42	0	4	0.230	0.0	0.5
6	2.47	1.44	0	4	0.275	0.0	1.0
7	2.54	1.23	0	4	0.220	0.0	0.5
8	2.52	1.40	0	4	0.245	0.0	0.5
9	2.39	1.36	0	4	0.220	0.0	0.5
10	2.70	1.39	0	4	0.240	0.0	0.5
11	2.73	1.35	0	4	0.260	0.0	0.5
12	2.57	1.34	0	4	0.210	0.0	0.5
13	2.57	1.34	0	4	0.215	0.0	1.0
14	2.81	1.28	0	4	0.235	0.0	1.0
15	2.55	1.41	0	4	0.200	0.0	0.5
16	2.68	1.32	0	4	0.245	0.0	1.0
17	2.62	1.35	0	4	0.225	0.0	0.5
18	2.47	1.45	0	4	0.210	0.0	0.5
19	2.47	1.44	0	4	0.165	0.0	0.5
20	2.63	1.30	0	4	0.200	0.0	0.5
21	2.59	1.32	0	4	0.200	0.0	0.5
22	2.73	1.30	0	4	0.205	0.0	1.0
23	2.48	1.37	0	4	0.230	0.0	1.0
24	2.64	1.35	0	4	0.195	0.0	1.0
25	2.83	1.34	0	4	0.220	0.0	0.5
26	2.60	1.34	0	4	0.275	0.0	1.0
27	2.95	1.13	0	4	0.210	0.0	1.0
28	2.91	1.14	0	4	0.215	0.0	1.0
29	2.50	1.28	0	4	0.175	0.0	0.5
30	2.50	1.32	0	4	0.215	0.0	1.0
31	2.61	1.19	0	4	0.240	0.0	1.0
32	2.44	1.34	0	4	0.220	0.0	0.5
33	2.45	1.38	0	4	0.215	0.0	1.0
34	2.68	1.29	0	4	0.205	0.0	1.0
35	2.55	1.45	0	4	0.250	0.0	1.0
36	2.67	1.44	0	4	0.235	0.0	1.0
37	2.66	1.39	0	4	0.210	0.0	0.5
38	2.68	1.39	0	4	0.210	0.0	0.5
39	2.60	1.33	0	4	0.245	0.0	1.0
40	2.77	1.37	0	4	0.215	0.0	1.0
41	2.75	1.37	0	4	0.185	0.0	1.0
42	2.67	1.40	0	4	0.175	0.0	0.5
43	2.81	1.27	0	4	0.190	0.0	1.0
44	2.73	1.34	0	4	0.185	0.0	0.5
45	2.89	1.41	0	4	0.205	0.0	0.5
46	2.74	1.39	0	4	0.180	0.0	0.5
47	2.85	1.28	0	4	0.170	0.0	0.5
48	2.88	1.31	0	4	0.205	0.0	1.0
49	3.05	1.27	0	4	0.230	0.0	0.5
50	2.83	1.33	0	4	0.210	0.0	0.5
51	2.81	1.35	0	4	0.165	0.0	0.5
52	2.92	1.43	0	4	0.185	0.0	0.5
53	2.79	1.31	0	4	0.140	0.0	1.0
54	2.80	1.27	0	4	0.150	0.0	0.5
55	3.06	1.05	1	4	0.185	0.0	1.0
56	2.83	1.22	0	4	0.205	0.0	1.0
57	2.91	1.21	0	4	0.195	0.0	1.0
58	2.58	1.33	0	4	0.195	0.0	1.0
59	2.73	1.33	0	4	0.170	0.0	1.0
60	2.87	1.31	0	4	0.220	0.0	1.0
61	2.80	1.28	0	4	0.235	0.0	1.0
62	2.47	1.46	0	4	0.225	0.0	0.5
63	2.49	1.43	0	4	0.205	0.0	0.5
64	2.84	1.26	0	4	0.180	0.0	0.5
65	2.66	1.38	0	4	0.175	0.0	0.5
66	2.47	1.43	0	4	0.180	0.0	0.5
67	2.73	1.33	0	4	0.180	0.0	0.5
68	2.84	1.23	0	4	0.180	0.0	0.5
69	2.81	1.26	0	4	0.200	0.0	0.5
70	2.82	1.34	0	4	0.210	0.0	0.5
71	2.76	1.37	0	4	0.195	0.0	0.5
72	2.65	1.30	0	4	0.180	0.0	1.0
73	2.58	1.34	0	4	0.260	0.0	1.0
74	2.76	1.44	0	4	0.215	0.0	0.5
75	2.84	1.43	0	4	0.225	0.0	0.5
76	2.64	1.43	0	4	0.215	0.0	0.5
77	2.77	1.40	0	4	0.175	0.0	0.5
78	2.69	1.28	0	4	0.230	0.0	0.5
79	2.65	1.43	0	4	0.220	0.0	1.0
80	2.60	1.31	0	4	0.185	0.0	1.5
81	2.77	1.28	0	4	0.195	0.0	1.0
82	2.99	1.13	0	4	0.155	0.0	1.0
83	2.59	1.52	0	4	0.165	0.0	0.5
84	2.63	1.32	0	4	0.160	0.0	1.0
85	2.76	1.24	0	4	0.200	0.0	1.0
86	2.49	1.45	0	4	0.210	0.0	1.0
87	2.73	1.35	0	4	0.210	0.0	1.0
88	2.77	1.27	0	4	0.215	0.0	0.5
89	2.97	1.31	0	4	0.200	0.0	1.0
90	3.01	1.31	0	4	0.185	0.0	0.5
91	2.99	1.17	0	4	0.150	0.0	1.0
92	2.67	1.27	0	4	0.205	0.0	1.0
93	2.74	1.31	0	4	0.175	0.0	1.0
94	2.85	1.26	0	4	0.190	0.0	1.0
95	2.86	1.32	0	4	0.205	0.0	1.0
96	2.84	1.35	0	4	0.195	0.0	0.5
97	2.83	1.29	0	4	0.145	0.0	1.5
98	2.59	1.44	0	4	0.185	0.0	1.0
99	2.81	1.25	0	4	0.160	0.0	1.0
100	3.00	1.17	0	4	0.190	0.0	1.0
