generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.36	1.25	0	4	0.340	0.0	1.0
1	2.65	1.34	0	4	0.230	0.0	1.0
2	2.93	1.19	0	4	0.200	0.0	0.5
3	3.15	1.15	0	4	0.185	0.0	0.5
4	3.30	1.04	0	4	0.230	0.0	1.0
5	3.23	1.12	0	4	0.200	0.0	1.0
6	3.29	1.05	0	4	0.190	0.0	1.0
7	3.25	1.19	0	4	0.145	0.0	1.0
8	3.14	1.13	0	4	0.150	0.0	1.0
9	3.21	1.08	0	4	0.175	0.0	1.0
10	3.15	1.13	0	4	0.185	0.0	1.5
11	3.18	1.18	0	4	0.165	0.0	1.0
12	3.32	1.00	0	4	0.150	0.0	0.5
13	3.45	0.93	0	4	0.155	0.0	0.5
14	3.39	0.99	0	4	0.160	0.0	0.5
15	3.47	0.88	0	4	0.140	0.0	0.5
16	3.13	1.18	0	4	0.170	0.0	1.0
17	3.32	1.11	0	4	0.140	0.0	1.0
18	3.28	1.11	0	4	0.160	0.0	1.0
19	3.26	1.07	0	4	0.150	0.0	1.0
20	3.23	1.06	0	4	0.135	0.0	0.5
21	3.35	0.96	0	4	0.160	0.0	1.0
22	3.26	0.97	0	4	0.155	0.0	1.0
23	3.20	1.07	0	4	0.150	0.0	0.5
24	3.33	0.94	0	4	0.160	0.0	1.0
25	3.17	1.26	0	4	0.150	0.0	1.0
26	3.19	1.15	0	4	0.175	0.0	1.0
27	3.25	1.09	0	4	0.195	0.0	1.0
28	3.29	0.99	0	4	0.150	0.0	1.0
29	3.44	0.96	0	4	0.110	0.0	0.5
30	3.22	1.19	0	4	0.150	0.0	0.5
31	3.36	1.06	0	4	0.185	0.0	0.5
32	3.38	0.99	0	4	0.180	0.0	0.5
33	3.39	1.01	0	4	0.120	0.0	1.0
34	3.31	1.09	0	4	0.140	0.0	1.0
35	3.40	1.03	0	4	0.160	0.0	0.5
36	3.40	1.09	0	4	0.160	0.0	0.5
37	3.50	0.91	0	4	0.130	0.0	0.5
38	3.39	0.86	0	4	0.130	0.0	1.0
39	3.53	0.94	0	4	0.105	0.0	0.5
40	3.64	0.73	0	4	0.100	0.0	0.5
41	3.37	1.00	0	4	0.155	0.0	0.5
42	3.32	1.12	0	4	0.145	0.0	1.0
43	3.30	1.00	0	4	0.135	0.0	1.0
44	3.33	1.11	0	4	0.180	0.0	0.5
45	3.44	0.90	0	4	0.130	0.0	0.5
46	3.42	0.97	0	4	0.150	0.0	0.5
47	3.31	0.97	0	4	0.160	0.0	1.0
48	3.14	1.15	0	4	0.150	0.0	1.0
49	3.14	1.10	0	4	0.140	0.0	0.5
50	3.36	0.97	0	4	0.130	0.0	0.5
51	3.30	1.06	0	4	0.150	0.0	1.0
52	3.35	1.13	0	4	0.150	0.0	0.5
53	3.36	0.97	0	4	0.135	0.0	0.5
54	3.44	0.83	0	4	0.160	0.0	0.5
55	3.41	0.96	0	4	0.160	0.0	1.0
56	3.23	1.08	0	4	0.170	0.0	1.5
57	3.31	1.07	0	4	0.145	0.0	0.5
58	3.26	1.19	0	4	0.170	0.0	1.0
59	3.43	0.99	0	4	0.170	0.0	1.0
60	3.58	0.83	0	4	0.125	0.0	0.5
61	3.35	1.07	0	4	0.145	0.0	0.5
62	3.20	0.99	0	4	0.235	0.0	0.5
63	3.31	0.99	0	4	0.190	0.0	1.0
64	3.21	1.13	0	4	0.170	0.0	1.5
65	3.22	1.00	0	4	0.140	0.0	1.0
66	3.28	1.03	0	4	0.135	0.0	0.5
67	3.40	0.94	0	4	0.140	0.0	0.5
68	3.26	1.14	0	4	0.195	0.0	1.0
69	3.33	1.08	0	4	0.165	0.0	1.0
70	3.29	1.16	0	4	0.135	0.0	0.5
71	3.17	1.11	0	4	0.115	0.0	0.5
72	3.31	1.01	0	4	0.150	0.0	0.5
73	3.26	1.11	0	4	0.160	0.0	1.5
74	3.26	1.15	0	4	0.130	0.0	0.5
75	3.32	1.02	0	4	0.180	0.0	1.0
76	3.32	1.03	0	4	0.190	0.0	1.0
77	3.26	1.03	0	4	0.200	0.0	0.5
78	3.34	1.01	0	4	0.170	0.0	1.0
79	3.41	0.76	1	4	0.165	0.0	0.5
80	3.37	0.80	1	4	0.180	0.0	1.0
81	3.45	0.96	0	4	0.140	0.0	1.0
82	3.27	1.22	0	4	0.190	0.0	1.0
83	3.20	1.12	0	4	0.150	0.0	1.0
84	3.51	0.92	0	4	0.105	0.0	1.0
85	3.14	1.20	0	4	0.135	0.0	1.0
86	3.18	1.04	0	4	0.195	0.0	1.0
87	3.23	1.12	0	4	0.225	0.0	1.0
88	3.23	1.24	0	4	0.170	0.0	0.5
89	3.36	1.02	0	4	0.170	0.0	0.5
90	3.50	0.94	0	4	0.145	0.0	0.5
91	3.16	1.12	0	4	0.205	0.0	1.0
92	3.37	1.03	0	4	0.145	0.0	0.5
93	3.33	1.02	0	4	0.110	0.0	1.0
94	3.24	1.05	0	4	0.160	0.0	1.0
95	3.16	1.05	0	4	0.120	0.0	1.0
96	3.47	0.84	0	4	0.105	0.0	0.5
97	3.40	1.03	0	4	0.165	0.0	0.5
98	3.47	0.96	0	4	0.135	0.0	0.5
99	3.39	1.02	0	4	0.130	0.0	0.5
100	3.55	0.91	0	4	0.130	0.0	0.5
