generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.69	1.27	0	4	0.350	0.0	0.5
1	2.43	1.49	0	4	0.310	0.0	1.5
2	2.56	1.28	0	4	0.215	0.0	0.5
3	2.67	1.40	0	4	0.240	0.0	1.0
4	2.84	1.36	0	4	0.220	0.0	1.0
5	2.51	1.45	0	4	0.240	0.0	0.5
6	2.87	1.32	0	4	0.180	0.0	0.5
7	2.86	1.21	0	4	0.180	0.0	0.5
8	2.73	1.33	0	4	0.225	0.0	0.5
9	2.95	1.24	0	4	0.190	0.0	1.0
10	2.85	1.32	0	4	0.195	0.0	0.5
11	2.83	1.30	0	4	0.220	0.0	1.0
12	2.80	1.18	0	4	0.215	0.0	1.0
13	3.03	1.19	0	4	0.225	0.0	1.0
14	2.90	1.22	0	4	0.205	0.0	1.0
15	2.70	1.36	0	4	0.180	0.0	0.5
16	2.83	1.27	0	4	0.195	0.0	0.5
17	2.61	1.42	0	4	0.190	0.0	1.0
18	2.75	1.31	0	4	0.200	0.0	1.0
19	3.00	1.13	0	4	0.180	0.0	0.5
20	2.96	1.26	0	4	0.155	0.0	0.5
21	2.78	1.38	0	4	0.215	0.0	1.0
22	3.03	1.22	0	4	0.205	0.0	0.5
23	2.87	1.16	0	4	0.180	0.0	0.5
24	3.05	1.24	0	4	0.205	0.0	0.5
25	2.96	1.32	0	4	0.210	0.0	1.5
26	2.87	1.37	0	4	0.205	0.0	0.5
27	2.92	1.23	0	4	0.170	0.0	0.5
28	3.04	1.19	0	4	0.165	0.0	0.5
29	2.77	1.37	0	4	0.205	0.0	0.5
30	2.93	1.29	0	4	0.240	0.0	1.0
31	2.90	1.19	0	4	0.220	0.0	0.5
32	2.87	1.24	0	4	0.200	0.0	0.5
33	2.74	1.30	0	4	0.190	0.0	0.5
34	2.89	1.27	0	4	0.205	0.0	0.5
35	2.87	1.25	0	4	0.185	0.0	0.5
36	2.67	1.35	0	4	0.220	0.0	0.5
37	2.89	1.23	0	4	0.215	0.0	0.5
38	2.91	1.36	0	4	0.180	0.0	0.5
39	2.97	1.30	0	4	0.195	0.0	0.5
40	2.89	1.46	0	4	0.195	0.0	1.0
41	2.90	1.32	0	4	0.160	0.0	0.5
42	3.02	1.25	0	4	0.155	0.0	1.0
43	3.04	1.22	0	4	0.170	0.0	0.5
44	2.88	1.31	0	4	0.175	0.0	0.5
45	2.77	1.33	0	4	0.200	0.0	0.5
46	2.75	1.35	0	4	0.185	0.0	0.5
47	2.97	1.17	0	4	0.180	0.0	0.5
48	2.86	1.39	0	4	0.180	0.0	1.0
49	2.81	1.34	0	4	0.180	0.0	1.0
50	2.98	1.13	0	4	0.185	0.0	1.0
51	2.92	1.21	0	4	0.135	0.0	0.5
52	2.86	1.29	0	4	0.175	0.0	1.0
53	2.70	1.31	0	4	0.195	0.0	0.5
54	2.77	1.31	0	4	0.165	0.0	0.5
55	2.68	1.30	0	4	0.160	0.0	0.5
56	2.87	1.12	0	4	0.160	0.0	1.5
57	3.03	1.22	0	4	0.185	0.0	0.5
58	3.14	1.17	0	4	0.150	0.0	1.0
59	2.99	1.20	0	4	0.220	0.0	0.5
60	2.96	1.39	0	4	0.200	0.0	1.0
61	2.67	1.33	0	4	0.200	0.0	0.5
62	2.81	1.30	0	4	0.215	0.0	0.5
63	2.90	1.23	0	4	0.170	0.0	0.5
64	2.65	1.47	0	4	0.180	0.0	0.5
65	2.83	1.35	0	4	0.205	0.0	0.5
66	2.85	1.29	0	4	0.195	0.0	0.5
67	2.78	1.30	0	4	0.210	0.0	0.5
68	2.73	1.26	0	4	0.220	0.0	1.0
69	2.92	1.24	0	4	0.215	0.0	0.5
70	2.47	1.39	0	4	0.170	0.0	0.5
71	3.04	1.15	0	4	0.165	0.0	0.5
72	2.62	1.41	0	4	0.180	0.0	0.5
73	2.43	1.42	0	4	0.220	0.0	0.5
74	2.76	1.34	0	4	0.200	0.0	0.5
75	2.84	1.36	0	4	0.175	0.0	0.5
76	2.83	1.25	0	4	0.160	0.0	0.5
77	2.88	1.21	0	4	0.165	0.0	1.5
78	2.71	1.36	0	4	0.180	0.0	0.5
79	2.79	1.34	0	4	0.175	0.0	1.5
80	2.80	1.33	0	4	0.165	0.0	1.0
81	3.04	1.27	0	4	0.185	0.0	0.5
82	2.99	1.15	0	4	0.205	0.0	1.0
83	2.79	1.28	0	4	0.225	0.0	0.5
84	3.04	1.14	0	4	0.155	0.0	0.5
85	2.92	1.25	0	4	0.180	0.0	1.0
86	3.00	1.15	0	4	0.170	0.0	1.0
87	2.89	1.21	0	4	0.200	0.0	1.0
88	2.87	1.24	0	4	0.175	0.0	1.5
89	3.02	1.19	0	4	0.160	0.0	0.5
90	2.73	1.26	0	4	0.210	0.0	0.5
91	2.94	1.19	0	4	0.165	0.0	0.5
92	2.86	1.32	0	4	0.145	0.0	0.5
93	2.66	1.34	0	4	0.160	0.0	0.5
94	2.72	1.35	0	4	0.175	0.0	0.5
95	2.67	1.35	0	4	0.165	0.0	1.0
96	2.73	1.33	0	4	0.195	0.0	1.0
97	2.71	1.34	0	4	0.190	0.0	1.0
98	2.79	1.28	0	4	0.160	0.0	0.5
99	2.89	1.23	0	4	0.165	0.0	0.5
100	2.81	1.26	0	4	0.195	0.0	0.5
