rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
2	CycB | CycD | UbcH10	4	3	0.0	CycB, CycD, UbcH10	3	10
3	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
4	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
5	CycB | CycD | UbcH10	4	3	0.0	CycB, CycD, UbcH10	3	10
6	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
7	CycD | E2F | UbcH10	4	3	0.0	CycD, E2F, UbcH10	3	10
8	CycB | CycD | UbcH10	4	3	0.0	CycB, CycD, UbcH10	3	10
9	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
10	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
11	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
12	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
13	CycA | CycD | UbcH10	4	3	0.0	CycA, CycD, UbcH10	3	10
14	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
15	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
16	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
17	CycA | CycD | UbcH10	4	3	0.0	CycA, CycD, UbcH10	3	10
18	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
19	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
20	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
21	CycD | E2F | UbcH10	4	3	0.0	CycD, E2F, UbcH10	3	10
22	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
23	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
24	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
25	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
26	CycD | UbcH10	4	2	0.0	CycD, UbcH10	2	10
27	CycD | E2F | UbcH10	4	3	0.0	CycD, E2F, UbcH10	3	10
28	CycA | CycD | E2F | UbcH10	4	4	0.5	CycA, CycD, E2F, UbcH10	4	10
29	CycA | CycB | CycD | E2F | UbcH10	4	5	1.0	CycA, CycB, CycD, E2F, UbcH10	5	10
30	CycB | CycD	3	2	0.0	CycB, CycD	2	10
31	CycB | UbcH10	3	2	0.0	CycB, UbcH10	2	10
32	CycB | UbcH10	3	2	0.0	CycB, UbcH10	2	10
33	UbcH10 | ~p27	3	2	0.0	UbcH10, p27	2	10
34	CycA | UbcH10	3	2	0.0	CycA, UbcH10	2	10
35	CycE | E2F | UbcH10	3	3	0.0	CycE, E2F, UbcH10	3	10
