rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
2	~CycA & ~CycD & ~UbcH10	4	3	0.0	CycA, CycD, UbcH10	3	4
3	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
4	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
5	CycE & p27	4	2	0.0	CycE, p27	2	4
6	~Cdc20 & ~CycD & ~UbcH10	4	3	0.0	Cdc20, CycD, UbcH10	3	4
7	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
8	CycE & p27	4	2	0.0	CycE, p27	2	4
9	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
10	CycE & Rb & p27	4	3	0.0	CycE, Rb, p27	3	4
11	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
12	CycE & p27	4	2	0.0	CycE, p27	2	4
13	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
14	CycE & p27	4	2	0.0	CycE, p27	2	4
15	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
16	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
17	CycE & p27	4	2	0.0	CycE, p27	2	4
18	CycE & p27	4	2	0.0	CycE, p27	2	4
19	CycE & p27	4	2	0.0	CycE, p27	2	4
20	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
21	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
22	Cdh1 & CycE & p27	4	3	0.0	Cdh1, CycE, p27	3	4
23	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
24	CycE & p27	4	2	0.0	CycE, p27	2	4
25	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
26	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
27	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
28	CycE & p27	4	2	0.0	CycE, p27	2	4
29	CycE & p27	4	2	0.0	CycE, p27	2	4
30	CycE & Rb & ~CycA	4	3	0.0	CycA, CycE, Rb	3	4
31	CycE & p27	4	2	0.0	CycE, p27	2	4
32	CycE & p27	4	2	0.0	CycE, p27	2	4
33	CycE & p27	4	2	0.0	CycE, p27	2	4
34	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
35	CycE & p27	4	2	0.0	CycE, p27	2	4
36	CycE & ~CycA	4	2	0.0	CycA, CycE	2	4
37	CycE & p27	4	2	0.0	CycE, p27	2	4
38	CycE & p27	4	2	0.0	CycE, p27	2	4
39	Cdh1 & CycE	4	2	0.0	Cdh1, CycE	2	4
40	CycE & p27	4	2	0.0	CycE, p27	2	4
41	CycE & p27	4	2	0.0	CycE, p27	2	4
42	Cdc20 & Cdh1 & CycE	3	3	0.0	Cdc20, Cdh1, CycE	3	4
43	CycA & p27	3	2	0.0	CycA, p27	2	4
44	CycE & Rb	3	2	0.0	CycE, Rb	2	4
45	Cdh1 & p27	3	2	0.0	Cdh1, p27	2	4
46	CycE & Rb	3	2	0.0	CycE, Rb	2	4
47	CycB & p27	3	2	0.0	CycB, p27	2	4
48	CycB & p27	3	2	0.0	CycB, p27	2	4
