rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CycB & CycE & E2F	4	3	0.0	CycB, CycE, E2F	3	6
2	CycB & ~CycE	4	2	0.0	CycB, CycE	2	6
3	Cdc20 & Cdh1	4	2	0.0	Cdc20, Cdh1	2	6
4	Cdc20 & p27	4	2	0.0	Cdc20, p27	2	6
5	UbcH10 & (Cdc20 | p27)	4	3	0.0	Cdc20, UbcH10, p27	3	6
6	CycA & p27	4	2	0.0	CycA, p27	2	6
7	CycB & E2F & Rb	4	3	0.0	CycB, E2F, Rb	3	6
8	CycB & UbcH10	4	2	0.0	CycB, UbcH10	2	6
9	CycB & ~CycD	4	2	0.0	CycB, CycD	2	6
10	CycB & p27	4	2	0.0	CycB, p27	2	6
11	CycE & E2F	4	2	0.0	CycE, E2F	2	6
12	UbcH10 & p27	4	2	0.0	UbcH10, p27	2	6
13	CycB & E2F	4	2	0.0	CycB, E2F	2	6
14	Cdc20 & p27	4	2	0.0	Cdc20, p27	2	6
15	CycB & p27	4	2	0.0	CycB, p27	2	6
16	Cdc20 & E2F	4	2	0.0	Cdc20, E2F	2	6
17	Cdc20 & p27	4	2	0.0	Cdc20, p27	2	6
18	CycA & UbcH10	4	2	0.0	CycA, UbcH10	2	6
19	Cdc20 & p27	4	2	0.0	Cdc20, p27	2	6
20	UbcH10 & p27	4	2	0.0	UbcH10, p27	2	6
21	E2F & UbcH10	4	2	0.0	E2F, UbcH10	2	6
22	CycD & UbcH10	4	2	0.0	CycD, UbcH10	2	6
23	UbcH10 & (Cdc20 | p27)	4	3	0.0	Cdc20, UbcH10, p27	3	6
24	CycE & E2F	4	2	0.0	CycE, E2F	2	6
25	Cdc20 & UbcH10	4	2	0.0	Cdc20, UbcH10	2	6
26	Cdc20 & UbcH10	4	2	0.0	Cdc20, UbcH10	2	6
27	CycE & E2F	4	2	0.0	CycE, E2F	2	6
28	Cdc20 & CycD & UbcH10	4	3	0.0	Cdc20, CycD, UbcH10	3	6
29	Cdh1 & CycB	4	2	0.0	Cdh1, CycB	2	6
30	CycB & UbcH10	4	2	0.0	CycB, UbcH10	2	6
31	CycB & E2F	4	2	0.0	CycB, E2F	2	6
32	Cdc20 & p27	4	2	0.0	Cdc20, p27	2	6
33	CycE & E2F	4	2	0.0	CycE, E2F	2	6
34	CycB & UbcH10	4	2	0.0	CycB, UbcH10	2	6
