rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	UbcH10 | ~CycD	4	2	0.0	CycD, UbcH10	2	9
2	~CycD & ~E2F	4	2	0.0	CycD, E2F	2	9
3	UbcH10 | ~CycD	4	2	0.0	CycD, UbcH10	2	9
4	~CycD & (Cdh1 | UbcH10)	4	3	0.0	Cdh1, CycD, UbcH10	3	9
5	~CycD | (~E2F & ~Rb)	4	3	0.0	CycD, E2F, Rb	3	9
6	~CycD | (~E2F & ~Rb)	4	3	0.0	CycD, E2F, Rb	3	9
7	UbcH10 | ~CycD	4	2	0.0	CycD, UbcH10	2	9
8	~Cdc20 & ~E2F	4	2	0.0	Cdc20, E2F	2	9
9	~CycD | (~E2F & ~Rb)	4	3	0.0	CycD, E2F, Rb	3	9
10	~CycD	4	1	0.5	CycD	1	9
11	~CycD & (Cdh1 | UbcH10)	4	3	0.0	Cdh1, CycD, UbcH10	3	9
12	~CycA & ~E2F	4	2	0.0	CycA, E2F	2	9
13	~CycD	4	1	0.5	CycD	1	9
14	~CycD	4	1	0.5	CycD	1	9
15	~CycD	4	1	0.5	CycD	1	9
16	~CycD	4	1	0.5	CycD	1	9
17	~CycD	4	1	0.5	CycD	1	9
18	~CycD	4	1	0.5	CycD	1	9
19	~CycD	4	1	0.5	CycD	1	9
20	~CycD	4	1	0.5	CycD	1	9
21	UbcH10 | p27	3	2	0.0	UbcH10, p27	2	9
22	UbcH10 | ~Cdc20	3	2	0.0	Cdc20, UbcH10	2	9
23	UbcH10 | p27	3	2	0.0	UbcH10, p27	2	9
24	Cdh1 | UbcH10	3	2	0.0	Cdh1, UbcH10	2	9
25	Cdh1 | (E2F & ~Rb)	3	3	0.0	Cdh1, E2F, Rb	3	9
26	Cdh1 & ~CycD & ~UbcH10	3	3	0.0	Cdh1, CycD, UbcH10	3	9
27	UbcH10 | ~E2F	3	2	0.0	E2F, UbcH10	2	9
28	~Rb	3	1	0.5	Rb	1	9
29	UbcH10	3	1	0.5	UbcH10	1	9
30	UbcH10	3	1	0.5	UbcH10	1	9
31	~Rb	3	1	0.5	Rb	1	9
32	~Rb	3	1	0.5	Rb	1	9
33	~Cdc20	3	1	0.5	Cdc20	1	9
34	~Rb	3	1	0.5	Rb	1	9
35	~Rb	3	1	0.5	Rb	1	9
36	~CycA	3	1	0.5	CycA	1	9
37	~Rb	3	1	0.5	Rb	1	9
38	~CycA	3	1	0.5	CycA	1	9
39	~Rb	3	1	0.5	Rb	1	9
40	~E2F	3	1	0.5	E2F	1	9
41	~E2F	3	1	0.5	E2F	1	9
42	~Rb	3	1	0.5	Rb	1	9
43	~CycA	3	1	0.5	CycA	1	9
44	~Rb	3	1	0.5	Rb	1	9
45	~Rb	3	1	0.5	Rb	1	9
46	Rb | ~CycD	2	2	0.0	CycD, Rb	2	9
47	CycB & UbcH10	2	2	0.0	CycB, UbcH10	2	9
48	~Cdh1 & ~Rb	2	2	0.0	Cdh1, Rb	2	9
49	CycB | ~p27	2	2	0.0	CycB, p27	2	9
50	~E2F & ~Rb & ~UbcH10	2	3	0.0	E2F, Rb, UbcH10	3	9
51	Rb | ~E2F	2	2	0.0	E2F, Rb	2	9
52	CycB & UbcH10 & ~CycA	2	3	0.0	CycA, CycB, UbcH10	3	9
53	Cdc20 | UbcH10 | ~p27	2	3	0.0	Cdc20, UbcH10, p27	3	9
54	True	2	1	0.5	True	1	9
55	False	2	1	0.5	False	1	9
56	p27	2	1	0.5	p27	1	9
57	~CycE	2	1	0.5	CycE	1	9
58	CycE	2	1	0.5	CycE	1	9
59	CycE	2	1	0.5	CycE	1	9
60	CycE	2	1	0.5	CycE	1	9
61	CycE	2	1	0.5	CycE	1	9
62	~CycE	2	1	0.5	CycE	1	9
63	CycE	2	1	0.5	CycE	1	9
64	p27	2	1	0.5	p27	1	9
65	~p27	2	1	0.5	p27	1	9
66	CycD | p27	1	2	0.0	CycD, p27	2	9
67	CycB | CycD | Rb	1	3	0.0	CycB, CycD, Rb	3	9
68	CycD | Rb	1	2	0.0	CycD, Rb	2	9
69	Cdc20 | p27	1	2	0.0	Cdc20, p27	2	9
70	Rb | p27	1	2	0.0	Rb, p27	2	9
71	~UbcH10 & (~Rb | ~p27)	1	3	0.0	Rb, UbcH10, p27	3	9
72	E2F | ~UbcH10	1	2	0.0	E2F, UbcH10	2	9
73	~Cdh1 & ~p27	1	2	0.0	Cdh1, p27	2	9
74	Rb | p27	1	2	0.0	Rb, p27	2	9
75	CycA	1	1	0.5	CycA	1	9
76	~Cdh1	1	1	0.5	Cdh1	1	9
77	E2F	1	1	0.5	E2F	1	9
78	~UbcH10	1	1	0.5	UbcH10	1	9
79	Rb	1	1	0.5	Rb	1	9
80	E2F	1	1	0.5	E2F	1	9
81	Cdc20	1	1	0.5	Cdc20	1	9
82	Rb	1	1	0.5	Rb	1	9
83	~UbcH10	1	1	0.5	UbcH10	1	9
84	~UbcH10 | (Cdh1 & CycA) | (Cdh1 & E2F)	1	4	0.5	Cdh1, CycA, E2F, UbcH10	4	9
85	Rb	1	1	0.5	Rb	1	9
86	CycB	1	1	0.5	CycB	1	9
87	~UbcH10	1	1	0.5	UbcH10	1	9
