rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	p27 & (Cdh1 | E2F)	4	3	0.0	Cdh1, E2F, p27	3	9
2	~CycB & ~UbcH10	4	2	0.0	CycB, UbcH10	2	9
3	~UbcH10 & (Cdh1 | ~CycB)	4	3	0.0	Cdh1, CycB, UbcH10	3	9
4	Rb & p27	4	2	0.0	Rb, p27	2	9
5	Rb & p27	4	2	0.0	Rb, p27	2	9
6	E2F | p27	4	2	0.0	E2F, p27	2	9
7	Rb & p27	4	2	0.0	Rb, p27	2	9
8	Rb & p27	4	2	0.0	Rb, p27	2	9
9	p27 & (Cdh1 | E2F)	4	3	0.0	Cdh1, E2F, p27	3	9
10	Cdh1 & Rb	4	2	0.0	Cdh1, Rb	2	9
11	Rb & p27	4	2	0.0	Rb, p27	2	9
12	E2F | p27	4	2	0.0	E2F, p27	2	9
13	Cdh1 & Rb	4	2	0.0	Cdh1, Rb	2	9
14	Rb & p27	4	2	0.0	Rb, p27	2	9
15	E2F | p27	4	2	0.0	E2F, p27	2	9
16	Rb & p27	4	2	0.0	Rb, p27	2	9
17	Rb & p27	4	2	0.0	Rb, p27	2	9
18	Rb & p27	4	2	0.0	Rb, p27	2	9
19	Rb & p27	4	2	0.0	Rb, p27	2	9
20	p27	4	1	0.5	p27	1	9
21	Rb & p27	4	2	0.0	Rb, p27	2	9
22	Rb & p27	4	2	0.0	Rb, p27	2	9
23	Rb & p27	4	2	0.0	Rb, p27	2	9
24	Rb & p27	4	2	0.0	Rb, p27	2	9
25	Rb & p27	4	2	0.0	Rb, p27	2	9
26	Rb & p27	4	2	0.0	Rb, p27	2	9
27	Rb & p27	4	2	0.0	Rb, p27	2	9
28	Rb & p27	4	2	0.0	Rb, p27	2	9
29	Rb & p27	4	2	0.0	Rb, p27	2	9
30	Rb & p27	4	2	0.0	Rb, p27	2	9
31	p27	4	1	0.5	p27	1	9
32	p27	4	1	0.5	p27	1	9
33	p27	4	1	0.5	p27	1	9
34	p27	4	1	0.5	p27	1	9
35	p27	4	1	0.5	p27	1	9
36	p27	4	1	0.5	p27	1	9
37	p27	4	1	0.5	p27	1	9
38	p27	4	1	0.5	p27	1	9
39	p27	4	1	0.5	p27	1	9
40	p27	4	1	0.5	p27	1	9
41	p27	4	1	0.5	p27	1	9
42	p27	4	1	0.5	p27	1	9
43	Cdh1 & E2F	3	2	0.0	Cdh1, E2F	2	9
44	~UbcH10	3	1	0.5	UbcH10	1	9
45	CycD & E2F	3	2	0.0	CycD, E2F	2	9
46	CycE | E2F	3	2	0.0	CycE, E2F	2	9
47	UbcH10 | p27	3	2	0.0	UbcH10, p27	2	9
48	E2F & p27	3	2	0.0	E2F, p27	2	9
49	Rb | (CycE & p27)	3	3	0.0	CycE, Rb, p27	3	9
50	Cdh1 | E2F	3	2	0.0	Cdh1, E2F	2	9
