rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	Cdh1 | (UbcH10 & ~CycA)	4	3	0.0	Cdh1, CycA, UbcH10	3	9
2	~Cdc20 & (~CycE | ~UbcH10)	4	3	0.0	Cdc20, CycE, UbcH10	3	9
3	~CycB & (~Cdc20 | ~Cdh1)	4	3	0.0	Cdc20, Cdh1, CycB	3	9
4	~CycA | ~CycE	4	2	0.0	CycA, CycE	2	9
5	Cdh1 & ~Cdc20	4	2	0.0	Cdc20, Cdh1	2	9
6	~CycB | ~CycD	4	2	0.0	CycB, CycD	2	9
7	Cdh1	4	1	0.5	Cdh1	1	9
8	Cdh1 | (UbcH10 & ~CycA)	4	3	0.0	Cdh1, CycA, UbcH10	3	9
9	~CycA | ~CycE	4	2	0.0	CycA, CycE	2	9
10	E2F | ~CycB	4	2	0.0	CycB, E2F	2	9
11	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	9
12	Cdh1	4	1	0.5	Cdh1	1	9
13	UbcH10 | p27	4	2	0.0	UbcH10, p27	2	9
14	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	9
15	Cdh1 | E2F	4	2	0.0	Cdh1, E2F	2	9
16	Cdh1 & ~Cdc20	4	2	0.0	Cdc20, Cdh1	2	9
17	Cdh1	4	1	0.5	Cdh1	1	9
18	~CycA | ~CycE	4	2	0.0	CycA, CycE	2	9
19	Cdh1	4	1	0.5	Cdh1	1	9
20	~CycA	4	1	0.5	CycA	1	9
21	~Cdc20	4	1	0.5	Cdc20	1	9
22	~Cdc20	4	1	0.5	Cdc20	1	9
23	Cdh1	4	1	0.5	Cdh1	1	9
24	~CycB	4	1	0.5	CycB	1	9
25	~Cdc20	4	1	0.5	Cdc20	1	9
26	~Cdc20	4	1	0.5	Cdc20	1	9
27	~CycA	4	1	0.5	CycA	1	9
28	Cdh1	4	1	0.5	Cdh1	1	9
29	Cdh1	4	1	0.5	Cdh1	1	9
30	~Cdc20	4	1	0.5	Cdc20	1	9
31	~CycA	4	1	0.5	CycA	1	9
32	~CycA	4	1	0.5	CycA	1	9
33	Cdh1	4	1	0.5	Cdh1	1	9
34	~Cdc20	4	1	0.5	Cdc20	1	9
35	~CycA	4	1	0.5	CycA	1	9
36	~CycA	4	1	0.5	CycA	1	9
37	(p27 & ~CycE) | (p27 & ~E2F) | (~Cdc20 & ~CycE) | (~Cdc20 & ~E2F)	4	4	0.5	Cdc20, CycE, E2F, p27	4	9
38	Cdh1	4	1	0.5	Cdh1	1	9
39	Cdh1 & (Cdc20 | ~CycA) & (CycE | ~CycA)	4	4	0.5	Cdc20, Cdh1, CycA, CycE	4	9
40	Cdh1 & (CycD | CycE | ~Rb)	4	4	0.5	Cdh1, CycD, CycE, Rb	4	9
41	~CycA	4	1	0.5	CycA	1	9
42	Cdh1 | CycA | CycD	3	3	0.0	Cdh1, CycA, CycD	3	9
43	Cdh1 & p27	3	2	0.0	Cdh1, p27	2	9
44	~CycB | ~UbcH10	3	2	0.0	CycB, UbcH10	2	9
45	CycE | ~Cdc20 | ~E2F	3	3	0.0	Cdc20, CycE, E2F	3	9
46	~Cdc20 & ~CycA & ~UbcH10	3	3	0.0	Cdc20, CycA, UbcH10	3	9
47	CycD | ~Cdc20 | ~E2F	3	3	0.0	Cdc20, CycD, E2F	3	9
48	~CycB & ~UbcH10	3	2	0.0	CycB, UbcH10	2	9
49	CycE | ~Cdc20	3	2	0.0	Cdc20, CycE	2	9
50	Cdh1 | CycA | ~Cdc20	3	3	0.0	Cdc20, Cdh1, CycA	3	9
51	Cdh1 & (CycD | ~Rb)	3	3	0.0	Cdh1, CycD, Rb	3	9
52	p27	3	1	0.5	p27	1	9
53	~CycE	3	1	0.5	CycE	1	9
