rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	CycB & (Rb | UbcH10)	4	3	0.0	CycB, Rb, UbcH10	3	6
2	CycB & CycD	4	2	0.0	CycB, CycD	2	6
3	CycB	4	1	0.5	CycB	1	6
4	CycA & CycB	4	2	0.0	CycA, CycB	2	6
5	CycB & (CycD | CycE)	4	3	0.0	CycB, CycD, CycE	3	6
6	CycB & CycD	4	2	0.0	CycB, CycD	2	6
7	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
8	CycB & CycD	4	2	0.0	CycB, CycD	2	6
9	CycB & CycD	4	2	0.0	CycB, CycD	2	6
10	CycB & (CycE | Rb)	4	3	0.0	CycB, CycE, Rb	3	6
11	CycB & CycD	4	2	0.0	CycB, CycD	2	6
12	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
13	Cdc20 & CycB & CycD	4	3	0.0	Cdc20, CycB, CycD	3	6
14	CycA & CycB & CycE	4	3	0.0	CycA, CycB, CycE	3	6
15	CycB & CycD	4	2	0.0	CycB, CycD	2	6
16	Cdc20 & CycB & CycD	4	3	0.0	Cdc20, CycB, CycD	3	6
17	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
18	CycD & Rb & ~p27	4	3	0.0	CycD, Rb, p27	3	6
19	Cdc20 & CycB	4	2	0.0	Cdc20, CycB	2	6
20	CycB & CycE	4	2	0.0	CycB, CycE	2	6
21	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
22	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
23	Cdc20 & CycE	4	2	0.0	Cdc20, CycE	2	6
24	CycB & CycD & Rb	4	3	0.0	CycB, CycD, Rb	3	6
25	CycA & Rb	4	2	0.0	CycA, Rb	2	6
26	CycB & CycD	4	2	0.0	CycB, CycD	2	6
27	CycB & CycD	4	2	0.0	CycB, CycD	2	6
28	CycB & CycD	4	2	0.0	CycB, CycD	2	6
29	CycA & Rb	4	2	0.0	CycA, Rb	2	6
30	CycB & CycD	4	2	0.0	CycB, CycD	2	6
