rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	4
2	~Cdc20 & (p27 | ~CycE)	4	3	0.0	Cdc20, CycE, p27	3	4
3	Cdh1 | (CycD & ~CycB)	4	3	0.0	Cdh1, CycB, CycD	3	4
4	~CycB & (~CycD | ~CycE)	4	3	0.0	CycB, CycD, CycE	3	4
5	Cdh1 | UbcH10 | ~CycB	4	3	0.0	Cdh1, CycB, UbcH10	3	4
6	~CycB | ~CycE	4	2	0.0	CycB, CycE	2	4
7	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	4
8	E2F | ~Cdc20	4	2	0.0	Cdc20, E2F	2	4
9	~CycA | ~CycE	4	2	0.0	CycA, CycE	2	4
10	Cdh1 | ~Rb	4	2	0.0	Cdh1, Rb	2	4
11	~Cdc20 | ~CycE	4	2	0.0	Cdc20, CycE	2	4
12	Cdh1 & (CycE | ~CycA)	4	3	0.0	Cdh1, CycA, CycE	3	4
13	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	4
14	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	4
15	Cdh1 | UbcH10	4	2	0.0	Cdh1, UbcH10	2	4
16	Cdh1 & ~CycB	4	2	0.0	Cdh1, CycB	2	4
17	Cdh1 | p27	4	2	0.0	Cdh1, p27	2	4
18	Cdh1	4	1	0.5	Cdh1	1	4
19	Cdh1	4	1	0.5	Cdh1	1	4
20	~CycA	4	1	0.5	CycA	1	4
21	~CycB	4	1	0.5	CycB	1	4
22	Cdh1	4	1	0.5	Cdh1	1	4
23	Cdh1	4	1	0.5	Cdh1	1	4
24	Cdh1	4	1	0.5	Cdh1	1	4
25	~CycA	4	1	0.5	CycA	1	4
26	~CycA	4	1	0.5	CycA	1	4
27	Cdh1	4	1	0.5	Cdh1	1	4
28	~Cdc20	4	1	0.5	Cdc20	1	4
29	Cdh1	4	1	0.5	Cdh1	1	4
30	~CycA	4	1	0.5	CycA	1	4
31	Cdh1	4	1	0.5	Cdh1	1	4
32	~CycB	4	1	0.5	CycB	1	4
33	Cdh1	4	1	0.5	Cdh1	1	4
34	Cdh1 & Rb	3	2	0.0	Cdh1, Rb	2	4
35	True	3	1	0.5	True	1	4
36	Cdh1 | CycD	3	2	0.0	Cdh1, CycD	2	4
37	Cdh1 | CycE | Rb	3	3	0.0	Cdh1, CycE, Rb	3	4
38	Cdh1 | Rb	3	2	0.0	Cdh1, Rb	2	4
39	CycE | ~CycB	3	2	0.0	CycB, CycE	2	4
40	Cdh1 | CycA	3	2	0.0	Cdh1, CycA	2	4
41	Cdh1 | CycB | ~CycE	3	3	0.0	Cdh1, CycB, CycE	3	4
42	Cdh1 | Rb	3	2	0.0	Cdh1, Rb	2	4
43	CycB | UbcH10 | p27	3	3	0.0	CycB, UbcH10, p27	3	4
44	Cdh1 | CycB	3	2	0.0	Cdh1, CycB	2	4
45	Cdc20 | Cdh1	3	2	0.0	Cdc20, Cdh1	2	4
46	Cdh1 | Rb	3	2	0.0	Cdh1, Rb	2	4
47	UbcH10 | ~CycE	3	2	0.0	CycE, UbcH10	2	4
48	~Cdc20 & ~E2F	3	2	0.0	Cdc20, E2F	2	4
49	Cdh1 & ~CycB & ~CycD	3	3	0.0	Cdh1, CycB, CycD	3	4
50	~CycE	3	1	0.5	CycE	1	4
51	~CycD	3	1	0.5	CycD	1	4
52	~CycE	3	1	0.5	CycE	1	4
53	~CycD	3	1	0.5	CycD	1	4
54	~CycD	3	1	0.5	CycD	1	4
55	Cdh1 | (Cdc20 & CycB) | (CycB & CycE)	3	4	0.5	Cdc20, Cdh1, CycB, CycE	4	4
56	Cdc20 | Cdh1 | CycA | Rb	3	4	0.5	Cdc20, Cdh1, CycA, Rb	4	4
57	p27	3	1	0.5	p27	1	4
58	Cdh1 | CycB | CycD | UbcH10	3	4	0.5	Cdh1, CycB, CycD, UbcH10	4	4
59	True	3	1	0.5	True	1	4
