Gene	Position	Rule	Correct	N_Regulators	MSE	Score
CycD	1	CycD	4	3	N/A	1.9375
CycD	2	~CycA & (CycE | ~CycD)	4	3	N/A	1.9375
CycD	3	~CycD & ~E2F	4	2	N/A	1.9375
CycD	4	~CycD | (~CycB & ~E2F)	4	3	N/A	1.9375
CycD	5	Cdh1 & ~E2F	4	2	N/A	1.9375
CycD	6	~CycB & ~CycD	4	2	N/A	1.9375
CycD	7	~CycA & ~CycD	4	2	N/A	1.9375
CycD	8	~CycD & (~E2F | ~p27)	4	3	N/A	1.9375
CycD	9	Cdh1 & ~CycD	4	2	N/A	1.9375
CycD	10	~CycD | ~Rb	4	2	N/A	1.9375
CycD	11	Cdh1 & ~CycB & ~CycD	4	3	N/A	1.9375
CycD	12	~Cdc20 & (~Cdh1 | ~E2F)	4	3	N/A	1.9375
CycD	13	~Cdc20 & (UbcH10 | ~CycD)	4	3	N/A	1.9375
CycD	14	~Cdc20 & ~E2F	4	2	N/A	1.9375
CycD	15	~CycD | (Cdh1 & CycB)	4	3	N/A	1.9375
CycD	16	~Rb | (CycE & ~CycD)	4	3	N/A	1.9375
CycD	17	UbcH10 | (CycE & p27)	4	3	N/A	1.9375
CycD	18	~CycD & (~Rb | ~UbcH10)	4	3	N/A	1.9375
CycD	19	~CycD | (CycB & UbcH10)	4	3	N/A	1.9375
CycD	20	~CycA & ~E2F	4	2	N/A	1.9375
CycD	21	UbcH10 | (~CycA & ~CycD)	4	3	N/A	1.9375
CycD	22	UbcH10 | ~CycD	4	2	N/A	1.9375
CycD	23	~CycD & (~UbcH10 | ~p27)	4	3	N/A	1.9375
CycD	24	~CycD & (Cdh1 | UbcH10)	4	3	N/A	1.9375
CycD	25	~CycD | (~E2F & ~Rb)	4	3	N/A	1.9375
CycD	26	~CycD & (~CycE | ~E2F)	4	3	N/A	1.9375
CycD	27	~CycD | (CycE & E2F)	4	3	N/A	1.9375
CycD	28	~CycD | (CycE & ~Rb)	4	3	N/A	1.9375
CycD	29	~CycD | (Cdc20 & ~Rb)	4	3	N/A	1.9375
CycD	30	~CycB & (~CycD | ~E2F)	4	3	N/A	1.9375
CycD	31	UbcH10 | (CycE & ~CycA)	4	3	N/A	1.9375
CycD	32	~E2F & (~CycB | ~CycD)	4	3	N/A	1.9375
CycD	33	~CycA | (~CycB & ~Rb)	3	3	N/A	1.6875
CycD	34	~Cdh1 | ~CycD	3	2	N/A	1.6875
CycD	35	UbcH10 & (CycE | ~p27)	3	3	N/A	1.6875
CycD	36	~CycB & ~CycD & ~p27	3	3	N/A	1.6875
CycD	37	~CycD | ~E2F	3	2	N/A	1.6875
CycD	38	p27 & ~CycD	3	2	N/A	1.6875
CycD	39	Cdh1 | p27	3	2	N/A	1.6875
CycD	40	CycA | ~CycD	3	2	N/A	1.6875
CycD	41	CycA | ~Cdh1 | ~E2F	3	3	N/A	1.6875
CycD	42	~CycD & ~CycE	3	2	N/A	1.6875
CycD	43	~CycA | ~CycB	3	2	N/A	1.6875
CycD	44	p27 | ~Cdc20	3	2	N/A	1.6875
CycD	45	Cdh1 & UbcH10	3	2	N/A	1.6875
CycD	46	Cdh1 & ~CycB	3	2	N/A	1.6875
CycD	47	E2F | ~CycD | ~Rb	3	3	N/A	1.6875
CycD	48	Cdh1 & CycE	3	2	N/A	1.6875
CycD	49	~p27 | (~CycD & ~E2F)	3	3	N/A	1.6875
CycD	50	UbcH10 | (Cdh1 & CycA)	3	3	N/A	1.6875
CycD	51	CycE & p27	3	2	N/A	1.6875
CycD	52	E2F | ~CycB	3	2	N/A	1.6875
CycD	53	CycE | UbcH10	3	2	N/A	1.6875
CycD	54	Cdh1 & ~p27	3	2	N/A	1.6875
CycD	55	~CycD | (Cdh1 & E2F)	3	3	N/A	1.6875
CycD	56	CycE | ~CycD	3	2	N/A	1.6875
CycD	57	UbcH10 & ~CycD	3	2	N/A	1.6875
CycD	58	Rb & ~CycD	3	2	N/A	1.6875
CycD	59	Cdh1 | (CycB & p27)	3	3	N/A	1.6875
CycD	60	~CycD & ~Rb	3	2	N/A	1.6875
CycD	61	~CycA | ~Rb	3	2	N/A	1.6875
CycD	62	Cdh1 | (p27 & ~UbcH10)	3	3	N/A	1.6875
CycD	63	~Rb | (CycB & UbcH10)	3	3	N/A	1.6875
CycD	64	~E2F | ~Rb	3	2	N/A	1.6875
CycD	65	~CycB | ~CycD	3	2	N/A	1.6875
CycD	66	UbcH10 | p27	3	2	N/A	1.6875
CycD	67	UbcH10 & ~Rb	3	2	N/A	1.6875
CycD	68	p27 | ~CycD	3	2	N/A	1.6875
CycD	69	~CycA & ~Rb	3	2	N/A	1.6875
CycD	70	Cdh1 | UbcH10 | ~CycD	3	3	N/A	1.6875
CycD	71	~CycD | ~p27	3	2	N/A	1.6875
CycD	72	~Cdc20 & ~Rb	3	2	N/A	1.6875
CycD	73	p27 & ~E2F	3	2	N/A	1.6875
CycD	74	UbcH10 | ~Cdc20	3	2	N/A	1.6875
CycD	75	Cdh1 | UbcH10	3	2	N/A	1.6875
CycD	76	Cdh1 | (E2F & ~Rb)	3	3	N/A	1.6875
CycD	77	Cdh1 & ~CycD & ~UbcH10	3	3	N/A	1.6875
CycD	78	UbcH10 | ~E2F	3	2	N/A	1.6875
CycD	79	UbcH10 & ~CycA	3	2	N/A	1.6875
CycD	80	CycA | (~Cdc20 & ~E2F)	3	3	N/A	1.6875
CycD	81	CycE & Rb & p27	3	3	N/A	1.6875
CycD	82	~CycD | (E2F & p27)	3	3	N/A	1.6875
CycD	83	Cdh1 | (CycD & ~CycA)	3	3	N/A	1.6875
CycD	84	~CycD & ~UbcH10	3	2	N/A	1.6875
CycD	85	~CycA | (CycE & UbcH10)	3	3	N/A	1.6875
CycD	86	~CycD	4	1	N/A	1.4375
CycD	87	Cdh1 & ~CycA & ~CycB & ~E2F	4	4	N/A	1.4375
CycD	88	~CycD | (~CycE & ~Rb) | (~Rb & ~p27)	4	4	N/A	1.4375
CycD	89	~CycB	3	1	N/A	1.1875
CycD	90	Cdh1	3	1	N/A	1.1875
CycD	91	~Cdc20	3	1	N/A	1.1875
CycD	92	UbcH10	3	1	N/A	1.1875
